datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.109
2021-07-01T00:00:00+03:00,CO,0.67
2021-07-01T00:00:00+03:00,NO2,0.071
2021-07-01T00:00:00+03:00,PM2.5,0.018
2021-08-01T00:00:00+03:00,CO,0.78
2021-08-01T00:00:00+03:00,PM2.5,0.021
2021-08-01T00:00:00+03:00,NO2,0.065
2021-08-01T00:00:00+03:00,NO,0.126
2021-09-01T00:00:00+03:00,NO,0.115
2021-09-01T00:00:00+03:00,NO2,0.046
2021-09-01T00:00:00+03:00,CO,0.59
2021-09-01T00:00:00+03:00,PM2.5,0.014
2021-10-01T00:00:00+03:00,NO,0.153
2021-10-01T00:00:00+03:00,CO,0.7
2021-10-01T00:00:00+03:00,NO2,0.057
2021-10-01T00:00:00+03:00,PM2.5,0.018
2021-11-01T00:00:00+03:00,NO2,0.048
2021-11-01T00:00:00+03:00,PM2.5,0.012
2021-11-01T00:00:00+03:00,CO,0.44
2021-11-01T00:00:00+03:00,NO,0.093
2021-12-01T00:00:00+03:00,PM2.5,0.015
2021-12-01T00:00:00+03:00,NO,0.146
2021-12-01T00:00:00+03:00,CO,0.55
2021-12-01T00:00:00+03:00,NO2,0.062
2022-01-01T00:00:00+03:00,PM2.5,0.013
2022-01-01T00:00:00+03:00,NO2,0.066
2022-01-01T00:00:00+03:00,NO,0.12
2022-01-01T00:00:00+03:00,CO,0.44
2022-02-01T00:00:00+03:00,NO2,0.074
2022-02-01T00:00:00+03:00,PM2.5,0.014
2022-02-01T00:00:00+03:00,CO,0.48
2022-02-01T00:00:00+03:00,NO,0.128
2022-03-01T00:00:00+03:00,NO,0.158
2022-03-01T00:00:00+03:00,PM2.5,0.016
2022-03-01T00:00:00+03:00,NO2,0.089
2022-03-01T00:00:00+03:00,CO,0.6
2022-04-01T00:00:00+03:00,NO2,0.075
2022-04-01T00:00:00+03:00,PM2.5,0.013
2022-04-01T00:00:00+03:00,CO,0.5
2022-04-01T00:00:00+03:00,NO,0.115
2022-05-01T00:00:00+03:00,PM2.5,0.011
2022-05-01T00:00:00+03:00,NO,0.083
2022-05-01T00:00:00+03:00,CO,0.33
2022-05-01T00:00:00+03:00,NO2,0.055
2022-06-01T00:00:00+03:00,CO,0.61
2022-06-01T00:00:00+03:00,PM2.5,0.016
2022-06-01T00:00:00+03:00,NO,0.111
2022-06-01T00:00:00+03:00,NO2,0.064
