datetime,pollutant,concentration
2022-09-26T00:00:00+03:00,PM10,0.01
2022-09-26T00:00:00+03:00,SO2,0.0024
2022-09-26T00:00:00+03:00,PM2.5,0.007
2022-09-26T00:00:00+03:00,CO,0.3
2022-09-27T00:00:00+03:00,PM2.5,0.012
2022-09-27T00:00:00+03:00,SO2,0.0021
2022-09-27T00:00:00+03:00,PM10,0.035
2022-09-27T00:00:00+03:00,CO,0.33
2022-09-28T00:00:00+03:00,SO2,0.001
2022-09-28T00:00:00+03:00,PM2.5,0.009
2022-09-28T00:00:00+03:00,CO,0.27
2022-09-28T00:00:00+03:00,PM10,0.014
2022-09-29T00:00:00+03:00,CO,0.26
2022-09-29T00:00:00+03:00,PM10,0.028
2022-09-29T00:00:00+03:00,PM2.5,0.014
2022-09-29T00:00:00+03:00,SO2,0.0019
2022-09-30T00:00:00+03:00,PM10,0.056
2022-09-30T00:00:00+03:00,CO,0.27
2022-09-30T00:00:00+03:00,SO2,0.0013
2022-09-30T00:00:00+03:00,PM2.5,0.021
2022-10-01T00:00:00+03:00,PM2.5,0.016
2022-10-01T00:00:00+03:00,SO2,0.0016
2022-10-01T00:00:00+03:00,CO,0.28
2022-10-01T00:00:00+03:00,PM10,0.022
2022-10-02T00:00:00+03:00,PM2.5,0.007
2022-10-02T00:00:00+03:00,PM10,0.017
2022-10-02T00:00:00+03:00,CO,0.2
2022-10-02T00:00:00+03:00,SO2,0.0007
2022-10-03T00:00:00+03:00,CO,0.17
2022-10-03T00:00:00+03:00,PM10,0.008
2022-10-03T00:00:00+03:00,PM2.5,0.006
2022-10-03T00:00:00+03:00,SO2,0.0008
2022-10-04T00:00:00+03:00,CO,0.16
2022-10-04T00:00:00+03:00,PM2.5,0.005
2022-10-04T00:00:00+03:00,SO2,0.0014
2022-10-04T00:00:00+03:00,PM10,0.007
2022-10-05T00:00:00+03:00,PM10,0.005
2022-10-05T00:00:00+03:00,PM2.5,0.003
2022-10-05T00:00:00+03:00,SO2,0.001
2022-10-05T00:00:00+03:00,CO,0.23
2022-10-06T00:00:00+03:00,PM10,0.023
2022-10-06T00:00:00+03:00,SO2,0.0017
2022-10-06T00:00:00+03:00,PM2.5,0.016
2022-10-06T00:00:00+03:00,CO,0.24
2022-10-07T00:00:00+03:00,CO,0.18
2022-10-07T00:00:00+03:00,SO2,0.0009
2022-10-07T00:00:00+03:00,PM2.5,0.01
2022-10-07T00:00:00+03:00,PM10,0.033
2022-10-08T00:00:00+03:00,SO2,0.0009
2022-10-08T00:00:00+03:00,CO,0.24
2022-10-08T00:00:00+03:00,PM2.5,0.025
2022-10-08T00:00:00+03:00,PM10,0.122
2022-10-09T00:00:00+03:00,SO2,0.0008
2022-10-09T00:00:00+03:00,CO,0.21
2022-10-09T00:00:00+03:00,PM2.5,0.016
2022-10-09T00:00:00+03:00,PM10,0.07
2022-10-10T00:00:00+03:00,PM10,0.017
2022-10-10T00:00:00+03:00,CO,0.23
2022-10-10T00:00:00+03:00,SO2,0.0006
2022-10-10T00:00:00+03:00,PM2.5,0.007
2022-10-11T00:00:00+03:00,SO2,0.0024
2022-10-11T00:00:00+03:00,CO,0.49
2022-10-11T00:00:00+03:00,PM10,0.035
2022-10-11T00:00:00+03:00,PM2.5,0.014
2022-10-12T00:00:00+03:00,PM10,0.07
2022-10-12T00:00:00+03:00,SO2,0.0029
2022-10-12T00:00:00+03:00,CO,0.58
2022-10-12T00:00:00+03:00,PM2.5,0.024
2022-10-13T00:00:00+03:00,CO,0.3
2022-10-13T00:00:00+03:00,PM2.5,0.012
2022-10-13T00:00:00+03:00,PM10,0.026
2022-10-13T00:00:00+03:00,SO2,0.0006
2022-10-14T00:00:00+03:00,PM10,0.037
2022-10-14T00:00:00+03:00,PM2.5,0.022
2022-10-14T00:00:00+03:00,CO,0.37
2022-10-14T00:00:00+03:00,SO2,0.0007
2022-10-15T00:00:00+03:00,SO2,0.0021
2022-10-15T00:00:00+03:00,PM10,0.103
2022-10-15T00:00:00+03:00,CO,0.4
2022-10-15T00:00:00+03:00,PM2.5,0.031
2022-10-16T00:00:00+03:00,PM2.5,0.023
2022-10-16T00:00:00+03:00,SO2,0.0017
2022-10-16T00:00:00+03:00,CO,0.26
2022-10-16T00:00:00+03:00,PM10,0.108
2022-10-17T00:00:00+03:00,PM2.5,0.019
2022-10-17T00:00:00+03:00,PM10,0.056
2022-10-17T00:00:00+03:00,SO2,0.0011
2022-10-17T00:00:00+03:00,CO,0.22
2022-10-18T00:00:00+03:00,PM10,0.014
2022-10-18T00:00:00+03:00,SO2,0.0011
2022-10-18T00:00:00+03:00,PM2.5,0.011
2022-10-18T00:00:00+03:00,CO,0.23
2022-10-19T00:00:00+03:00,SO2,0.0016
2022-10-19T00:00:00+03:00,PM10,0.012
2022-10-19T00:00:00+03:00,PM2.5,0.009
2022-10-19T00:00:00+03:00,CO,0.27
2022-10-20T00:00:00+03:00,SO2,0.0017
2022-10-20T00:00:00+03:00,PM10,0.011
2022-10-20T00:00:00+03:00,CO,0.21
2022-10-20T00:00:00+03:00,PM2.5,0.008
2022-10-21T00:00:00+03:00,PM10,
2022-10-21T00:00:00+03:00,CO,
2022-10-21T00:00:00+03:00,SO2,
2022-10-21T00:00:00+03:00,PM2.5,
2022-10-22T00:00:00+03:00,SO2,
2022-10-22T00:00:00+03:00,PM2.5,
2022-10-22T00:00:00+03:00,PM10,
2022-10-22T00:00:00+03:00,CO,
2022-10-23T00:00:00+03:00,CO,
2022-10-23T00:00:00+03:00,SO2,
2022-10-23T00:00:00+03:00,PM10,
2022-10-23T00:00:00+03:00,PM2.5,
2022-10-24T00:00:00+03:00,PM10,
2022-10-24T00:00:00+03:00,SO2,
2022-10-24T00:00:00+03:00,PM2.5,
2022-10-24T00:00:00+03:00,CO,
2022-10-25T00:00:00+03:00,CO,
2022-10-25T00:00:00+03:00,PM2.5,
2022-10-25T00:00:00+03:00,SO2,
2022-10-25T00:00:00+03:00,PM10,
