datetime,pollutant,concentration
2021-11-01T00:00:00+03:00,CO,0.12
2021-11-01T00:00:00+03:00,PM10,0.021
2021-11-01T00:00:00+03:00,PM2.5,0.014
2021-11-01T00:00:00+03:00,NO,0.022
2021-11-01T00:00:00+03:00,NO2,0.022
2021-11-01T00:00:00+03:00,SO2,0.0029
2021-12-01T00:00:00+03:00,NO2,0.03
2021-12-01T00:00:00+03:00,NO,0.021
2021-12-01T00:00:00+03:00,PM10,0.016
2021-12-01T00:00:00+03:00,PM2.5,0.014
2021-12-01T00:00:00+03:00,SO2,0.0022
2021-12-01T00:00:00+03:00,CO,0.17
2022-01-01T00:00:00+03:00,CO,0.18
2022-01-01T00:00:00+03:00,SO2,0.0018
2022-01-01T00:00:00+03:00,NO,0.014
2022-01-01T00:00:00+03:00,NO2,0.03
2022-01-01T00:00:00+03:00,PM10,0.014
2022-01-01T00:00:00+03:00,PM2.5,0.013
2022-02-01T00:00:00+03:00,PM2.5,0.012
2022-02-01T00:00:00+03:00,NO,0.02
2022-02-01T00:00:00+03:00,SO2,0.0015
2022-02-01T00:00:00+03:00,PM10,0.015
2022-02-01T00:00:00+03:00,NO2,0.034
2022-02-01T00:00:00+03:00,CO,0.34
2022-03-01T00:00:00+03:00,CO,0.38
2022-03-01T00:00:00+03:00,PM2.5,0.014
2022-03-01T00:00:00+03:00,PM10,0.038
2022-03-01T00:00:00+03:00,NO,0.037
2022-03-01T00:00:00+03:00,NO2,0.047
2022-03-01T00:00:00+03:00,SO2,0.0016
2022-04-01T00:00:00+03:00,SO2,0.0014
2022-04-01T00:00:00+03:00,NO2,0.03
2022-04-01T00:00:00+03:00,NO,0.015
2022-04-01T00:00:00+03:00,PM2.5,0.013
2022-04-01T00:00:00+03:00,PM10,0.035
2022-04-01T00:00:00+03:00,CO,0.27
2022-05-01T00:00:00+03:00,NO,0.017
2022-05-01T00:00:00+03:00,CO,0.22
2022-05-01T00:00:00+03:00,PM2.5,0.012
2022-05-01T00:00:00+03:00,SO2,0.0013
2022-05-01T00:00:00+03:00,PM10,0.049
2022-05-01T00:00:00+03:00,NO2,0.028
2022-06-01T00:00:00+03:00,PM10,0.053
2022-06-01T00:00:00+03:00,NO,0.023
2022-06-01T00:00:00+03:00,PM2.5,0.018
2022-06-01T00:00:00+03:00,CO,0.25
2022-06-01T00:00:00+03:00,SO2,0.0012
2022-06-01T00:00:00+03:00,NO2,0.03
2022-07-01T00:00:00+03:00,SO2,0.0015
2022-07-01T00:00:00+03:00,NO,0.02
2022-07-01T00:00:00+03:00,PM2.5,0.016
2022-07-01T00:00:00+03:00,CO,0.25
2022-07-01T00:00:00+03:00,NO2,0.027
2022-07-01T00:00:00+03:00,PM10,0.045
2022-08-01T00:00:00+03:00,SO2,0.0014
2022-08-01T00:00:00+03:00,PM10,0.068
2022-08-01T00:00:00+03:00,PM2.5,0.022
2022-08-01T00:00:00+03:00,CO,0.23
2022-08-01T00:00:00+03:00,NO,
2022-08-01T00:00:00+03:00,NO2,
2022-09-01T00:00:00+03:00,PM10,0.026
2022-09-01T00:00:00+03:00,PM2.5,0.01
2022-09-01T00:00:00+03:00,NO,
2022-09-01T00:00:00+03:00,NO2,
2022-09-01T00:00:00+03:00,SO2,0.0013
2022-09-01T00:00:00+03:00,CO,0.24
2022-10-01T00:00:00+03:00,NO2,
2022-10-01T00:00:00+03:00,NO,
2022-10-01T00:00:00+03:00,SO2,0.0013
2022-10-01T00:00:00+03:00,PM10,0.041
2022-10-01T00:00:00+03:00,PM2.5,0.014
2022-10-01T00:00:00+03:00,CO,0.27
2022-11-01T00:00:00+03:00,NO,
2022-11-01T00:00:00+03:00,CO,
2022-11-01T00:00:00+03:00,PM2.5,
2022-11-01T00:00:00+03:00,PM10,
2022-11-01T00:00:00+03:00,NO2,
2022-11-01T00:00:00+03:00,SO2,
