datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.015
2021-07-01T00:00:00+03:00,NO2,0.05
2021-07-01T00:00:00+03:00,CO,0.37
2021-07-01T00:00:00+03:00,NO,0.025
2021-07-01T00:00:00+03:00,SO2,0.0036
2021-08-01T00:00:00+03:00,PM2.5,0.017
2021-08-01T00:00:00+03:00,NO,0.027
2021-08-01T00:00:00+03:00,CO,0.41
2021-08-01T00:00:00+03:00,SO2,0.0024
2021-08-01T00:00:00+03:00,NO2,0.053
2021-09-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,NO,0.025
2021-09-01T00:00:00+03:00,NO2,0.034
2021-09-01T00:00:00+03:00,PM2.5,0.01
2021-09-01T00:00:00+03:00,SO2,0.0013
2021-10-01T00:00:00+03:00,NO,0.052
2021-10-01T00:00:00+03:00,SO2,0.0023
2021-10-01T00:00:00+03:00,CO,0.45
2021-10-01T00:00:00+03:00,PM2.5,0.015
2021-10-01T00:00:00+03:00,NO2,0.042
2021-11-01T00:00:00+03:00,NO,0.024
2021-11-01T00:00:00+03:00,NO2,0.036
2021-11-01T00:00:00+03:00,PM2.5,0.011
2021-11-01T00:00:00+03:00,SO2,0.0006
2021-11-01T00:00:00+03:00,CO,0.33
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,SO2,0.0013
2021-12-01T00:00:00+03:00,NO,0.039
2021-12-01T00:00:00+03:00,CO,0.37
2021-12-01T00:00:00+03:00,NO2,0.051
2022-01-01T00:00:00+03:00,SO2,0.0015
2022-01-01T00:00:00+03:00,CO,0.32
2022-01-01T00:00:00+03:00,NO2,0.05
2022-01-01T00:00:00+03:00,NO,0.024
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,NO2,0.046
2022-02-01T00:00:00+03:00,NO,0.023
2022-02-01T00:00:00+03:00,SO2,0.0013
2022-02-01T00:00:00+03:00,CO,0.31
2022-03-01T00:00:00+03:00,NO,0.059
2022-03-01T00:00:00+03:00,NO2,0.056
2022-03-01T00:00:00+03:00,SO2,0.004
2022-03-01T00:00:00+03:00,CO,0.46
2022-03-01T00:00:00+03:00,PM2.5,0.012
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,SO2,0.0012
2022-04-01T00:00:00+03:00,NO,0.015
2022-04-01T00:00:00+03:00,CO,
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,SO2,0.0017
2022-05-01T00:00:00+03:00,NO,0.017
2022-05-01T00:00:00+03:00,PM2.5,0.01
2022-05-01T00:00:00+03:00,SO2,0.0014
2022-05-01T00:00:00+03:00,CO,
2022-06-01T00:00:00+03:00,NO,0.027
2022-06-01T00:00:00+03:00,SO2,0.0016
2022-06-01T00:00:00+03:00,PM2.5,0.014
2022-06-01T00:00:00+03:00,NO2,0.037
2022-07-01T00:00:00+03:00,CO,0.41
2022-07-01T00:00:00+03:00,NO,0.021
2022-07-01T00:00:00+03:00,NO2,0.035
2022-07-01T00:00:00+03:00,SO2,0.0011
2022-07-01T00:00:00+03:00,PM2.5,0.013
2022-08-01T00:00:00+03:00,CO,0.51
2022-08-01T00:00:00+03:00,NO2,0.042
2022-08-01T00:00:00+03:00,PM2.5,0.021
2022-08-01T00:00:00+03:00,SO2,
2022-08-01T00:00:00+03:00,NO,0.02
2022-09-01T00:00:00+03:00,NO2,0.027
2022-09-01T00:00:00+03:00,SO2,
2022-09-01T00:00:00+03:00,CO,0.44
2022-09-01T00:00:00+03:00,PM2.5,0.01
2022-09-01T00:00:00+03:00,NO,0.035
2022-10-01T00:00:00+03:00,CO,0.41
2022-10-01T00:00:00+03:00,NO,0.037
2022-10-01T00:00:00+03:00,PM2.5,0.011
2022-10-01T00:00:00+03:00,NO2,0.035
2022-10-01T00:00:00+03:00,SO2,
2022-11-01T00:00:00+03:00,NO2,0.032
2022-11-01T00:00:00+03:00,CO,0.3
2022-11-01T00:00:00+03:00,NO,0.026
2022-11-01T00:00:00+03:00,PM2.5,0.011
2022-11-01T00:00:00+03:00,SO2,0.001
2022-12-01T00:00:00+03:00,PM2.5,0.012
2022-12-01T00:00:00+03:00,NO2,0.041
2022-12-01T00:00:00+03:00,CO,0.38
2022-12-01T00:00:00+03:00,NO,0.03
2022-12-01T00:00:00+03:00,SO2,0.0014
2023-01-01T00:00:00+03:00,SO2,0.0016
2023-01-01T00:00:00+03:00,PM2.5,0.011
2023-01-01T00:00:00+03:00,NO,0.019
2023-01-01T00:00:00+03:00,CO,0.31
2023-01-01T00:00:00+03:00,NO2,0.04
2023-02-01T00:00:00+03:00,PM2.5,0.011
2023-02-01T00:00:00+03:00,NO,0.018
2023-02-01T00:00:00+03:00,SO2,0.0016
2023-02-01T00:00:00+03:00,CO,0.27
2023-02-01T00:00:00+03:00,NO2,0.049
2023-03-01T00:00:00+03:00,NO2,0.053
2023-03-01T00:00:00+03:00,NO,0.029
2023-03-01T00:00:00+03:00,SO2,0.0021
2023-03-01T00:00:00+03:00,PM2.5,0.009
2023-03-01T00:00:00+03:00,CO,0.31
2023-04-01T00:00:00+03:00,PM2.5,0.016
2023-04-01T00:00:00+03:00,SO2,0.0031
2023-04-01T00:00:00+03:00,CO,0.37
2023-04-01T00:00:00+03:00,NO,0.036
2023-04-01T00:00:00+03:00,NO2,0.061
2023-05-01T00:00:00+03:00,CO,0.39
2023-05-01T00:00:00+03:00,NO2,0.056
2023-05-01T00:00:00+03:00,NO,0.041
2023-05-01T00:00:00+03:00,SO2,0.0034
2023-05-01T00:00:00+03:00,PM2.5,0.013
2023-06-01T00:00:00+03:00,CO,0.31
2023-06-01T00:00:00+03:00,PM2.5,0.013
2023-06-01T00:00:00+03:00,NO2,0.045
2023-06-01T00:00:00+03:00,SO2,0.0032
2023-06-01T00:00:00+03:00,NO,0.025
2023-07-01T00:00:00+03:00,NO2,0.047
2023-07-01T00:00:00+03:00,CO,0.34
2023-07-01T00:00:00+03:00,PM2.5,0.012
2023-07-01T00:00:00+03:00,SO2,
2023-07-01T00:00:00+03:00,NO,0.03
2023-08-01T00:00:00+03:00,SO2,0.0012
2023-08-01T00:00:00+03:00,CO,0.47
2023-08-01T00:00:00+03:00,PM2.5,0.016
2023-08-01T00:00:00+03:00,NO2,0.051
2023-08-01T00:00:00+03:00,NO,0.037
2023-09-01T00:00:00+03:00,NO2,0.056
2023-09-01T00:00:00+03:00,SO2,0.0021
2023-09-01T00:00:00+03:00,PM2.5,0.017
2023-09-01T00:00:00+03:00,NO,0.048
2023-09-01T00:00:00+03:00,CO,0.53
2023-10-01T00:00:00+03:00,NO,0.029
2023-10-01T00:00:00+03:00,CO,0.34
2023-10-01T00:00:00+03:00,SO2,0.0017
2023-10-01T00:00:00+03:00,NO2,0.035
2023-10-01T00:00:00+03:00,PM2.5,0.009
2023-11-01T00:00:00+03:00,CO,0.38
2023-11-01T00:00:00+03:00,SO2,0.0024
2023-11-01T00:00:00+03:00,PM2.5,0.011
2023-11-01T00:00:00+03:00,NO2,0.042
2023-11-01T00:00:00+03:00,NO,0.034
2023-12-01T00:00:00+03:00,PM2.5,0.011
2023-12-01T00:00:00+03:00,NO,0.031
2023-12-01T00:00:00+03:00,SO2,0.0018
2023-12-01T00:00:00+03:00,NO2,0.044
2023-12-01T00:00:00+03:00,CO,0.32
2024-01-01T00:00:00+03:00,NO,0.034
2024-01-01T00:00:00+03:00,CO,0.37
2024-01-01T00:00:00+03:00,NO2,0.056
2024-01-01T00:00:00+03:00,SO2,0.0025
2024-01-01T00:00:00+03:00,PM2.5,0.012
2024-02-01T00:00:00+03:00,NO2,0.052
2024-02-01T00:00:00+03:00,SO2,0.0026
2024-02-01T00:00:00+03:00,CO,0.29
2024-02-01T00:00:00+03:00,PM2.5,0.011
2024-02-01T00:00:00+03:00,NO,0.024
2024-03-01T00:00:00+03:00,CO,0.36
2024-03-01T00:00:00+03:00,NO,0.045
2024-03-01T00:00:00+03:00,PM2.5,0.016
2024-03-01T00:00:00+03:00,NO2,0.069
2024-03-01T00:00:00+03:00,SO2,0.0034
2024-04-01T00:00:00+03:00,CO,0.36
2024-04-01T00:00:00+03:00,NO,0.024
2024-04-01T00:00:00+03:00,NO2,0.048
2024-04-01T00:00:00+03:00,SO2,0.003
2024-04-01T00:00:00+03:00,PM2.5,0.015
2024-05-01T00:00:00+03:00,NO,0.03
2024-05-01T00:00:00+03:00,SO2,0.0027
2024-05-01T00:00:00+03:00,PM2.5,0.013
2024-05-01T00:00:00+03:00,CO,0.31
2024-05-01T00:00:00+03:00,NO2,0.048
2024-06-01T00:00:00+03:00,NO2,0.046
2024-06-01T00:00:00+03:00,PM2.5,0.017
2024-06-01T00:00:00+03:00,NO,0.024
2024-06-01T00:00:00+03:00,CO,0.35
2024-06-01T00:00:00+03:00,SO2,0.0015
2024-07-01T00:00:00+03:00,NO,0.02
2024-07-01T00:00:00+03:00,PM2.5,0.014
2024-07-01T00:00:00+03:00,NO2,0.047
2024-07-01T00:00:00+03:00,CO,0.32
2024-07-01T00:00:00+03:00,SO2,0.0021
2024-08-01T00:00:00+03:00,CO,0.43
2024-08-01T00:00:00+03:00,SO2,0.0019
2024-08-01T00:00:00+03:00,PM2.5,0.015
2024-08-01T00:00:00+03:00,NO,0.033
2024-08-01T00:00:00+03:00,NO2,0.046
2024-09-01T00:00:00+03:00,PM2.5,0.018
2024-09-01T00:00:00+03:00,SO2,0.0028
2024-09-01T00:00:00+03:00,NO2,0.053
2024-09-01T00:00:00+03:00,CO,0.46
2024-09-01T00:00:00+03:00,NO,0.039
2024-10-01T00:00:00+03:00,NO2,0.038
2024-10-01T00:00:00+03:00,SO2,0.0016
2024-10-01T00:00:00+03:00,PM2.5,0.013
2024-10-01T00:00:00+03:00,NO,0.029
2024-10-01T00:00:00+03:00,CO,0.34
2024-11-01T00:00:00+03:00,PM2.5,0.009
2024-11-01T00:00:00+03:00,SO2,0.0017
2024-11-01T00:00:00+03:00,NO,0.021
2024-11-01T00:00:00+03:00,CO,0.27
2024-11-01T00:00:00+03:00,NO2,0.033
2024-12-01T00:00:00+03:00,NO2,0.036
2024-12-01T00:00:00+03:00,PM2.5,0.008
2024-12-01T00:00:00+03:00,SO2,0.0009
2024-12-01T00:00:00+03:00,NO,0.026
2024-12-01T00:00:00+03:00,CO,0.25
2025-01-01T00:00:00+03:00,SO2,0.0012
2025-01-01T00:00:00+03:00,NO2,0.034
2025-01-01T00:00:00+03:00,PM2.5,0.009
2025-01-01T00:00:00+03:00,CO,0.21
2025-01-01T00:00:00+03:00,NO,0.016
2025-02-01T00:00:00+03:00,SO2,0.0019
2025-02-01T00:00:00+03:00,PM2.5,0.014
2025-02-01T00:00:00+03:00,NO,0.049
2025-02-01T00:00:00+03:00,NO2,0.056
2025-02-01T00:00:00+03:00,CO,0.38
2025-03-01T00:00:00+03:00,CO,0.35
2025-03-01T00:00:00+03:00,NO2,0.051
2025-03-01T00:00:00+03:00,SO2,0.0016
2025-03-01T00:00:00+03:00,NO,0.036
2025-03-01T00:00:00+03:00,PM2.5,0.014
2025-04-01T00:00:00+03:00,NO,0.02
2025-04-01T00:00:00+03:00,CO,0.32
2025-04-01T00:00:00+03:00,PM2.5,0.011
2025-04-01T00:00:00+03:00,SO2,0.001
2025-04-01T00:00:00+03:00,NO2,0.048
2025-05-01T00:00:00+03:00,NO,0.026
2025-05-01T00:00:00+03:00,SO2,0.0028
2025-05-01T00:00:00+03:00,CO,0.3
2025-05-01T00:00:00+03:00,NO2,0.048
2025-05-01T00:00:00+03:00,PM2.5,0.013
2025-06-01T00:00:00+03:00,PM2.5,0.014
2025-06-01T00:00:00+03:00,CO,0.29
2025-06-01T00:00:00+03:00,NO2,0.042
2025-06-01T00:00:00+03:00,NO,0.023
