datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.005
2021-07-01T00:00:00+03:00,CO,0.26
2021-07-01T00:00:00+03:00,NO2,0.022
2021-08-01T00:00:00+03:00,NO,0.01
2021-08-01T00:00:00+03:00,CO,0.4
2021-08-01T00:00:00+03:00,NO2,0.04
2021-09-01T00:00:00+03:00,NO,0.012
2021-09-01T00:00:00+03:00,NO2,0.028
2021-09-01T00:00:00+03:00,CO,0.34
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,CO,0.29
2021-10-01T00:00:00+03:00,NO,0.018
2021-11-01T00:00:00+03:00,NO,0.015
2021-11-01T00:00:00+03:00,NO2,0.028
2021-11-01T00:00:00+03:00,CO,0.23
2021-12-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,NO,0.026
2021-12-01T00:00:00+03:00,CO,0.29
2022-01-01T00:00:00+03:00,CO,0.24
2022-01-01T00:00:00+03:00,NO,0.015
2022-01-01T00:00:00+03:00,NO2,0.037
2022-02-01T00:00:00+03:00,CO,0.26
2022-02-01T00:00:00+03:00,NO,0.013
2022-02-01T00:00:00+03:00,NO2,0.037
2022-03-01T00:00:00+03:00,CO,0.26
2022-03-01T00:00:00+03:00,NO,0.014
2022-03-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,CO,0.19
2022-04-01T00:00:00+03:00,NO2,0.029
2022-04-01T00:00:00+03:00,NO,0.007
2022-05-01T00:00:00+03:00,CO,0.19
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,NO2,0.026
2022-06-01T00:00:00+03:00,NO,0.009
2022-06-01T00:00:00+03:00,CO,0.26
2022-06-01T00:00:00+03:00,NO2,0.037
2022-07-01T00:00:00+03:00,CO,0.25
2022-07-01T00:00:00+03:00,NO,0.007
2022-07-01T00:00:00+03:00,NO2,0.035
2022-08-01T00:00:00+03:00,NO2,0.053
2022-08-01T00:00:00+03:00,NO,0.012
2022-08-01T00:00:00+03:00,CO,0.38
2022-09-01T00:00:00+03:00,CO,0.25
2022-09-01T00:00:00+03:00,NO2,0.04
2022-09-01T00:00:00+03:00,NO,0.022
2022-10-01T00:00:00+03:00,NO,0.022
2022-10-01T00:00:00+03:00,NO2,0.045
2022-10-01T00:00:00+03:00,CO,0.25
2022-11-01T00:00:00+03:00,NO2,0.041
2022-11-01T00:00:00+03:00,NO,0.016
2022-11-01T00:00:00+03:00,CO,0.2
2022-12-01T00:00:00+03:00,CO,0.31
2022-12-01T00:00:00+03:00,NO,0.037
2022-12-01T00:00:00+03:00,NO2,0.057
2023-01-01T00:00:00+03:00,NO2,0.055
2023-01-01T00:00:00+03:00,NO,0.018
2023-01-01T00:00:00+03:00,CO,0.22
2023-02-01T00:00:00+03:00,NO,0.01
2023-02-01T00:00:00+03:00,CO,0.2
2023-02-01T00:00:00+03:00,NO2,0.052
2023-03-01T00:00:00+03:00,NO,0.012
2023-03-01T00:00:00+03:00,CO,0.21
2023-03-01T00:00:00+03:00,NO2,0.054
2023-04-01T00:00:00+03:00,CO,0.27
2023-04-01T00:00:00+03:00,NO2,0.062
2023-04-01T00:00:00+03:00,NO,0.014
2023-05-01T00:00:00+03:00,NO,0.017
2023-05-01T00:00:00+03:00,NO2,0.052
2023-05-01T00:00:00+03:00,CO,0.24
2023-06-01T00:00:00+03:00,CO,0.18
2023-06-01T00:00:00+03:00,NO,0.008
2023-06-01T00:00:00+03:00,NO2,0.04
2023-07-01T00:00:00+03:00,CO,0.25
2023-07-01T00:00:00+03:00,NO,0.007
2023-07-01T00:00:00+03:00,NO2,0.036
2023-08-01T00:00:00+03:00,NO,0.018
2023-08-01T00:00:00+03:00,CO,0.31
2023-08-01T00:00:00+03:00,NO2,0.054
2023-09-01T00:00:00+03:00,NO2,0.073
2023-09-01T00:00:00+03:00,CO,0.37
2023-09-01T00:00:00+03:00,NO,0.028
2023-10-01T00:00:00+03:00,CO,0.24
2023-10-01T00:00:00+03:00,NO2,0.047
2023-10-01T00:00:00+03:00,NO,0.015
2023-11-01T00:00:00+03:00,NO2,0.049
2023-11-01T00:00:00+03:00,NO,0.017
2023-11-01T00:00:00+03:00,CO,0.23
2023-12-01T00:00:00+03:00,CO,0.3
2023-12-01T00:00:00+03:00,NO,0.02
2023-12-01T00:00:00+03:00,NO2,0.04
2024-01-01T00:00:00+03:00,CO,0.3
2024-01-01T00:00:00+03:00,NO,0.02
2024-01-01T00:00:00+03:00,NO2,0.05
2024-02-01T00:00:00+03:00,NO,0.022
2024-02-01T00:00:00+03:00,CO,0.31
2024-02-01T00:00:00+03:00,NO2,0.056
2024-03-01T00:00:00+03:00,NO2,0.065
2024-03-01T00:00:00+03:00,CO,0.33
2024-03-01T00:00:00+03:00,NO,0.02
2024-04-01T00:00:00+03:00,CO,0.29
2024-04-01T00:00:00+03:00,NO2,0.065
2024-04-01T00:00:00+03:00,NO,0.016
2024-05-01T00:00:00+03:00,NO2,0.061
2024-05-01T00:00:00+03:00,NO,0.014
2024-05-01T00:00:00+03:00,CO,0.24
2024-06-01T00:00:00+03:00,NO2,0.056
2024-06-01T00:00:00+03:00,NO,0.021
2024-06-01T00:00:00+03:00,CO,0.3
2024-07-01T00:00:00+03:00,NO2,0.052
2024-07-01T00:00:00+03:00,CO,0.28
2024-07-01T00:00:00+03:00,NO,0.016
2024-08-01T00:00:00+03:00,CO,0.38
2024-09-01T00:00:00+03:00,CO,0.49
2024-10-01T00:00:00+03:00,NO2,0.06
2024-10-01T00:00:00+03:00,CO,0.35
2024-10-01T00:00:00+03:00,NO,0.03
2024-11-01T00:00:00+03:00,NO,0.016
2024-11-01T00:00:00+03:00,NO2,0.045
2024-11-01T00:00:00+03:00,CO,0.18
2024-12-01T00:00:00+03:00,CO,0.24
2024-12-01T00:00:00+03:00,NO2,0.037
2024-12-01T00:00:00+03:00,NO,0.015
2025-01-01T00:00:00+03:00,NO2,0.035
2025-01-01T00:00:00+03:00,CO,0.24
2025-01-01T00:00:00+03:00,NO,0.008
2025-02-01T00:00:00+03:00,NO2,0.054
2025-02-01T00:00:00+03:00,NO,0.016
2025-02-01T00:00:00+03:00,CO,0.29
2025-03-01T00:00:00+03:00,NO2,0.047
2025-03-01T00:00:00+03:00,NO,0.01
2025-03-01T00:00:00+03:00,CO,0.29
2025-04-01T00:00:00+03:00,NO2,0.037
2025-04-01T00:00:00+03:00,NO,0.004
2025-05-01T00:00:00+03:00,CO,0.23
2025-05-01T00:00:00+03:00,NO2,0.039
2025-05-01T00:00:00+03:00,NO,0.006
2025-06-01T00:00:00+03:00,NO,0.004
2025-06-01T00:00:00+03:00,CO,0.23
2025-06-01T00:00:00+03:00,NO2,0.028
2025-07-01T00:00:00+03:00,CO,0.32
2025-07-01T00:00:00+03:00,NO,0.006
2025-07-01T00:00:00+03:00,NO2,0.036
2025-08-01T00:00:00+03:00,NO,0.006
2025-08-01T00:00:00+03:00,CO,0.3
2025-08-01T00:00:00+03:00,NO2,0.031
2025-09-01T00:00:00+03:00,NO2,0.037
2025-09-01T00:00:00+03:00,CO,0.3
2025-09-01T00:00:00+03:00,NO,0.01
2025-10-01T00:00:00+03:00,CO,0.28
2025-10-01T00:00:00+03:00,NO2,0.036
2025-10-01T00:00:00+03:00,NO,0.016
2025-11-01T00:00:00+03:00,NO2,0.031
2025-11-01T00:00:00+03:00,NO,0.017
2025-11-01T00:00:00+03:00,CO,0.3
2025-12-01T00:00:00+03:00,CO,0.26
2025-12-01T00:00:00+03:00,NO,0.013
2025-12-01T00:00:00+03:00,NO2,0.035
2026-01-01T00:00:00+03:00,NO2,0.05
2026-01-01T00:00:00+03:00,NO,0.028
2026-01-01T00:00:00+03:00,CO,0.34
2026-02-01T00:00:00+03:00,NO2,0.053
2026-02-01T00:00:00+03:00,CO,0.32
2026-02-01T00:00:00+03:00,NO,0.018
