datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM10,0.018
2021-07-01T00:00:00+03:00,CO,0.32
2021-07-01T00:00:00+03:00,NO,0.007
2021-07-01T00:00:00+03:00,NO2,0.02
2021-07-01T00:00:00+03:00,PM2.5,0.009
2021-08-01T00:00:00+03:00,PM2.5,0.011
2021-08-01T00:00:00+03:00,NO,0.009
2021-08-01T00:00:00+03:00,CO,0.4
2021-08-01T00:00:00+03:00,PM10,0.022
2021-08-01T00:00:00+03:00,NO2,0.02
2021-09-01T00:00:00+03:00,NO,0.012
2021-09-01T00:00:00+03:00,PM2.5,0.006
2021-09-01T00:00:00+03:00,PM10,0.013
2021-09-01T00:00:00+03:00,CO,0.25
2021-09-01T00:00:00+03:00,NO2,0.012
2021-10-01T00:00:00+03:00,CO,0.3
2021-10-01T00:00:00+03:00,NO,0.019
2021-10-01T00:00:00+03:00,PM2.5,0.01
2021-10-01T00:00:00+03:00,PM10,0.021
2021-10-01T00:00:00+03:00,NO2,0.032
2021-11-01T00:00:00+03:00,PM10,0.013
2021-11-01T00:00:00+03:00,NO2,0.027
2021-11-01T00:00:00+03:00,PM2.5,0.007
2021-11-01T00:00:00+03:00,NO,0.012
2021-11-01T00:00:00+03:00,CO,0.23
2021-12-01T00:00:00+03:00,PM2.5,0.009
2021-12-01T00:00:00+03:00,NO2,0.042
2021-12-01T00:00:00+03:00,PM10,0.012
2021-12-01T00:00:00+03:00,NO,0.024
2021-12-01T00:00:00+03:00,CO,0.28
2022-01-01T00:00:00+03:00,PM2.5,0.009
2022-01-01T00:00:00+03:00,NO,0.009
2022-01-01T00:00:00+03:00,CO,0.31
2022-01-01T00:00:00+03:00,PM10,0.012
2022-01-01T00:00:00+03:00,NO2,0.034
2022-02-01T00:00:00+03:00,PM10,0.011
2022-02-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,PM2.5,0.007
2022-02-01T00:00:00+03:00,NO,0.011
2022-02-01T00:00:00+03:00,NO2,0.038
2022-03-01T00:00:00+03:00,NO2,0.046
2022-03-01T00:00:00+03:00,PM10,0.024
2022-03-01T00:00:00+03:00,PM2.5,0.008
2022-03-01T00:00:00+03:00,CO,0.36
2022-03-01T00:00:00+03:00,NO,0.028
2022-04-01T00:00:00+03:00,PM10,0.018
2022-04-01T00:00:00+03:00,CO,0.24
2022-04-01T00:00:00+03:00,NO2,0.043
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-04-01T00:00:00+03:00,NO,0.025
2022-05-01T00:00:00+03:00,CO,0.25
2022-05-01T00:00:00+03:00,NO,0.012
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,PM10,0.016
2022-05-01T00:00:00+03:00,NO2,0.024
2022-06-01T00:00:00+03:00,PM10,0.021
2022-06-01T00:00:00+03:00,CO,0.28
2022-06-01T00:00:00+03:00,NO,0.025
2022-06-01T00:00:00+03:00,NO2,0.033
2022-06-01T00:00:00+03:00,PM2.5,0.008
