datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO,0.005
2022-06-09T16:00:00+03:00,NO2,0.038
2022-06-09T16:00:00+03:00,SO2,0.0014
2022-06-09T16:00:00+03:00,CH4,1.35
2022-06-09T16:00:00+03:00,PM10,0.032
2022-06-09T16:00:00+03:00,NH3,0.0068
2022-06-09T17:00:00+03:00,NO2,0.048
2022-06-09T17:00:00+03:00,NO,0.006
2022-06-09T17:00:00+03:00,CH4,1.34
2022-06-09T17:00:00+03:00,PM10,0.029
2022-06-09T17:00:00+03:00,NH3,0.0063
2022-06-09T17:00:00+03:00,SO2,0.0008
2022-06-09T18:00:00+03:00,PM10,0.034
2022-06-09T18:00:00+03:00,NH3,0.0053
2022-06-09T18:00:00+03:00,SO2,0.001
2022-06-09T18:00:00+03:00,CH4,1.34
2022-06-09T18:00:00+03:00,NO,0.002
2022-06-09T18:00:00+03:00,NO2,0.024
2022-06-09T19:00:00+03:00,PM10,0.031
2022-06-09T19:00:00+03:00,NO2,0.024
2022-06-09T19:00:00+03:00,NH3,0.0052
2022-06-09T19:00:00+03:00,SO2,0.0009
2022-06-09T19:00:00+03:00,NO,0.001
2022-06-09T19:00:00+03:00,CH4,1.34
2022-06-09T20:00:00+03:00,NH3,0.0061
2022-06-09T20:00:00+03:00,NO2,0.038
2022-06-09T20:00:00+03:00,CH4,1.35
2022-06-09T20:00:00+03:00,PM10,0.036
2022-06-09T20:00:00+03:00,NO,0.001
2022-06-09T20:00:00+03:00,SO2,0.001
2022-06-09T21:00:00+03:00,NH3,0.0091
2022-06-09T21:00:00+03:00,SO2,0.001
2022-06-09T21:00:00+03:00,PM10,0.048
2022-06-09T21:00:00+03:00,NO,0.011
2022-06-09T21:00:00+03:00,NO2,0.073
2022-06-09T21:00:00+03:00,CH4,1.39
2022-06-09T22:00:00+03:00,CH4,1.39
2022-06-09T22:00:00+03:00,PM10,0.075
2022-06-09T22:00:00+03:00,NO,0.01
2022-06-09T22:00:00+03:00,NH3,0.0116
2022-06-09T22:00:00+03:00,SO2,0.0008
2022-06-09T22:00:00+03:00,NO2,0.088
2022-06-09T23:00:00+03:00,SO2,0.0012
2022-06-09T23:00:00+03:00,PM10,0.073
2022-06-09T23:00:00+03:00,CH4,1.39
2022-06-09T23:00:00+03:00,NH3,0.0152
2022-06-09T23:00:00+03:00,NO2,0.093
2022-06-09T23:00:00+03:00,NO,0.047
2022-06-10T00:00:00+03:00,NO,0.034
2022-06-10T00:00:00+03:00,NH3,0.014
2022-06-10T00:00:00+03:00,CH4,1.38
2022-06-10T00:00:00+03:00,NO2,0.088
2022-06-10T00:00:00+03:00,SO2,0.0011
2022-06-10T00:00:00+03:00,PM10,0.051
2022-06-10T01:00:00+03:00,NH3,0.0164
2022-06-10T01:00:00+03:00,NO,0.071
2022-06-10T01:00:00+03:00,NO2,0.087
2022-06-10T01:00:00+03:00,CH4,1.4
2022-06-10T01:00:00+03:00,PM10,0.045
2022-06-10T01:00:00+03:00,SO2,0.0012
2022-06-10T02:00:00+03:00,NH3,0.0239
2022-06-10T02:00:00+03:00,NO,0.169
2022-06-10T02:00:00+03:00,CH4,1.68
2022-06-10T02:00:00+03:00,PM10,0.107
2022-06-10T02:00:00+03:00,NO2,0.083
2022-06-10T02:00:00+03:00,SO2,0.0024
2022-06-10T03:00:00+03:00,CH4,2.42
2022-06-10T03:00:00+03:00,NH3,0.0234
2022-06-10T03:00:00+03:00,SO2,0.0024
2022-06-10T03:00:00+03:00,NO2,0.086
2022-06-10T03:00:00+03:00,PM10,0.207
2022-06-10T03:00:00+03:00,NO,0.156
2022-06-10T04:00:00+03:00,SO2,0.0009
2022-06-10T04:00:00+03:00,NO,0.021
2022-06-10T04:00:00+03:00,NH3,0.0131
2022-06-10T04:00:00+03:00,CH4,1.57
2022-06-10T04:00:00+03:00,PM10,0.09
2022-06-10T04:00:00+03:00,NO2,0.074
2022-06-10T05:00:00+03:00,NH3,0.013
2022-06-10T05:00:00+03:00,NO,0.018
2022-06-10T05:00:00+03:00,SO2,0.0008
2022-06-10T05:00:00+03:00,PM10,0.068
2022-06-10T05:00:00+03:00,CH4,1.63
2022-06-10T05:00:00+03:00,NO2,0.065
2022-06-10T06:00:00+03:00,NO,0.043
2022-06-10T06:00:00+03:00,NH3,0.0152
2022-06-10T06:00:00+03:00,SO2,0.0009
2022-06-10T06:00:00+03:00,PM10,0.051
2022-06-10T06:00:00+03:00,NO2,0.061
2022-06-10T06:00:00+03:00,CH4,1.58
2022-06-10T07:00:00+03:00,NO,0.008
2022-06-10T07:00:00+03:00,CH4,1.61
2022-06-10T07:00:00+03:00,SO2,0.0007
2022-06-10T07:00:00+03:00,NO2,0.041
2022-06-10T07:00:00+03:00,PM10,0.026
2022-06-10T07:00:00+03:00,NH3,0.0111
2022-06-10T08:00:00+03:00,SO2,0.0007
2022-06-10T08:00:00+03:00,NH3,0.0091
2022-06-10T08:00:00+03:00,NO2,0.028
2022-06-10T08:00:00+03:00,NO,0.006
2022-06-10T08:00:00+03:00,CH4,1.41
2022-06-10T08:00:00+03:00,PM10,0.023
2022-06-10T09:00:00+03:00,SO2,0.0006
2022-06-10T09:00:00+03:00,NO2,0.023
2022-06-10T09:00:00+03:00,NH3,0.0086
2022-06-10T09:00:00+03:00,NO,0.004
2022-06-10T09:00:00+03:00,PM10,0.023
2022-06-10T09:00:00+03:00,CH4,1.37
2022-06-10T10:00:00+03:00,CH4,1.37
2022-06-10T10:00:00+03:00,SO2,0.0006
2022-06-10T10:00:00+03:00,PM10,0.026
2022-06-10T10:00:00+03:00,NO,0.003
