datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,0.044
2021-07-01T00:00:00+03:00,NO,0.015
2021-07-01T00:00:00+03:00,CO,0.28
2021-07-01T00:00:00+03:00,SO2,0.003
2021-08-01T00:00:00+03:00,NO2,0.051
2021-08-01T00:00:00+03:00,SO2,0.003
2021-08-01T00:00:00+03:00,CO,0.31
2021-08-01T00:00:00+03:00,NO,0.021
2021-09-01T00:00:00+03:00,SO2,0.0011
2021-09-01T00:00:00+03:00,NO2,0.04
2021-09-01T00:00:00+03:00,CO,0.27
2021-09-01T00:00:00+03:00,NO,0.018
2021-10-01T00:00:00+03:00,NO,0.034
2021-10-01T00:00:00+03:00,SO2,0.0017
2021-10-01T00:00:00+03:00,CO,0.41
2021-10-01T00:00:00+03:00,NO2,0.043
2021-11-01T00:00:00+03:00,SO2,0.0012
2021-11-01T00:00:00+03:00,CO,0.27
2021-11-01T00:00:00+03:00,NO2,0.033
2021-11-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,NO,0.022
2021-12-01T00:00:00+03:00,CO,0.39
2021-12-01T00:00:00+03:00,NO2,0.039
2021-12-01T00:00:00+03:00,SO2,0.0016
2022-01-01T00:00:00+03:00,SO2,0.0026
2022-01-01T00:00:00+03:00,CO,0.31
2022-01-01T00:00:00+03:00,NO,0.013
2022-01-01T00:00:00+03:00,NO2,0.038
2022-02-01T00:00:00+03:00,NO2,0.042
2022-02-01T00:00:00+03:00,CO,0.24
2022-02-01T00:00:00+03:00,SO2,0.0031
2022-02-01T00:00:00+03:00,NO,0.014
2022-03-01T00:00:00+03:00,CO,0.34
2022-03-01T00:00:00+03:00,NO2,0.053
2022-03-01T00:00:00+03:00,NO,0.037
2022-03-01T00:00:00+03:00,SO2,0.0043
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,NO,0.009
2022-04-01T00:00:00+03:00,CO,0.22
2022-04-01T00:00:00+03:00,SO2,0.0029
2022-05-01T00:00:00+03:00,NO2,0.022
2022-05-01T00:00:00+03:00,CO,0.18
2022-05-01T00:00:00+03:00,NO,0.009
2022-05-01T00:00:00+03:00,SO2,0.0041
2022-06-01T00:00:00+03:00,SO2,0.0026
2022-06-01T00:00:00+03:00,CO,0.27
2022-06-01T00:00:00+03:00,NO2,0.018
2022-06-01T00:00:00+03:00,NO,0.013
