datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,SO2,0.0028
2021-07-01T00:00:00+03:00,NO,0.015
2021-07-01T00:00:00+03:00,CO,0.53
2021-07-01T00:00:00+03:00,NO2,0.047
2021-08-01T00:00:00+03:00,NO2,0.049
2021-08-01T00:00:00+03:00,NO,0.022
2021-08-01T00:00:00+03:00,SO2,0.0031
2021-08-01T00:00:00+03:00,CO,0.46
2021-09-01T00:00:00+03:00,NO,0.018
2021-09-01T00:00:00+03:00,NO2,0.033
2021-09-01T00:00:00+03:00,SO2,0.0015
2021-09-01T00:00:00+03:00,CO,0.33
2021-10-01T00:00:00+03:00,NO,0.047
2021-10-01T00:00:00+03:00,CO,0.36
2021-10-01T00:00:00+03:00,NO2,0.047
2021-10-01T00:00:00+03:00,SO2,0.0011
2021-11-01T00:00:00+03:00,NO,0.019
2021-11-01T00:00:00+03:00,SO2,0.0014
2021-11-01T00:00:00+03:00,CO,0.28
2021-11-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,NO2,0.047
2021-12-01T00:00:00+03:00,CO,0.32
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,NO,0.024
2022-01-01T00:00:00+03:00,NO2,0.046
2022-01-01T00:00:00+03:00,SO2,0.0028
2022-01-01T00:00:00+03:00,NO,0.011
2022-01-01T00:00:00+03:00,CO,0.28
2022-02-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,NO,0.011
2022-02-01T00:00:00+03:00,NO2,0.05
2022-02-01T00:00:00+03:00,SO2,0.003
2022-03-01T00:00:00+03:00,NO2,0.066
2022-03-01T00:00:00+03:00,NO,0.03
2022-03-01T00:00:00+03:00,CO,0.36
2022-03-01T00:00:00+03:00,SO2,0.0076
2022-04-01T00:00:00+03:00,SO2,0.0035
2022-04-01T00:00:00+03:00,NO2,0.046
2022-04-01T00:00:00+03:00,NO,0.007
2022-04-01T00:00:00+03:00,CO,0.22
2022-05-01T00:00:00+03:00,SO2,0.0024
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,CO,
2022-05-01T00:00:00+03:00,NO2,0.037
2022-06-01T00:00:00+03:00,NO,0.018
2022-06-01T00:00:00+03:00,NO2,0.047
2022-06-01T00:00:00+03:00,SO2,0.0059
2022-07-01T00:00:00+03:00,NO2,0.044
2022-07-01T00:00:00+03:00,NO,0.017
