datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,CO,0.25
2021-07-01T00:00:00+03:00,PM2.5,0.015
2021-07-01T00:00:00+03:00,NO2,0.044
2021-08-01T00:00:00+03:00,CO,0.36
2021-08-01T00:00:00+03:00,NO2,0.037
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,NO,0.007
2021-09-01T00:00:00+03:00,CO,0.3
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,NO,0.008
2021-10-01T00:00:00+03:00,CO,0.3
2021-10-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,NO2,0.045
2021-10-01T00:00:00+03:00,NO,0.016
2021-11-01T00:00:00+03:00,CO,0.21
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,NO2,0.032
2021-11-01T00:00:00+03:00,NO,0.01
2021-12-01T00:00:00+03:00,PM2.5,0.012
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,NO2,0.043
2021-12-01T00:00:00+03:00,CO,0.31
2022-01-01T00:00:00+03:00,CO,0.26
2022-01-01T00:00:00+03:00,NO2,0.045
2022-01-01T00:00:00+03:00,NO,0.012
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,CO,0.25
2022-02-01T00:00:00+03:00,NO,0.012
2022-02-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,PM2.5,0.011
2022-03-01T00:00:00+03:00,NO2,0.056
2022-03-01T00:00:00+03:00,CO,0.29
2022-03-01T00:00:00+03:00,NO,0.019
2022-04-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,CO,0.21
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,PM2.5,0.009
2022-05-01T00:00:00+03:00,NO2,0.034
2022-05-01T00:00:00+03:00,NO,0.004
2022-05-01T00:00:00+03:00,CO,0.18
2022-06-01T00:00:00+03:00,NO2,0.043
2022-06-01T00:00:00+03:00,NO,0.01
2022-06-01T00:00:00+03:00,PM2.5,0.011
2022-06-01T00:00:00+03:00,CO,0.24
2022-07-01T00:00:00+03:00,CO,0.2
2022-07-01T00:00:00+03:00,NO2,0.04
2022-07-01T00:00:00+03:00,NO,0.008
2022-07-01T00:00:00+03:00,PM2.5,0.011
2022-08-01T00:00:00+03:00,PM2.5,0.027
2022-08-01T00:00:00+03:00,NO2,0.057
2022-08-01T00:00:00+03:00,NO,0.014
2022-08-01T00:00:00+03:00,CO,0.34
2022-09-01T00:00:00+03:00,NO2,0.037
2022-09-01T00:00:00+03:00,NO,0.019
2022-09-01T00:00:00+03:00,CO,0.21
2022-09-01T00:00:00+03:00,PM2.5,0.009
2022-10-01T00:00:00+03:00,NO,0.017
2022-10-01T00:00:00+03:00,CO,0.23
2022-10-01T00:00:00+03:00,NO2,0.047
2022-10-01T00:00:00+03:00,PM2.5,0.009
2022-11-01T00:00:00+03:00,NO2,0.042
2022-11-01T00:00:00+03:00,CO,0.16
2022-11-01T00:00:00+03:00,NO,0.013
2022-11-01T00:00:00+03:00,PM2.5,0.01
2022-12-01T00:00:00+03:00,PM2.5,0.012
2022-12-01T00:00:00+03:00,CO,0.27
2022-12-01T00:00:00+03:00,NO,0.029
2022-12-01T00:00:00+03:00,NO2,0.053
2023-01-01T00:00:00+03:00,NO,0.008
2023-01-01T00:00:00+03:00,CO,0.21
2023-01-01T00:00:00+03:00,NO2,0.045
2023-01-01T00:00:00+03:00,PM2.5,0.011
2023-02-01T00:00:00+03:00,NO,0.007
2023-02-01T00:00:00+03:00,NO2,0.046
2023-02-01T00:00:00+03:00,CO,0.24
2023-02-01T00:00:00+03:00,PM2.5,0.011
2023-03-01T00:00:00+03:00,PM2.5,0.008
2023-03-01T00:00:00+03:00,NO,0.009
2023-03-01T00:00:00+03:00,CO,0.21
2023-03-01T00:00:00+03:00,NO2,0.05
2023-04-01T00:00:00+03:00,CO,0.26
2023-04-01T00:00:00+03:00,PM2.5,0.016
2023-04-01T00:00:00+03:00,NO2,0.057
2023-04-01T00:00:00+03:00,NO,0.014
2023-05-01T00:00:00+03:00,NO2,0.048
2023-05-01T00:00:00+03:00,NO,0.018
2023-05-01T00:00:00+03:00,PM2.5,0.012
2023-05-01T00:00:00+03:00,CO,
2023-06-01T00:00:00+03:00,NO2,0.041
2023-06-01T00:00:00+03:00,CO,0.18
2023-06-01T00:00:00+03:00,NO,0.008
2023-06-01T00:00:00+03:00,PM2.5,0.014
2023-07-01T00:00:00+03:00,NO2,0.04
2023-07-01T00:00:00+03:00,CO,0.24
2023-07-01T00:00:00+03:00,PM2.5,0.011
2023-07-01T00:00:00+03:00,NO,0.009
2023-08-01T00:00:00+03:00,PM2.5,0.013
2023-08-01T00:00:00+03:00,NO2,0.048
2023-08-01T00:00:00+03:00,NO,0.015
2023-08-01T00:00:00+03:00,CO,0.29
2023-09-01T00:00:00+03:00,NO2,0.053
2023-09-01T00:00:00+03:00,CO,0.32
2023-09-01T00:00:00+03:00,PM2.5,0.014
2023-09-01T00:00:00+03:00,NO,0.025
2023-10-01T00:00:00+03:00,NO2,0.033
2023-10-01T00:00:00+03:00,CO,0.2
2023-10-01T00:00:00+03:00,PM2.5,0.008
2023-10-01T00:00:00+03:00,NO,0.012
2023-11-01T00:00:00+03:00,NO2,0.041
2023-11-01T00:00:00+03:00,NO,0.015
2023-11-01T00:00:00+03:00,PM2.5,0.009
2023-11-01T00:00:00+03:00,CO,0.23
2023-12-01T00:00:00+03:00,PM2.5,0.01
2023-12-01T00:00:00+03:00,NO2,0.046
2023-12-01T00:00:00+03:00,NO,0.018
2023-12-01T00:00:00+03:00,CO,0.25
2024-01-01T00:00:00+03:00,CO,0.28
2024-01-01T00:00:00+03:00,NO2,0.056
2024-01-01T00:00:00+03:00,PM2.5,0.011
2024-01-01T00:00:00+03:00,NO,0.018
2024-02-01T00:00:00+03:00,PM2.5,0.01
2024-02-01T00:00:00+03:00,CO,0.24
2024-02-01T00:00:00+03:00,NO,0.014
2024-02-01T00:00:00+03:00,NO2,0.053
2024-03-01T00:00:00+03:00,CO,0.28
2024-03-01T00:00:00+03:00,PM2.5,0.013
2024-03-01T00:00:00+03:00,NO,0.017
2024-03-01T00:00:00+03:00,NO2,0.064
2024-04-01T00:00:00+03:00,PM2.5,0.013
2024-04-01T00:00:00+03:00,NO,0.009
2024-04-01T00:00:00+03:00,NO2,0.041
2024-04-01T00:00:00+03:00,CO,0.2
2024-05-01T00:00:00+03:00,NO,0.009
2024-05-01T00:00:00+03:00,PM2.5,0.011
2024-05-01T00:00:00+03:00,NO2,0.037
2024-05-01T00:00:00+03:00,CO,0.19
2024-06-01T00:00:00+03:00,PM2.5,0.014
2024-06-01T00:00:00+03:00,CO,0.2
2024-06-01T00:00:00+03:00,NO2,0.035
2024-06-01T00:00:00+03:00,NO,0.007
2024-07-01T00:00:00+03:00,NO2,0.035
2024-07-01T00:00:00+03:00,PM2.5,0.011
2024-07-01T00:00:00+03:00,NO,0.005
2024-07-01T00:00:00+03:00,CO,0.2
2024-08-01T00:00:00+03:00,CO,0.27
2024-08-01T00:00:00+03:00,NO,0.012
2024-08-01T00:00:00+03:00,PM2.5,0.02
2024-08-01T00:00:00+03:00,NO2,0.039
2024-09-01T00:00:00+03:00,NO,0.018
2024-09-01T00:00:00+03:00,PM2.5,0.016
2024-09-01T00:00:00+03:00,NO2,0.052
2024-09-01T00:00:00+03:00,CO,0.31
2024-10-01T00:00:00+03:00,NO,0.019
2024-10-01T00:00:00+03:00,CO,0.25
2024-10-01T00:00:00+03:00,PM2.5,0.011
2024-10-01T00:00:00+03:00,NO2,0.039
2024-11-01T00:00:00+03:00,CO,0.16
2024-11-01T00:00:00+03:00,PM2.5,0.008
2024-11-01T00:00:00+03:00,NO2,0.033
2024-11-01T00:00:00+03:00,NO,0.011
2024-12-01T00:00:00+03:00,PM2.5,0.007
2024-12-01T00:00:00+03:00,NO2,0.038
2024-12-01T00:00:00+03:00,CO,0.19
2024-12-01T00:00:00+03:00,NO,0.016
2025-01-01T00:00:00+03:00,NO2,0.037
2025-01-01T00:00:00+03:00,PM2.5,0.008
2025-01-01T00:00:00+03:00,NO,0.008
2025-01-01T00:00:00+03:00,CO,0.15
2025-02-01T00:00:00+03:00,CO,0.25
2025-02-01T00:00:00+03:00,NO2,0.052
2025-02-01T00:00:00+03:00,PM2.5,0.011
2025-02-01T00:00:00+03:00,NO,0.019
2025-03-01T00:00:00+03:00,NO2,0.045
2025-03-01T00:00:00+03:00,NO,0.011
2025-03-01T00:00:00+03:00,CO,0.24
2025-03-01T00:00:00+03:00,PM2.5,0.011
2025-04-01T00:00:00+03:00,NO,0.006
2025-04-01T00:00:00+03:00,NO2,0.038
2025-04-01T00:00:00+03:00,PM2.5,0.009
2025-04-01T00:00:00+03:00,CO,0.13
2025-05-01T00:00:00+03:00,NO,0.009
2025-05-01T00:00:00+03:00,PM2.5,0.01
2025-05-01T00:00:00+03:00,CO,
2025-05-01T00:00:00+03:00,NO2,0.038
2025-06-01T00:00:00+03:00,PM2.5,0.009
2025-06-01T00:00:00+03:00,NO,0.007
2025-06-01T00:00:00+03:00,NO2,0.031
2025-07-01T00:00:00+03:00,NO2,0.036
2025-07-01T00:00:00+03:00,PM2.5,0.014
2025-07-01T00:00:00+03:00,NO,0.007
2025-08-01T00:00:00+03:00,PM2.5,0.018
2025-08-01T00:00:00+03:00,NO2,0.031
2025-08-01T00:00:00+03:00,NO,0.008
2025-09-01T00:00:00+03:00,NO,0.013
2025-09-01T00:00:00+03:00,NO2,0.035
2025-09-01T00:00:00+03:00,PM2.5,0.024
2025-10-01T00:00:00+03:00,NO2,0.033
2025-10-01T00:00:00+03:00,NO,0.015
2025-10-01T00:00:00+03:00,PM2.5,0.01
2025-11-01T00:00:00+03:00,NO2,0.032
2025-11-01T00:00:00+03:00,NO,0.018
2025-11-01T00:00:00+03:00,PM2.5,0.008
2025-12-01T00:00:00+03:00,NO2,0.034
2025-12-01T00:00:00+03:00,CO,0.26
2025-12-01T00:00:00+03:00,PM2.5,0.008
2025-12-01T00:00:00+03:00,NO,0.015
2026-01-01T00:00:00+03:00,CO,0.31
2026-01-01T00:00:00+03:00,NO2,0.047
2026-01-01T00:00:00+03:00,PM2.5,0.012
2026-01-01T00:00:00+03:00,NO,0.026
2026-02-01T00:00:00+03:00,CO,0.27
2026-02-01T00:00:00+03:00,PM2.5,0.01
2026-02-01T00:00:00+03:00,NO2,0.051
2026-02-01T00:00:00+03:00,NO,0.018
2026-03-01T00:00:00+03:00,NO2,0.056
2026-03-01T00:00:00+03:00,CO,0.26
2026-03-01T00:00:00+03:00,NO,0.013
2026-03-01T00:00:00+03:00,PM2.5,0.012
2026-04-01T00:00:00+03:00,CO,0.18
2026-04-01T00:00:00+03:00,NO2,0.033
2026-04-01T00:00:00+03:00,PM2.5,0.008
2026-04-01T00:00:00+03:00,NO,0.008
2026-05-01T00:00:00+03:00,PM2.5,0.012
2026-05-01T00:00:00+03:00,CO,0.23
2026-05-01T00:00:00+03:00,NO2,0.036
2026-05-01T00:00:00+03:00,NO,0.009
