datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,
2021-07-01T00:00:00+03:00,NO,
2021-07-01T00:00:00+03:00,CO,
2021-07-01T00:00:00+03:00,PM2.5,
2021-08-01T00:00:00+03:00,PM2.5,
2021-08-01T00:00:00+03:00,NO,
2021-08-01T00:00:00+03:00,NO2,
2021-08-01T00:00:00+03:00,CO,
2021-09-01T00:00:00+03:00,NO,0.011
2021-09-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,PM2.5,0.01
2021-09-01T00:00:00+03:00,NO2,0.027
2021-10-01T00:00:00+03:00,NO,0.025
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,CO,0.46
2021-10-01T00:00:00+03:00,PM2.5,0.015
2021-11-01T00:00:00+03:00,NO2,0.029
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,CO,0.25
2021-11-01T00:00:00+03:00,NO,0.009
2021-12-01T00:00:00+03:00,PM2.5,0.012
2021-12-01T00:00:00+03:00,NO2,0.042
2021-12-01T00:00:00+03:00,CO,0.33
2021-12-01T00:00:00+03:00,NO,0.024
2022-01-01T00:00:00+03:00,PM2.5,0.011
2022-01-01T00:00:00+03:00,NO2,0.042
2022-01-01T00:00:00+03:00,NO,0.01
2022-01-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,NO2,0.044
2022-02-01T00:00:00+03:00,NO,0.009
2022-02-01T00:00:00+03:00,CO,0.29
2022-03-01T00:00:00+03:00,CO,0.42
2022-03-01T00:00:00+03:00,NO2,0.052
2022-03-01T00:00:00+03:00,NO,0.029
2022-03-01T00:00:00+03:00,PM2.5,0.012
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO,0.006
2022-04-01T00:00:00+03:00,NO2,0.036
2022-04-01T00:00:00+03:00,CO,0.25
2022-05-01T00:00:00+03:00,NO2,0.027
2022-05-01T00:00:00+03:00,CO,0.16
2022-05-01T00:00:00+03:00,NO,0.005
2022-05-01T00:00:00+03:00,PM2.5,0.01
2022-06-01T00:00:00+03:00,NO2,0.032
2022-06-01T00:00:00+03:00,CO,0.17
2022-06-01T00:00:00+03:00,PM2.5,0.015
2022-06-01T00:00:00+03:00,NO,0.012
2022-07-01T00:00:00+03:00,CO,0.2
2022-07-01T00:00:00+03:00,NO2,0.028
2022-07-01T00:00:00+03:00,PM2.5,0.013
2022-07-01T00:00:00+03:00,NO,0.008
2022-08-01T00:00:00+03:00,NO,0.025
2022-08-01T00:00:00+03:00,NO2,0.048
2022-08-01T00:00:00+03:00,CO,0.27
2022-08-01T00:00:00+03:00,PM2.5,0.022
2022-09-01T00:00:00+03:00,NO2,0.027
2022-09-01T00:00:00+03:00,NO,0.02
