datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.38
2021-08-01T00:00:00+03:00,CO,0.31
2021-09-01T00:00:00+03:00,CO,0.3
2021-10-01T00:00:00+03:00,CO,0.4
2021-11-01T00:00:00+03:00,CO,0.23
2021-12-01T00:00:00+03:00,CO,0.28
2022-01-01T00:00:00+03:00,CO,0.38
2022-02-01T00:00:00+03:00,CO,0.27
2022-03-01T00:00:00+03:00,CO,0.34
2022-04-01T00:00:00+03:00,CO,0.14
2022-05-01T00:00:00+03:00,CO,0.1
2022-06-01T00:00:00+03:00,CO,0.15
2022-07-01T00:00:00+03:00,CO,0.13
2022-08-01T00:00:00+03:00,CO,0.3
2022-09-01T00:00:00+03:00,CO,0.2
2022-10-01T00:00:00+03:00,CO,0.26
2022-10-01T00:00:00+03:00,NO2,0.018
2022-10-01T00:00:00+03:00,NO,0.021
2022-11-01T00:00:00+03:00,NO2,0.022
2022-11-01T00:00:00+03:00,CO,0.21
2022-11-01T00:00:00+03:00,NO,0.012
2022-12-01T00:00:00+03:00,NO2,0.021
2022-12-01T00:00:00+03:00,CO,0.28
2022-12-01T00:00:00+03:00,NO,0.013
2023-01-01T00:00:00+03:00,CO,0.24
2023-01-01T00:00:00+03:00,NO,0.005
2023-01-01T00:00:00+03:00,NO2,0.015
2023-02-01T00:00:00+03:00,NO2,0.017
2023-02-01T00:00:00+03:00,CO,0.24
2023-02-01T00:00:00+03:00,NO,0.005
2023-03-01T00:00:00+03:00,NO2,0.017
2023-03-01T00:00:00+03:00,CO,0.25
2023-03-01T00:00:00+03:00,NO,0.01
2023-04-01T00:00:00+03:00,NO2,0.021
2023-04-01T00:00:00+03:00,CO,0.33
2023-04-01T00:00:00+03:00,NO,0.018
2023-05-01T00:00:00+03:00,NO2,0.016
2023-05-01T00:00:00+03:00,CO,0.28
2023-05-01T00:00:00+03:00,NO,0.016
2023-06-01T00:00:00+03:00,CO,0.3
2023-06-01T00:00:00+03:00,NO2,0.014
2023-06-01T00:00:00+03:00,NO,0.013
2023-07-01T00:00:00+03:00,NO,0.008
2023-07-01T00:00:00+03:00,NO2,0.016
2023-07-01T00:00:00+03:00,CO,0.23
2023-08-01T00:00:00+03:00,NO,0.028
2023-08-01T00:00:00+03:00,NO2,0.023
2023-08-01T00:00:00+03:00,CO,0.45
2023-09-01T00:00:00+03:00,NO2,0.022
2023-09-01T00:00:00+03:00,CO,0.51
2023-09-01T00:00:00+03:00,NO,0.036
2023-10-01T00:00:00+03:00,NO,0.011
