datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,NO2,0.025
2021-07-01T00:00:00+03:00,CO,0.09
2021-07-01T00:00:00+03:00,OZ,0.0543
2021-08-01T00:00:00+03:00,OZ,0.0261
2021-08-01T00:00:00+03:00,NO,0.008
2021-08-01T00:00:00+03:00,NO2,0.026
2021-08-01T00:00:00+03:00,CO,0.06
2021-09-01T00:00:00+03:00,CO,0.03
2021-09-01T00:00:00+03:00,NO2,0.022
2021-09-01T00:00:00+03:00,OZ,0.0186
2021-09-01T00:00:00+03:00,NO,0.008
2021-10-01T00:00:00+03:00,CO,0.06
2021-10-01T00:00:00+03:00,NO,0.005
2021-10-01T00:00:00+03:00,OZ,0.023
2021-10-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,CO,0.13
2021-11-01T00:00:00+03:00,NO,0.008
2021-11-01T00:00:00+03:00,OZ,0.022
2021-11-01T00:00:00+03:00,NO2,0.039
2021-12-01T00:00:00+03:00,NO2,0.045
2021-12-01T00:00:00+03:00,CO,0.21
2021-12-01T00:00:00+03:00,NO,0.025
2021-12-01T00:00:00+03:00,OZ,0.0165
2022-01-01T00:00:00+03:00,CO,0.16
2022-01-01T00:00:00+03:00,NO,0.01
2022-01-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,OZ,0.031
2022-02-01T00:00:00+03:00,CO,0.17
2022-02-01T00:00:00+03:00,NO2,0.042
2022-02-01T00:00:00+03:00,OZ,0.0327
2022-02-01T00:00:00+03:00,NO,0.01
2022-03-01T00:00:00+03:00,CO,0.23
2022-03-01T00:00:00+03:00,NO2,0.04
2022-03-01T00:00:00+03:00,NO,0.013
2022-03-01T00:00:00+03:00,OZ,0.0545
2022-04-01T00:00:00+03:00,NO,0.002
2022-04-01T00:00:00+03:00,OZ,0.0673
2022-04-01T00:00:00+03:00,NO2,0.023
2022-04-01T00:00:00+03:00,CO,0.08
2022-05-01T00:00:00+03:00,NO,0.004
2022-05-01T00:00:00+03:00,NO2,0.022
2022-05-01T00:00:00+03:00,OZ,0.0517
2022-05-01T00:00:00+03:00,CO,0.08
2022-06-01T00:00:00+03:00,CO,0.08
2022-06-01T00:00:00+03:00,NO2,0.022
2022-06-01T00:00:00+03:00,OZ,0.0367
2022-06-01T00:00:00+03:00,NO,0.009
2022-07-01T00:00:00+03:00,NO2,0.021
2022-07-01T00:00:00+03:00,CO,0.03
2022-07-01T00:00:00+03:00,NO,0.008
2022-08-01T00:00:00+03:00,CO,0.07
2022-08-01T00:00:00+03:00,NO2,0.023
2022-08-01T00:00:00+03:00,NO,0.007
2022-09-01T00:00:00+03:00,CO,0.04
2022-09-01T00:00:00+03:00,NO,0.013
2022-09-01T00:00:00+03:00,NO2,0.021
2022-10-01T00:00:00+03:00,CO,0.02
2022-10-01T00:00:00+03:00,NO2,0.024
2022-10-01T00:00:00+03:00,NO,0.013
2022-11-01T00:00:00+03:00,NO,0.008
2022-11-01T00:00:00+03:00,CO,0.04
2022-11-01T00:00:00+03:00,OZ,0.0227
2022-11-01T00:00:00+03:00,NO2,0.02
2022-12-01T00:00:00+03:00,CO,0.13
2022-12-01T00:00:00+03:00,NO,0.014
2022-12-01T00:00:00+03:00,NO2,0.033
2022-12-01T00:00:00+03:00,OZ,0.0128
2023-01-01T00:00:00+03:00,NO,0.008
2023-01-01T00:00:00+03:00,NO2,0.036
2023-01-01T00:00:00+03:00,CO,0.09
2023-01-01T00:00:00+03:00,OZ,0.0221
2023-02-01T00:00:00+03:00,NO2,0.025
2023-02-01T00:00:00+03:00,OZ,0.037
2023-02-01T00:00:00+03:00,NO,0.004
2023-02-01T00:00:00+03:00,CO,0.1
2023-03-01T00:00:00+03:00,CO,0.31
2023-03-01T00:00:00+03:00,OZ,0.0397
2023-03-01T00:00:00+03:00,NO,0.004
2023-03-01T00:00:00+03:00,NO2,0.02
