datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.029
2022-05-13T00:00:00+03:00,NO,0.015
2022-05-13T00:00:00+03:00,CO,0.01
2022-05-13T00:00:00+03:00,SO2,0.0019
2022-05-14T00:00:00+03:00,NO2,0.033
2022-05-14T00:00:00+03:00,NO,0.014
2022-05-14T00:00:00+03:00,CO,0.06
2022-05-14T00:00:00+03:00,SO2,0.0025
2022-05-15T00:00:00+03:00,NO,0.018
2022-05-15T00:00:00+03:00,SO2,0.0026
2022-05-15T00:00:00+03:00,CO,0.02
2022-05-15T00:00:00+03:00,NO2,0.039
2022-05-16T00:00:00+03:00,SO2,0.0023
2022-05-16T00:00:00+03:00,NO,0.019
2022-05-16T00:00:00+03:00,NO2,0.031
2022-05-16T00:00:00+03:00,CO,0.03
2022-05-17T00:00:00+03:00,CO,0.03
2022-05-17T00:00:00+03:00,NO,0.031
2022-05-17T00:00:00+03:00,NO2,0.034
2022-05-17T00:00:00+03:00,SO2,0.0027
2022-05-18T00:00:00+03:00,SO2,0.0026
2022-05-18T00:00:00+03:00,CO,0.12
2022-05-18T00:00:00+03:00,NO2,0.036
2022-05-18T00:00:00+03:00,NO,0.019
2022-05-19T00:00:00+03:00,NO2,0.043
2022-05-19T00:00:00+03:00,CO,0.04
2022-05-19T00:00:00+03:00,SO2,0.0031
2022-05-19T00:00:00+03:00,NO,0.032
2022-05-20T00:00:00+03:00,CO,0.06
2022-05-20T00:00:00+03:00,SO2,0.0025
2022-05-20T00:00:00+03:00,NO,0.021
2022-05-20T00:00:00+03:00,NO2,0.038
2022-05-21T00:00:00+03:00,SO2,0.0042
2022-05-21T00:00:00+03:00,CO,0.1
2022-05-21T00:00:00+03:00,NO,0.03
2022-05-21T00:00:00+03:00,NO2,0.037
2022-05-22T00:00:00+03:00,CO,0
2022-05-22T00:00:00+03:00,NO,0.013
2022-05-22T00:00:00+03:00,NO2,0.028
2022-05-22T00:00:00+03:00,SO2,0.0034
2022-05-23T00:00:00+03:00,NO,0.016
2022-05-23T00:00:00+03:00,SO2,0.0033
2022-05-23T00:00:00+03:00,NO2,0.035
2022-05-23T00:00:00+03:00,CO,0.02
2022-05-24T00:00:00+03:00,NO2,0.042
2022-05-24T00:00:00+03:00,SO2,0.0036
2022-05-24T00:00:00+03:00,NO,0.021
2022-05-24T00:00:00+03:00,CO,0.06
2022-05-25T00:00:00+03:00,NO,0.026
2022-05-25T00:00:00+03:00,SO2,0.0037
2022-05-25T00:00:00+03:00,NO2,0.032
2022-05-25T00:00:00+03:00,CO,0
2022-05-26T00:00:00+03:00,NO,0.019
2022-05-26T00:00:00+03:00,SO2,0.0021
2022-05-26T00:00:00+03:00,NO2,0.039
2022-05-26T00:00:00+03:00,CO,0.01
