datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,CO,0.53
2021-07-01T00:00:00+03:00,SO2,0.0034
2021-07-01T00:00:00+03:00,NO,0.034
2021-08-01T00:00:00+03:00,CO,0.6
2021-08-01T00:00:00+03:00,NO,0.033
2021-08-01T00:00:00+03:00,SO2,0.0035
2021-08-01T00:00:00+03:00,NO2,0.031
2021-09-01T00:00:00+03:00,CO,0.56
2021-09-01T00:00:00+03:00,SO2,0.0036
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,NO,0.033
2021-10-01T00:00:00+03:00,SO2,0.0038
2021-10-01T00:00:00+03:00,NO,0.063
2021-10-01T00:00:00+03:00,CO,0.7
2021-10-01T00:00:00+03:00,NO2,0.042
2021-11-01T00:00:00+03:00,SO2,0.0036
2021-11-01T00:00:00+03:00,NO2,0.034
2021-11-01T00:00:00+03:00,CO,0.48
2021-11-01T00:00:00+03:00,NO,0.043
2021-12-01T00:00:00+03:00,SO2,0.0039
2021-12-01T00:00:00+03:00,NO,0.045
2021-12-01T00:00:00+03:00,CO,0.53
2021-12-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,NO,0.029
2022-01-01T00:00:00+03:00,CO,0.42
2022-01-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,SO2,0.0032
2022-02-01T00:00:00+03:00,NO2,0.048
2022-02-01T00:00:00+03:00,NO,0.035
2022-02-01T00:00:00+03:00,CO,0.48
2022-02-01T00:00:00+03:00,SO2,0.0034
2022-03-01T00:00:00+03:00,CO,0.68
2022-03-01T00:00:00+03:00,NO2,0.059
2022-03-01T00:00:00+03:00,NO,0.078
2022-03-01T00:00:00+03:00,SO2,0.0047
2022-04-01T00:00:00+03:00,NO,0.023
2022-04-01T00:00:00+03:00,CO,0.4
2022-04-01T00:00:00+03:00,NO2,0.042
2022-04-01T00:00:00+03:00,SO2,0.0031
2022-05-01T00:00:00+03:00,NO,0.023
2022-05-01T00:00:00+03:00,CO,0.1
2022-05-01T00:00:00+03:00,NO2,0.039
2022-05-01T00:00:00+03:00,SO2,0.003
2022-06-01T00:00:00+03:00,SO2,0.0042
2022-06-01T00:00:00+03:00,NO2,0.045
2022-06-01T00:00:00+03:00,NO,0.027
2022-06-01T00:00:00+03:00,CO,0.41
2022-07-01T00:00:00+03:00,NO2,0.033
2022-07-01T00:00:00+03:00,NO,0.02
2022-07-01T00:00:00+03:00,CO,0.42
2022-08-01T00:00:00+03:00,NO2,0.037
2022-08-01T00:00:00+03:00,CO,0.54
2022-08-01T00:00:00+03:00,NO,0.02
2022-09-01T00:00:00+03:00,SO2,0.0037
2022-09-01T00:00:00+03:00,NO2,0.03
2022-09-01T00:00:00+03:00,NO,0.043
2022-09-01T00:00:00+03:00,CO,0.47
2022-10-01T00:00:00+03:00,SO2,0.003
2022-10-01T00:00:00+03:00,NO,0.073
2022-10-01T00:00:00+03:00,CO,0.45
2022-10-01T00:00:00+03:00,NO2,0.054
2022-11-01T00:00:00+03:00,NO2,0.047
2022-11-01T00:00:00+03:00,SO2,0.0022
2022-11-01T00:00:00+03:00,CO,0.38
2022-11-01T00:00:00+03:00,NO,0.041
2022-12-01T00:00:00+03:00,SO2,0.0021
2022-12-01T00:00:00+03:00,NO2,0.052
2022-12-01T00:00:00+03:00,NO,0.057
2022-12-01T00:00:00+03:00,CO,0.46
2023-01-01T00:00:00+03:00,NO,0.052
2023-01-01T00:00:00+03:00,SO2,0.0016
2023-01-01T00:00:00+03:00,CO,0.36
2023-01-01T00:00:00+03:00,NO2,0.065
2023-02-01T00:00:00+03:00,CO,0.39
2023-02-01T00:00:00+03:00,NO,0.099
2023-02-01T00:00:00+03:00,NO2,0.107
2023-02-01T00:00:00+03:00,SO2,0.0015
2023-03-01T00:00:00+03:00,SO2,0.0018
2023-03-01T00:00:00+03:00,NO,0.053
2023-03-01T00:00:00+03:00,NO2,0.066
2023-03-01T00:00:00+03:00,CO,0.44
2023-04-01T00:00:00+03:00,CO,0.48
2023-04-01T00:00:00+03:00,SO2,0.0025
2023-04-01T00:00:00+03:00,NO,0.063
2023-04-01T00:00:00+03:00,NO2,0.075
2023-05-01T00:00:00+03:00,NO,0.067
2023-05-01T00:00:00+03:00,NO2,0.073
2023-05-01T00:00:00+03:00,CO,0.48
2023-05-01T00:00:00+03:00,SO2,0.0031
2023-06-01T00:00:00+03:00,CO,0.38
2023-06-01T00:00:00+03:00,SO2,0.0041
2023-06-01T00:00:00+03:00,NO,0.035
2023-06-01T00:00:00+03:00,NO2,0.057
2023-07-01T00:00:00+03:00,SO2,
2023-07-01T00:00:00+03:00,CO,0.42
2023-07-01T00:00:00+03:00,NO2,0.052
2023-07-01T00:00:00+03:00,NO,0.028
2023-08-01T00:00:00+03:00,NO2,0.047
2023-08-01T00:00:00+03:00,CO,0.53
2023-08-01T00:00:00+03:00,NO,0.04
2023-08-01T00:00:00+03:00,SO2,0.0017
2023-09-01T00:00:00+03:00,CO,0.61
2023-09-01T00:00:00+03:00,SO2,0.0025
2023-09-01T00:00:00+03:00,NO,0.05
2023-09-01T00:00:00+03:00,NO2,0.052
2023-10-01T00:00:00+03:00,CO,0.38
2023-10-01T00:00:00+03:00,SO2,0.0024
2023-10-01T00:00:00+03:00,NO2,0.036
2023-10-01T00:00:00+03:00,NO,0.035
2023-11-01T00:00:00+03:00,NO,0.032
2023-11-01T00:00:00+03:00,NO2,0.037
2023-11-01T00:00:00+03:00,CO,0.41
2023-11-01T00:00:00+03:00,SO2,0.0029
2023-12-01T00:00:00+03:00,NO2,
2023-12-01T00:00:00+03:00,CO,0.33
2023-12-01T00:00:00+03:00,NO,
2023-12-01T00:00:00+03:00,SO2,0.0039
2024-01-01T00:00:00+03:00,SO2,0.0021
