datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CO,0.21
2022-06-09T16:00:00+03:00,NO2,0.031
2022-06-09T16:00:00+03:00,PM2.5,0.011
2022-06-09T16:00:00+03:00,NO,0.009
2022-06-09T16:00:00+03:00,PM10,0.011
2022-06-09T17:00:00+03:00,PM10,0.024
2022-06-09T17:00:00+03:00,NO,0.007
2022-06-09T17:00:00+03:00,NO2,0.037
2022-06-09T17:00:00+03:00,PM2.5,0.026
2022-06-09T17:00:00+03:00,CO,0.22
2022-06-09T18:00:00+03:00,PM2.5,0.013
2022-06-09T18:00:00+03:00,NO,0.01
2022-06-09T18:00:00+03:00,CO,0.28
2022-06-09T18:00:00+03:00,NO2,0.037
2022-06-09T18:00:00+03:00,PM10,0.013
2022-06-09T19:00:00+03:00,PM10,0.015
2022-06-09T19:00:00+03:00,NO2,0.05
2022-06-09T19:00:00+03:00,CO,0.28
2022-06-09T19:00:00+03:00,NO,0.019
2022-06-09T19:00:00+03:00,PM2.5,0.016
2022-06-09T20:00:00+03:00,PM2.5,0.017
2022-06-09T20:00:00+03:00,CO,0.4
2022-06-09T20:00:00+03:00,NO,0.021
2022-06-09T20:00:00+03:00,NO2,0.056
2022-06-09T20:00:00+03:00,PM10,0.017
2022-06-09T21:00:00+03:00,CO,0.3
2022-06-09T21:00:00+03:00,NO,0.008
2022-06-09T21:00:00+03:00,PM2.5,0.017
2022-06-09T21:00:00+03:00,PM10,0.016
2022-06-09T21:00:00+03:00,NO2,0.051
2022-06-09T22:00:00+03:00,PM10,0.018
2022-06-09T22:00:00+03:00,CO,0.39
2022-06-09T22:00:00+03:00,NO2,0.063
2022-06-09T22:00:00+03:00,NO,0.002
2022-06-09T22:00:00+03:00,PM2.5,0.018
2022-06-09T23:00:00+03:00,PM10,0.022
2022-06-09T23:00:00+03:00,CO,0.63
2022-06-09T23:00:00+03:00,NO2,0.082
2022-06-09T23:00:00+03:00,NO,0.054
2022-06-09T23:00:00+03:00,PM2.5,0.023
2022-06-10T00:00:00+03:00,NO2,0.097
2022-06-10T00:00:00+03:00,CO,0.82
2022-06-10T00:00:00+03:00,PM10,0.038
2022-06-10T00:00:00+03:00,PM2.5,0.041
2022-06-10T00:00:00+03:00,NO,0.115
2022-06-10T01:00:00+03:00,CO,0.67
2022-06-10T01:00:00+03:00,NO,0.082
2022-06-10T01:00:00+03:00,PM10,0.027
2022-06-10T01:00:00+03:00,PM2.5,0.029
2022-06-10T01:00:00+03:00,NO2,0.088
2022-06-10T02:00:00+03:00,PM2.5,0.037
2022-06-10T02:00:00+03:00,CO,0.76
2022-06-10T02:00:00+03:00,NO,0.14
2022-06-10T02:00:00+03:00,NO2,0.088
