datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.32
2021-07-01T00:00:00+03:00,NO,0.014
2021-07-01T00:00:00+03:00,NO2,0.04
2021-07-01T00:00:00+03:00,PM10,0.017
2021-07-01T00:00:00+03:00,PM2.5,0.009
2021-08-01T00:00:00+03:00,PM10,0.02
2021-08-01T00:00:00+03:00,PM2.5,0.013
2021-08-01T00:00:00+03:00,NO,0.031
2021-08-01T00:00:00+03:00,NO2,0.05
2021-08-01T00:00:00+03:00,CO,0.45
2021-09-01T00:00:00+03:00,CO,0.39
2021-09-01T00:00:00+03:00,PM10,0.01
2021-09-01T00:00:00+03:00,PM2.5,0.006
2021-09-01T00:00:00+03:00,NO,0.025
2021-09-01T00:00:00+03:00,NO2,0.033
2021-10-01T00:00:00+03:00,NO,0.038
2021-10-01T00:00:00+03:00,CO,0.46
2021-10-01T00:00:00+03:00,PM2.5,0.014
2021-10-01T00:00:00+03:00,PM10,0.025
2021-10-01T00:00:00+03:00,NO2,0.046
2021-11-01T00:00:00+03:00,CO,0.37
2021-11-01T00:00:00+03:00,PM10,0.013
2021-11-01T00:00:00+03:00,NO2,0.034
2021-11-01T00:00:00+03:00,NO,0.028
2021-11-01T00:00:00+03:00,PM2.5,0.005
2021-12-01T00:00:00+03:00,PM2.5,0.007
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,CO,0.48
2021-12-01T00:00:00+03:00,PM10,0.011
2021-12-01T00:00:00+03:00,NO,0.049
2022-01-01T00:00:00+03:00,NO,0.029
2022-01-01T00:00:00+03:00,NO2,0.045
2022-01-01T00:00:00+03:00,CO,0.39
2022-01-01T00:00:00+03:00,PM10,0.009
2022-01-01T00:00:00+03:00,PM2.5,0.006
2022-02-01T00:00:00+03:00,PM2.5,0.005
2022-02-01T00:00:00+03:00,CO,0.42
2022-02-01T00:00:00+03:00,NO,0.032
2022-02-01T00:00:00+03:00,NO2,0.051
2022-02-01T00:00:00+03:00,PM10,0.012
2022-03-01T00:00:00+03:00,NO,0.033
2022-03-01T00:00:00+03:00,NO2,0.055
2022-03-01T00:00:00+03:00,PM10,0.022
2022-03-01T00:00:00+03:00,PM2.5,0.006
2022-03-01T00:00:00+03:00,CO,0.45
2022-04-01T00:00:00+03:00,CO,0.35
2022-04-01T00:00:00+03:00,NO,0.017
2022-04-01T00:00:00+03:00,PM10,0.026
2022-04-01T00:00:00+03:00,NO2,0.053
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,PM10,0.021
2022-05-01T00:00:00+03:00,NO2,0.042
2022-05-01T00:00:00+03:00,NO,0.014
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,CO,0.29
2022-06-01T00:00:00+03:00,PM10,0.023
2022-06-01T00:00:00+03:00,NO2,0.043
2022-06-01T00:00:00+03:00,NO,0.02
2022-06-01T00:00:00+03:00,PM2.5,0.007
2022-06-01T00:00:00+03:00,CO,0.33
2022-07-01T00:00:00+03:00,PM2.5,0.007
2022-07-01T00:00:00+03:00,NO2,0.044
2022-07-01T00:00:00+03:00,NO,0.018
2022-07-01T00:00:00+03:00,PM10,0.02
2022-07-01T00:00:00+03:00,CO,0.33
2022-08-01T00:00:00+03:00,PM10,0.039
2022-08-01T00:00:00+03:00,PM2.5,0.013
2022-08-01T00:00:00+03:00,NO,0.04
2022-08-01T00:00:00+03:00,NO2,0.068
2022-08-01T00:00:00+03:00,CO,0.52
2022-09-01T00:00:00+03:00,NO,0.041
2022-09-01T00:00:00+03:00,CO,0.4
2022-09-01T00:00:00+03:00,NO2,0.038
2022-09-01T00:00:00+03:00,PM2.5,0.005
2022-09-01T00:00:00+03:00,PM10,0.015
2022-10-01T00:00:00+03:00,CO,0.41
2022-10-01T00:00:00+03:00,PM10,0.017
2022-10-01T00:00:00+03:00,PM2.5,0.005
2022-10-01T00:00:00+03:00,NO,0.043
2022-10-01T00:00:00+03:00,NO2,0.041
2022-11-01T00:00:00+03:00,PM10,0.012
2022-11-01T00:00:00+03:00,CO,0.36
2022-11-01T00:00:00+03:00,NO2,0.038
2022-11-01T00:00:00+03:00,NO,0.033
2022-11-01T00:00:00+03:00,PM2.5,0.006
2022-12-01T00:00:00+03:00,NO2,0.054
2022-12-01T00:00:00+03:00,CO,0.52
2022-12-01T00:00:00+03:00,NO,0.062
2022-12-01T00:00:00+03:00,PM2.5,0.008
2022-12-01T00:00:00+03:00,PM10,0.016
2023-01-01T00:00:00+03:00,NO2,0.048
2023-01-01T00:00:00+03:00,PM2.5,0.007
2023-01-01T00:00:00+03:00,NO,0.034
2023-01-01T00:00:00+03:00,CO,0.39
2023-01-01T00:00:00+03:00,PM10,0.014
2023-02-01T00:00:00+03:00,PM2.5,0.007
2023-02-01T00:00:00+03:00,CO,0.39
2023-02-01T00:00:00+03:00,NO,0.024
2023-02-01T00:00:00+03:00,NO2,0.046
2023-02-01T00:00:00+03:00,PM10,0.012
2023-03-01T00:00:00+03:00,NO,0.031
2023-03-01T00:00:00+03:00,PM2.5,0.005
2023-03-01T00:00:00+03:00,CO,0.4
2023-03-01T00:00:00+03:00,NO2,0.052
2023-03-01T00:00:00+03:00,PM10,0.018
2023-04-01T00:00:00+03:00,PM10,0.047
2023-04-01T00:00:00+03:00,PM2.5,0.01
2023-04-01T00:00:00+03:00,NO,0.032
2023-04-01T00:00:00+03:00,NO2,0.063
2023-04-01T00:00:00+03:00,CO,0.45
2023-05-01T00:00:00+03:00,NO2,0.048
2023-05-01T00:00:00+03:00,PM2.5,0.007
2023-05-01T00:00:00+03:00,CO,0.39
2023-05-01T00:00:00+03:00,NO,0.027
2023-05-01T00:00:00+03:00,PM10,0.023
2023-06-01T00:00:00+03:00,PM2.5,0.006
