datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO2,0.104
2022-06-09T16:00:00+03:00,H2S,0.0009
2022-06-09T16:00:00+03:00,CO,0.87
2022-06-09T16:00:00+03:00,NO,0.086
2022-06-09T17:00:00+03:00,NO,0.073
2022-06-09T17:00:00+03:00,CO,0.8
2022-06-09T17:00:00+03:00,H2S,0.0007
2022-06-09T17:00:00+03:00,NO2,0.099
2022-06-09T18:00:00+03:00,H2S,0.001
2022-06-09T18:00:00+03:00,CO,1.03
2022-06-09T18:00:00+03:00,NO,0.101
2022-06-09T18:00:00+03:00,NO2,0.107
2022-06-09T19:00:00+03:00,H2S,0.0011
2022-06-09T19:00:00+03:00,NO,0.113
2022-06-09T19:00:00+03:00,CO,1.1
2022-06-09T19:00:00+03:00,NO2,0.095
2022-06-09T20:00:00+03:00,NO,0.113
2022-06-09T20:00:00+03:00,CO,1.2
2022-06-09T20:00:00+03:00,NO2,0.098
2022-06-09T20:00:00+03:00,H2S,0.0012
2022-06-09T21:00:00+03:00,H2S,
2022-06-09T21:00:00+03:00,CO,
2022-06-09T21:00:00+03:00,NO,
2022-06-09T21:00:00+03:00,NO2,
2022-06-09T22:00:00+03:00,H2S,
2022-06-09T22:00:00+03:00,CO,
2022-06-09T22:00:00+03:00,NO,
2022-06-09T22:00:00+03:00,NO2,
2022-06-09T23:00:00+03:00,NO2,
2022-06-09T23:00:00+03:00,NO,
2022-06-09T23:00:00+03:00,CO,
2022-06-09T23:00:00+03:00,H2S,
2022-06-10T00:00:00+03:00,NO,
2022-06-10T00:00:00+03:00,NO2,
2022-06-10T00:00:00+03:00,CO,
2022-06-10T00:00:00+03:00,H2S,
2022-06-10T01:00:00+03:00,NO2,
2022-06-10T01:00:00+03:00,CO,
2022-06-10T01:00:00+03:00,H2S,
2022-06-10T01:00:00+03:00,NO,
2022-06-10T02:00:00+03:00,H2S,
2022-06-10T02:00:00+03:00,CO,
2022-06-10T02:00:00+03:00,NO,
2022-06-10T02:00:00+03:00,NO2,
2022-06-10T03:00:00+03:00,NO2,
2022-06-10T03:00:00+03:00,H2S,
2022-06-10T03:00:00+03:00,CO,
2022-06-10T03:00:00+03:00,NO,
2022-06-10T04:00:00+03:00,H2S,
2022-06-10T04:00:00+03:00,NO2,
2022-06-10T04:00:00+03:00,CO,
2022-06-10T04:00:00+03:00,NO,
2022-06-10T05:00:00+03:00,H2S,
2022-06-10T05:00:00+03:00,NO2,
2022-06-10T05:00:00+03:00,CO,
