datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,1.04
2021-07-01T00:00:00+03:00,PM2.5,0.018
2021-07-01T00:00:00+03:00,NO,0.134
2021-07-01T00:00:00+03:00,NO2,0.084
2021-08-01T00:00:00+03:00,NO2,0.084
2021-08-01T00:00:00+03:00,CO,1.23
2021-08-01T00:00:00+03:00,NO,0.149
2021-08-01T00:00:00+03:00,PM2.5,0.019
2021-09-01T00:00:00+03:00,NO2,0.048
2021-09-01T00:00:00+03:00,CO,1
2021-09-01T00:00:00+03:00,NO,0.11
2021-09-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,NO2,0.054
2021-10-01T00:00:00+03:00,CO,0.96
2021-10-01T00:00:00+03:00,NO,0.12
2021-10-01T00:00:00+03:00,PM2.5,0.018
2021-11-01T00:00:00+03:00,NO,0.112
2021-11-01T00:00:00+03:00,NO2,0.051
2021-11-01T00:00:00+03:00,CO,0.78
2021-11-01T00:00:00+03:00,PM2.5,0.013
2021-12-01T00:00:00+03:00,NO,0.141
2021-12-01T00:00:00+03:00,CO,0.93
2021-12-01T00:00:00+03:00,NO2,0.056
2021-12-01T00:00:00+03:00,PM2.5,0.015
2022-01-01T00:00:00+03:00,PM2.5,0.012
2022-01-01T00:00:00+03:00,CO,0.67
2022-01-01T00:00:00+03:00,NO,0.115
2022-01-01T00:00:00+03:00,NO2,0.058
2022-02-01T00:00:00+03:00,PM2.5,0.013
2022-02-01T00:00:00+03:00,NO,0.128
2022-02-01T00:00:00+03:00,CO,0.8
2022-02-01T00:00:00+03:00,NO2,0.076
2022-03-01T00:00:00+03:00,NO,0.14
2022-03-01T00:00:00+03:00,PM2.5,0.015
2022-03-01T00:00:00+03:00,CO,0.91
2022-03-01T00:00:00+03:00,NO2,0.079
2022-04-01T00:00:00+03:00,NO2,0.075
2022-04-01T00:00:00+03:00,CO,0.77
2022-04-01T00:00:00+03:00,PM2.5,0.013
2022-04-01T00:00:00+03:00,NO,0.112
