datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.022
2021-07-01T00:00:00+03:00,NO2,0.041
2021-07-01T00:00:00+03:00,CO,0.39
2021-08-01T00:00:00+03:00,CO,0.43
2021-08-01T00:00:00+03:00,NO2,0.039
2021-08-01T00:00:00+03:00,NO,0.019
2021-09-01T00:00:00+03:00,NO,0.016
2021-09-01T00:00:00+03:00,CO,0.38
2021-09-01T00:00:00+03:00,NO2,0.032
2021-10-01T00:00:00+03:00,CO,0.52
2021-10-01T00:00:00+03:00,NO2,0.046
2021-10-01T00:00:00+03:00,NO,0.056
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,CO,0.32
2021-11-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,NO,0.025
2021-12-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,NO2,0.042
2022-01-01T00:00:00+03:00,NO,0.014
2022-01-01T00:00:00+03:00,CO,0.29
2022-02-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,NO,0.013
2022-02-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,CO,0.34
2022-03-01T00:00:00+03:00,NO2,0.055
2022-03-01T00:00:00+03:00,NO,0.043
2022-04-01T00:00:00+03:00,NO,0.006
2022-04-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,CO,0.16
2022-05-01T00:00:00+03:00,NO,0.012
2022-06-01T00:00:00+03:00,NO,0.022
2022-06-01T00:00:00+03:00,CO,0.27
2022-06-01T00:00:00+03:00,NO2,0.033
2022-07-01T00:00:00+03:00,NO,0.017
2022-07-01T00:00:00+03:00,CO,0.28
2022-07-01T00:00:00+03:00,NO2,0.039
2022-08-01T00:00:00+03:00,NO,0.016
2022-08-01T00:00:00+03:00,CO,0.35
2022-08-01T00:00:00+03:00,NO2,0.04
2022-09-01T00:00:00+03:00,CO,0.3
2022-09-01T00:00:00+03:00,NO,0.041
2022-09-01T00:00:00+03:00,NO2,0.034
2022-10-01T00:00:00+03:00,CO,0.28
2022-10-01T00:00:00+03:00,NO,0.033
2022-10-01T00:00:00+03:00,NO2,0.047
2022-11-01T00:00:00+03:00,NO,0.014
2022-11-01T00:00:00+03:00,NO2,0.035
2022-11-01T00:00:00+03:00,CO,0.21
2022-12-01T00:00:00+03:00,NO2,0.054
2022-12-01T00:00:00+03:00,CO,0.27
2022-12-01T00:00:00+03:00,NO,0.023
2023-01-01T00:00:00+03:00,NO2,0.046
2023-01-01T00:00:00+03:00,NO,0.011
2023-01-01T00:00:00+03:00,CO,0.22
2023-02-01T00:00:00+03:00,CO,0.26
2023-02-01T00:00:00+03:00,NO,0.011
2023-02-01T00:00:00+03:00,NO2,0.047
2023-03-01T00:00:00+03:00,CO,0.36
2023-03-01T00:00:00+03:00,NO,0.02
2023-03-01T00:00:00+03:00,NO2,0.053
2023-04-01T00:00:00+03:00,NO,0.025
2023-04-01T00:00:00+03:00,CO,0.45
2023-04-01T00:00:00+03:00,NO2,0.046
2023-05-01T00:00:00+03:00,NO,0.036
2023-05-01T00:00:00+03:00,CO,0.45
2023-05-01T00:00:00+03:00,NO2,0.045
2023-06-01T00:00:00+03:00,NO2,0.032
2023-06-01T00:00:00+03:00,NO,0.022
2023-06-01T00:00:00+03:00,CO,0.3
2023-07-01T00:00:00+03:00,NO,0.023
2023-07-01T00:00:00+03:00,CO,0.35
2023-07-01T00:00:00+03:00,NO2,0.038
2023-08-01T00:00:00+03:00,NO,0.024
2023-08-01T00:00:00+03:00,NO2,0.037
2023-08-01T00:00:00+03:00,CO,0.42
2023-09-01T00:00:00+03:00,NO2,0.048
2023-09-01T00:00:00+03:00,CO,0.51
2023-09-01T00:00:00+03:00,NO,0.042
2023-10-01T00:00:00+03:00,NO2,0.035
2023-10-01T00:00:00+03:00,CO,0.34
2023-10-01T00:00:00+03:00,NO,0.019
2023-11-01T00:00:00+03:00,CO,0.32
2023-11-01T00:00:00+03:00,NO,0.019
2023-11-01T00:00:00+03:00,NO2,0.038
2023-12-01T00:00:00+03:00,NO,0.021
2023-12-01T00:00:00+03:00,NO2,0.044
2023-12-01T00:00:00+03:00,CO,0.29
2024-01-01T00:00:00+03:00,NO,0.026
2024-01-01T00:00:00+03:00,CO,0.33
2024-01-01T00:00:00+03:00,NO2,0.056
2024-02-01T00:00:00+03:00,NO2,0.051
2024-02-01T00:00:00+03:00,NO,0.015
2024-02-01T00:00:00+03:00,CO,0.29
2024-03-01T00:00:00+03:00,NO,0.035
2024-03-01T00:00:00+03:00,CO,0.41
2024-03-01T00:00:00+03:00,NO2,0.067
2024-04-01T00:00:00+03:00,NO,0.018
2024-04-01T00:00:00+03:00,NO2,0.042
2024-04-01T00:00:00+03:00,CO,0.34
2024-05-01T00:00:00+03:00,CO,0.32
2024-05-01T00:00:00+03:00,NO,0.021
2024-05-01T00:00:00+03:00,NO2,0.039
2024-06-01T00:00:00+03:00,NO2,0.037
2024-06-01T00:00:00+03:00,CO,0.33
2024-06-01T00:00:00+03:00,NO,0.015
2024-07-01T00:00:00+03:00,NO2,0.037
2024-07-01T00:00:00+03:00,CO,0.35
2024-07-01T00:00:00+03:00,NO,0.012
2024-08-01T00:00:00+03:00,NO2,0.04
2024-08-01T00:00:00+03:00,NO,0.027
2024-08-01T00:00:00+03:00,CO,0.45
2024-09-01T00:00:00+03:00,CO,0.44
2024-09-01T00:00:00+03:00,NO2,0.042
2024-09-01T00:00:00+03:00,NO,0.02
2024-10-01T00:00:00+03:00,NO,0.025
2024-10-01T00:00:00+03:00,CO,0.39
2024-10-01T00:00:00+03:00,NO2,0.038
2024-11-01T00:00:00+03:00,NO2,0.037
2024-11-01T00:00:00+03:00,NO,0.014
2024-11-01T00:00:00+03:00,CO,0.28
2024-12-01T00:00:00+03:00,NO2,0.041
2024-12-01T00:00:00+03:00,NO,0.02
2024-12-01T00:00:00+03:00,CO,0.32
2025-01-01T00:00:00+03:00,NO2,0.041
2025-01-01T00:00:00+03:00,CO,0.29
2025-01-01T00:00:00+03:00,NO,0.01
2025-02-01T00:00:00+03:00,NO,0.037
2025-02-01T00:00:00+03:00,NO2,0.054
2025-02-01T00:00:00+03:00,CO,0.41
2025-03-01T00:00:00+03:00,CO,0.37
2025-03-01T00:00:00+03:00,NO2,0.049
2025-03-01T00:00:00+03:00,NO,0.02
2025-04-01T00:00:00+03:00,NO2,0.043
2025-04-01T00:00:00+03:00,NO,0.012
2025-04-01T00:00:00+03:00,CO,0.32
2025-05-01T00:00:00+03:00,CO,0.33
2025-05-01T00:00:00+03:00,NO2,0.039
2025-05-01T00:00:00+03:00,NO,0.012
2025-06-01T00:00:00+03:00,NO,0.009
2025-06-01T00:00:00+03:00,CO,0.35
2025-06-01T00:00:00+03:00,NO2,0.032
2025-07-01T00:00:00+03:00,NO2,0.017
2025-07-01T00:00:00+03:00,NO,0.005
2025-07-01T00:00:00+03:00,CO,0.35
2025-08-01T00:00:00+03:00,NO,0.012
2025-08-01T00:00:00+03:00,NO2,0.021
2025-08-01T00:00:00+03:00,CO,0.39
2025-09-01T00:00:00+03:00,NO2,0.02
2025-09-01T00:00:00+03:00,NO,0.005
2025-09-01T00:00:00+03:00,CO,0.33
