datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,SO2,0.0013
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,PM10,0.045
2021-07-01T00:00:00+03:00,NO,0.025
2021-07-01T00:00:00+03:00,CO,0.1
2021-08-01T00:00:00+03:00,NO2,0.048
2021-08-01T00:00:00+03:00,NO,0.022
2021-08-01T00:00:00+03:00,PM10,0.037
2021-08-01T00:00:00+03:00,SO2,0.0024
2021-08-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,NO2,0.038
2021-09-01T00:00:00+03:00,CO,0.35
2021-09-01T00:00:00+03:00,SO2,0.0019
2021-09-01T00:00:00+03:00,NO,0.022
2021-09-01T00:00:00+03:00,PM10,0.024
2021-10-01T00:00:00+03:00,NO,0.037
2021-10-01T00:00:00+03:00,NO2,0.048
2021-10-01T00:00:00+03:00,PM10,0.037
2021-10-01T00:00:00+03:00,SO2,0.0024
2021-10-01T00:00:00+03:00,CO,0.41
2021-11-01T00:00:00+03:00,PM10,0.017
2021-11-01T00:00:00+03:00,SO2,0.0023
2021-11-01T00:00:00+03:00,NO2,0.041
2021-11-01T00:00:00+03:00,NO,0.016
2021-11-01T00:00:00+03:00,CO,0.31
2021-12-01T00:00:00+03:00,NO,0.022
2021-12-01T00:00:00+03:00,SO2,0.0015
2021-12-01T00:00:00+03:00,CO,0.34
2021-12-01T00:00:00+03:00,NO2,0.052
2021-12-01T00:00:00+03:00,PM10,0.011
2022-01-01T00:00:00+03:00,NO,0.009
2022-01-01T00:00:00+03:00,PM10,0.011
2022-01-01T00:00:00+03:00,CO,0.29
2022-01-01T00:00:00+03:00,SO2,0.0014
2022-01-01T00:00:00+03:00,NO2,0.028
2022-02-01T00:00:00+03:00,SO2,0.0011
2022-02-01T00:00:00+03:00,NO,0.009
2022-02-01T00:00:00+03:00,CO,0.29
2022-02-01T00:00:00+03:00,PM10,0.012
2022-02-01T00:00:00+03:00,NO2,0.024
2022-03-01T00:00:00+03:00,SO2,0.0028
2022-03-01T00:00:00+03:00,PM10,0.033
2022-03-01T00:00:00+03:00,NO2,0.039
2022-03-01T00:00:00+03:00,NO,0.048
2022-03-01T00:00:00+03:00,CO,0.44
2022-04-01T00:00:00+03:00,CO,0.28
2022-04-01T00:00:00+03:00,NO,0.006
2022-04-01T00:00:00+03:00,SO2,0.0024
2022-04-01T00:00:00+03:00,NO2,0.02
2022-04-01T00:00:00+03:00,PM10,0.021
2022-05-01T00:00:00+03:00,NO,0.004
2022-05-01T00:00:00+03:00,CO,0.24
2022-05-01T00:00:00+03:00,NO2,0.011
2022-05-01T00:00:00+03:00,SO2,0.0018
2022-05-01T00:00:00+03:00,PM10,0.026
2022-06-01T00:00:00+03:00,NO,0.008
2022-06-01T00:00:00+03:00,NO2,0.013
2022-06-01T00:00:00+03:00,PM10,0.035
2022-06-01T00:00:00+03:00,SO2,0.0017
2022-06-01T00:00:00+03:00,CO,0.31
