datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM10,0.026
2021-07-01T00:00:00+03:00,NO,0.015
2021-07-01T00:00:00+03:00,SO2,0.0014
2021-07-01T00:00:00+03:00,OZ,0.0538
2021-07-01T00:00:00+03:00,PM2.5,0.011
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,CO,0.26
2021-08-01T00:00:00+03:00,PM10,0.03
2021-08-01T00:00:00+03:00,OZ,0.0456
2021-08-01T00:00:00+03:00,CO,0.28
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,SO2,0.0013
2021-08-01T00:00:00+03:00,NO2,0.044
2021-08-01T00:00:00+03:00,NO,0.017
2021-09-01T00:00:00+03:00,NO,0.02
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,OZ,0.0282
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,PM10,0.018
2021-09-01T00:00:00+03:00,SO2,0.0007
2021-09-01T00:00:00+03:00,CO,0.18
2021-10-01T00:00:00+03:00,NO,0.025
2021-10-01T00:00:00+03:00,CO,0.25
2021-10-01T00:00:00+03:00,PM10,0.027
2021-10-01T00:00:00+03:00,SO2,0.0012
2021-10-01T00:00:00+03:00,OZ,0.0261
2021-10-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,NO2,0.045
2021-11-01T00:00:00+03:00,OZ,0.0257
2021-11-01T00:00:00+03:00,PM10,0.019
2021-11-01T00:00:00+03:00,NO,0.012
2021-11-01T00:00:00+03:00,PM2.5,0.009
2021-11-01T00:00:00+03:00,SO2,0.0006
2021-11-01T00:00:00+03:00,NO2,0.036
2021-11-01T00:00:00+03:00,CO,0.17
2021-12-01T00:00:00+03:00,SO2,0.0019
2021-12-01T00:00:00+03:00,OZ,0.0176
2021-12-01T00:00:00+03:00,NO2,0.049
2021-12-01T00:00:00+03:00,PM10,0.015
2021-12-01T00:00:00+03:00,NO,0.036
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,CO,0.26
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-01-01T00:00:00+03:00,PM10,0.013
2022-01-01T00:00:00+03:00,NO,0.018
2022-01-01T00:00:00+03:00,SO2,0.0017
2022-01-01T00:00:00+03:00,CO,0.29
2022-01-01T00:00:00+03:00,NO2,0.049
2022-01-01T00:00:00+03:00,OZ,0.0293
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,CO,0.31
2022-02-01T00:00:00+03:00,NO2,0.049
2022-02-01T00:00:00+03:00,NO,0.015
2022-02-01T00:00:00+03:00,SO2,0.0013
2022-02-01T00:00:00+03:00,OZ,0.0403
2022-02-01T00:00:00+03:00,PM10,0.017
2022-03-01T00:00:00+03:00,OZ,0.0491
2022-03-01T00:00:00+03:00,NO,0.038
2022-03-01T00:00:00+03:00,PM10,0.038
2022-03-01T00:00:00+03:00,NO2,0.057
2022-03-01T00:00:00+03:00,CO,0.39
2022-03-01T00:00:00+03:00,PM2.5,0.011
2022-03-01T00:00:00+03:00,SO2,0.0018
2022-04-01T00:00:00+03:00,NO2,0.039
2022-04-01T00:00:00+03:00,OZ,0.0599
2022-04-01T00:00:00+03:00,SO2,0.001
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO,0.014
2022-04-01T00:00:00+03:00,CO,0.29
2022-04-01T00:00:00+03:00,PM10,0.025
2022-05-01T00:00:00+03:00,OZ,0.0622
2022-05-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,NO,0.009
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,PM10,0.02
2022-05-01T00:00:00+03:00,NO2,0.03
2022-05-01T00:00:00+03:00,SO2,0.0008
2022-06-01T00:00:00+03:00,NO,0.018
2022-06-01T00:00:00+03:00,SO2,0.0016
2022-06-01T00:00:00+03:00,PM10,0.025
2022-06-01T00:00:00+03:00,CO,0.3
2022-06-01T00:00:00+03:00,OZ,0.0495
2022-06-01T00:00:00+03:00,NO2,0.037
2022-06-01T00:00:00+03:00,PM2.5,0.011
2022-07-01T00:00:00+03:00,NO,0.016
2022-07-01T00:00:00+03:00,SO2,0.0009
2022-07-01T00:00:00+03:00,NO2,0.036
2022-07-01T00:00:00+03:00,CO,0.28
2022-07-01T00:00:00+03:00,PM2.5,0.016
2022-07-01T00:00:00+03:00,PM10,0.023
2022-07-01T00:00:00+03:00,OZ,0.0534
2022-08-01T00:00:00+03:00,NO,0.03
2022-08-01T00:00:00+03:00,CO,0.37
2022-08-01T00:00:00+03:00,SO2,0.0013
2022-08-01T00:00:00+03:00,PM10,0.041
2022-08-01T00:00:00+03:00,PM2.5,0.02
2022-08-01T00:00:00+03:00,OZ,0.051
2022-08-01T00:00:00+03:00,NO2,0.052
2022-09-01T00:00:00+03:00,PM10,0.017
2022-09-01T00:00:00+03:00,NO,0.029
2022-09-01T00:00:00+03:00,OZ,0.0209
2022-09-01T00:00:00+03:00,PM2.5,0.008
2022-09-01T00:00:00+03:00,SO2,0.0011
2022-09-01T00:00:00+03:00,CO,0.23
2022-09-01T00:00:00+03:00,NO2,0.031
2022-10-01T00:00:00+03:00,CO,0.2
2022-10-01T00:00:00+03:00,PM2.5,0.009
2022-10-01T00:00:00+03:00,NO,0.026
2022-10-01T00:00:00+03:00,PM10,0.021
2022-10-01T00:00:00+03:00,OZ,0.0187
2022-10-01T00:00:00+03:00,SO2,0.0014
2022-10-01T00:00:00+03:00,NO2,0.037
2022-11-01T00:00:00+03:00,CO,0.24
2022-11-01T00:00:00+03:00,NO2,0.032
2022-11-01T00:00:00+03:00,NO,0.025
2022-11-01T00:00:00+03:00,PM10,0.017
2022-11-01T00:00:00+03:00,SO2,0.0017
2022-11-01T00:00:00+03:00,PM2.5,0.01
2022-11-01T00:00:00+03:00,OZ,0.019
2022-12-01T00:00:00+03:00,PM10,0.017
