datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO,
2022-06-09T16:00:00+03:00,NO2,
2022-06-09T16:00:00+03:00,CO,
2022-06-09T17:00:00+03:00,CO,
2022-06-09T17:00:00+03:00,NO,
2022-06-09T17:00:00+03:00,NO2,
2022-06-09T18:00:00+03:00,CO,
2022-06-09T18:00:00+03:00,NO,
2022-06-09T18:00:00+03:00,NO2,
2022-06-09T19:00:00+03:00,CO,
2022-06-09T19:00:00+03:00,NO2,
2022-06-09T19:00:00+03:00,NO,
2022-06-09T20:00:00+03:00,NO2,
2022-06-09T20:00:00+03:00,NO,
2022-06-09T20:00:00+03:00,CO,
2022-06-09T21:00:00+03:00,NO,
2022-06-09T21:00:00+03:00,NO2,
2022-06-09T21:00:00+03:00,CO,
2022-06-09T22:00:00+03:00,CO,
2022-06-09T22:00:00+03:00,NO,
2022-06-09T22:00:00+03:00,NO2,
2022-06-09T23:00:00+03:00,NO,
2022-06-09T23:00:00+03:00,NO2,
2022-06-09T23:00:00+03:00,CO,
2022-06-10T00:00:00+03:00,NO2,
2022-06-10T00:00:00+03:00,CO,
2022-06-10T00:00:00+03:00,NO,
2022-06-10T01:00:00+03:00,NO2,
2022-06-10T01:00:00+03:00,NO,
2022-06-10T01:00:00+03:00,CO,
2022-06-10T02:00:00+03:00,NO,
2022-06-10T02:00:00+03:00,NO2,
2022-06-10T02:00:00+03:00,CO,
2022-06-10T03:00:00+03:00,NO2,
2022-06-10T03:00:00+03:00,CO,
2022-06-10T03:00:00+03:00,NO,
2022-06-10T04:00:00+03:00,CO,
2022-06-10T04:00:00+03:00,NO2,
2022-06-10T04:00:00+03:00,NO,
2022-06-10T05:00:00+03:00,NO,
2022-06-10T05:00:00+03:00,NO2,
2022-06-10T05:00:00+03:00,CO,
2022-06-10T06:00:00+03:00,NO2,
2022-06-10T06:00:00+03:00,NO,
2022-06-10T06:00:00+03:00,CO,
2022-06-10T07:00:00+03:00,CO,
2022-06-10T07:00:00+03:00,NO,
2022-06-10T07:00:00+03:00,NO2,
2022-06-10T08:00:00+03:00,NO,
2022-06-10T08:00:00+03:00,NO2,
2022-06-10T08:00:00+03:00,CO,
2022-06-10T09:00:00+03:00,NO,
2022-06-10T09:00:00+03:00,NO2,
