datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.16
2021-07-01T00:00:00+03:00,NO,0.012
2021-07-01T00:00:00+03:00,NO2,0.034
2021-07-01T00:00:00+03:00,NH3,
2021-08-01T00:00:00+03:00,NO2,0.038
2021-08-01T00:00:00+03:00,NH3,
2021-08-01T00:00:00+03:00,NO,0.017
2021-08-01T00:00:00+03:00,CO,0.22
2021-09-01T00:00:00+03:00,CO,0.21
2021-09-01T00:00:00+03:00,NO,0.019
2021-09-01T00:00:00+03:00,NH3,
2021-09-01T00:00:00+03:00,NO2,0.026
2021-10-01T00:00:00+03:00,NH3,
2021-10-01T00:00:00+03:00,NO2,0.029
2021-10-01T00:00:00+03:00,CO,0.18
2021-10-01T00:00:00+03:00,NO,0.017
2021-11-01T00:00:00+03:00,NH3,
2021-11-01T00:00:00+03:00,NO,0.012
2021-11-01T00:00:00+03:00,CO,0.15
2021-11-01T00:00:00+03:00,NO2,0.021
2021-12-01T00:00:00+03:00,NH3,
2021-12-01T00:00:00+03:00,NO2,0.033
2021-12-01T00:00:00+03:00,NO,0.021
2021-12-01T00:00:00+03:00,CO,0.2
2022-01-01T00:00:00+03:00,CO,0.17
2022-01-01T00:00:00+03:00,NO,0.01
2022-01-01T00:00:00+03:00,NH3,
2022-01-01T00:00:00+03:00,NO2,0.034
2022-02-01T00:00:00+03:00,NH3,0.0015
2022-02-01T00:00:00+03:00,NO2,0.03
2022-02-01T00:00:00+03:00,CO,0.14
2022-02-01T00:00:00+03:00,NO,0.011
2022-03-01T00:00:00+03:00,NH3,0.0018
2022-03-01T00:00:00+03:00,NO2,0.049
2022-03-01T00:00:00+03:00,CO,0.2
2022-03-01T00:00:00+03:00,NO,0.024
2022-04-01T00:00:00+03:00,NO2,0.032
2022-04-01T00:00:00+03:00,CO,0.16
2022-04-01T00:00:00+03:00,NO,0.009
2022-04-01T00:00:00+03:00,NH3,0.0025
2022-05-01T00:00:00+03:00,NH3,0.0021
2022-05-01T00:00:00+03:00,NO2,0.023
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,CO,0.09
2022-06-01T00:00:00+03:00,NO,0.019
2022-06-01T00:00:00+03:00,NH3,0.003
2022-06-01T00:00:00+03:00,NO2,0.033
2022-06-01T00:00:00+03:00,CO,0.16
