datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.17
2021-07-01T00:00:00+03:00,OZ,0.028
2021-08-01T00:00:00+03:00,CO,0.14
2021-08-01T00:00:00+03:00,OZ,0.0269
2021-09-01T00:00:00+03:00,CO,0.09
2021-09-01T00:00:00+03:00,OZ,0.0183
2021-10-01T00:00:00+03:00,CO,0.1
2021-10-01T00:00:00+03:00,OZ,0.0283
2021-11-01T00:00:00+03:00,OZ,0.031
2021-11-01T00:00:00+03:00,CO,0.08
2021-12-01T00:00:00+03:00,OZ,0.0278
2021-12-01T00:00:00+03:00,CO,0.14
2022-01-01T00:00:00+03:00,OZ,0.0376
2022-01-01T00:00:00+03:00,CO,0.14
2022-02-01T00:00:00+03:00,OZ,0.076
2022-02-01T00:00:00+03:00,CO,0.12
2022-03-01T00:00:00+03:00,CO,0.13
2022-03-01T00:00:00+03:00,OZ,0.0719
2022-04-01T00:00:00+03:00,CO,0.09
2022-04-01T00:00:00+03:00,OZ,0.0708
2022-05-01T00:00:00+03:00,CO,0.05
2022-05-01T00:00:00+03:00,OZ,0.0662
2022-06-01T00:00:00+03:00,OZ,0.0431
2022-06-01T00:00:00+03:00,CO,0.06
2022-07-01T00:00:00+03:00,OZ,0.0439
2022-07-01T00:00:00+03:00,CO,0.09
2022-08-01T00:00:00+03:00,CO,0.22
2022-08-01T00:00:00+03:00,OZ,0.0403
2022-09-01T00:00:00+03:00,CO,0.14
2022-09-01T00:00:00+03:00,OZ,0.0268
2022-10-01T00:00:00+03:00,NO2,0.01
2022-10-01T00:00:00+03:00,NO,0.004
2022-10-01T00:00:00+03:00,SO2,0.0009
2022-10-01T00:00:00+03:00,CO,0.15
2022-10-01T00:00:00+03:00,OZ,0.0283
2022-11-01T00:00:00+03:00,SO2,0.0011
2022-11-01T00:00:00+03:00,NO,0.008
2022-11-01T00:00:00+03:00,CO,0.16
2022-11-01T00:00:00+03:00,OZ,0.0249
2022-11-01T00:00:00+03:00,NO2,0.018
2022-12-01T00:00:00+03:00,NO2,0.019
2022-12-01T00:00:00+03:00,OZ,0.0323
2022-12-01T00:00:00+03:00,CO,0.22
2022-12-01T00:00:00+03:00,SO2,0.0023
2022-12-01T00:00:00+03:00,NO,0.008
2023-01-01T00:00:00+03:00,NO2,0.014
2023-01-01T00:00:00+03:00,OZ,0.0461
2023-01-01T00:00:00+03:00,SO2,0.0023
2023-01-01T00:00:00+03:00,NO,0.002
2023-01-01T00:00:00+03:00,CO,0.16
2023-02-01T00:00:00+03:00,NO2,0.015
2023-02-01T00:00:00+03:00,OZ,0.0568
2023-02-01T00:00:00+03:00,NO,0.003
2023-02-01T00:00:00+03:00,CO,0.17
2023-02-01T00:00:00+03:00,SO2,0.0006
2023-03-01T00:00:00+03:00,NO,0.002
2023-03-01T00:00:00+03:00,SO2,0.0008
2023-03-01T00:00:00+03:00,NO2,0.013
2023-03-01T00:00:00+03:00,OZ,0.0626
2023-03-01T00:00:00+03:00,CO,0.14
2023-04-01T00:00:00+03:00,NO2,0.018
2023-04-01T00:00:00+03:00,NO,0.004
2023-04-01T00:00:00+03:00,OZ,0.045
2023-04-01T00:00:00+03:00,CO,0.18
2023-04-01T00:00:00+03:00,SO2,0.0009
2023-05-01T00:00:00+03:00,OZ,0.0437
2023-05-01T00:00:00+03:00,SO2,0.0013
2023-05-01T00:00:00+03:00,NO,0.003
2023-05-01T00:00:00+03:00,CO,0.13
2023-05-01T00:00:00+03:00,NO2,0.009
2023-06-01T00:00:00+03:00,OZ,0.0542
2023-06-01T00:00:00+03:00,CO,0.18
2023-06-01T00:00:00+03:00,SO2,0.0008
2023-06-01T00:00:00+03:00,NO2,0.006
2023-06-01T00:00:00+03:00,NO,0.003
2023-07-01T00:00:00+03:00,OZ,0.0581
2023-07-01T00:00:00+03:00,NO,0.002
2023-07-01T00:00:00+03:00,NO2,0.002
2023-07-01T00:00:00+03:00,SO2,0.0005
2023-07-01T00:00:00+03:00,CO,0.18
2023-08-01T00:00:00+03:00,OZ,
2023-08-01T00:00:00+03:00,NO2,0.006
2023-08-01T00:00:00+03:00,NO,0.004
2023-08-01T00:00:00+03:00,CO,0.21
2023-08-01T00:00:00+03:00,SO2,0.0006
2023-09-01T00:00:00+03:00,CO,0.18
2023-09-01T00:00:00+03:00,NO,0.005
2023-09-01T00:00:00+03:00,NO2,0.006
2023-09-01T00:00:00+03:00,SO2,0.001
2023-10-01T00:00:00+03:00,SO2,0.0011
2023-10-01T00:00:00+03:00,NO,0.004
2023-10-01T00:00:00+03:00,CO,0.17
2023-10-01T00:00:00+03:00,NO2,0.007
2023-11-01T00:00:00+03:00,NO,0.005
2023-11-01T00:00:00+03:00,CO,0.17
2023-11-01T00:00:00+03:00,NO2,0.012
2023-11-01T00:00:00+03:00,SO2,0.0005
2023-12-01T00:00:00+03:00,NO,0.002
2023-12-01T00:00:00+03:00,SO2,
2023-12-01T00:00:00+03:00,NO2,0.012
2023-12-01T00:00:00+03:00,CO,0.18
2024-01-01T00:00:00+03:00,NO2,0.021
2024-01-01T00:00:00+03:00,NO,0.007
2024-01-01T00:00:00+03:00,CO,0.23
2024-01-01T00:00:00+03:00,SO2,0.0009
2024-02-01T00:00:00+03:00,NO2,0.015
2024-02-01T00:00:00+03:00,CO,0.17
2024-02-01T00:00:00+03:00,NO,0.003
2024-02-01T00:00:00+03:00,SO2,0.0009
2024-03-01T00:00:00+03:00,CO,0.18
2024-03-01T00:00:00+03:00,SO2,0.001
2024-03-01T00:00:00+03:00,NO2,0.021
2024-03-01T00:00:00+03:00,NO,0.006
2024-04-01T00:00:00+03:00,CO,0.14
2024-04-01T00:00:00+03:00,NO2,0.01
2024-04-01T00:00:00+03:00,SO2,0.0011
2024-04-01T00:00:00+03:00,NO,0.004
2024-05-01T00:00:00+03:00,NO,0.004
2024-05-01T00:00:00+03:00,NO2,0.008
2024-05-01T00:00:00+03:00,SO2,0.0009
2024-05-01T00:00:00+03:00,CO,0.12
2024-06-01T00:00:00+03:00,NO,0.004
2024-06-01T00:00:00+03:00,SO2,0.0008
2024-06-01T00:00:00+03:00,CO,0.12
2024-06-01T00:00:00+03:00,NO2,0.006
2024-07-01T00:00:00+03:00,SO2,0.0012
2024-07-01T00:00:00+03:00,CO,0.14
2024-07-01T00:00:00+03:00,NO2,0.006
2024-07-01T00:00:00+03:00,NO,0.003
2024-08-01T00:00:00+03:00,CO,0.15
2024-08-01T00:00:00+03:00,SO2,
2024-09-01T00:00:00+03:00,CO,0.17
2024-09-01T00:00:00+03:00,SO2,
2024-10-01T00:00:00+03:00,CO,0.17
2024-10-01T00:00:00+03:00,NO,0.008
2024-10-01T00:00:00+03:00,SO2,0.0008
2024-10-01T00:00:00+03:00,NO2,0.013
2024-11-01T00:00:00+03:00,CO,0.12
2024-11-01T00:00:00+03:00,SO2,0.0008
2024-11-01T00:00:00+03:00,NO2,0.007
2024-11-01T00:00:00+03:00,NO,0.004
2024-12-01T00:00:00+03:00,SO2,0.0008
2024-12-01T00:00:00+03:00,NO2,0.009
2024-12-01T00:00:00+03:00,NO,0.005
2024-12-01T00:00:00+03:00,CO,0.14
2025-01-01T00:00:00+03:00,SO2,0.0009
2025-01-01T00:00:00+03:00,CO,0.13
2025-01-01T00:00:00+03:00,NO2,0.007
2025-01-01T00:00:00+03:00,NO,0.003
2025-02-01T00:00:00+03:00,SO2,0.001
2025-02-01T00:00:00+03:00,NO2,0.02
2025-02-01T00:00:00+03:00,NO,0.012
2025-02-01T00:00:00+03:00,CO,0.2
2025-03-01T00:00:00+03:00,NO,0.007
2025-03-01T00:00:00+03:00,SO2,0.001
2025-03-01T00:00:00+03:00,CO,0.16
2025-03-01T00:00:00+03:00,NO2,0.01
2025-04-01T00:00:00+03:00,NO2,0.01
2025-04-01T00:00:00+03:00,SO2,0.0008
2025-04-01T00:00:00+03:00,NO,0.003
2025-04-01T00:00:00+03:00,CO,0.13
2025-05-01T00:00:00+03:00,CO,0.12
2025-05-01T00:00:00+03:00,SO2,
2025-05-01T00:00:00+03:00,NO2,0.006
2025-05-01T00:00:00+03:00,NO,0.004
2025-06-01T00:00:00+03:00,NO,0.003
2025-06-01T00:00:00+03:00,NO2,0.004
2025-06-01T00:00:00+03:00,CO,0.11
2025-06-01T00:00:00+03:00,SO2,
2025-07-01T00:00:00+03:00,CO,0.15
2025-07-01T00:00:00+03:00,NO,0.004
2025-07-01T00:00:00+03:00,SO2,
2025-07-01T00:00:00+03:00,NO2,0.008
2025-08-01T00:00:00+03:00,CO,0.13
2025-08-01T00:00:00+03:00,NO2,0.005
2025-08-01T00:00:00+03:00,NO,0.001
2025-08-01T00:00:00+03:00,SO2,
2025-09-01T00:00:00+03:00,CO,0.13
2025-09-01T00:00:00+03:00,NO,0.004
2025-09-01T00:00:00+03:00,SO2,
2025-09-01T00:00:00+03:00,NO2,0.012
2025-10-01T00:00:00+03:00,NO,0.009
2025-10-01T00:00:00+03:00,CO,0.15
2025-10-01T00:00:00+03:00,SO2,
2025-10-01T00:00:00+03:00,NO2,0.017
2025-11-01T00:00:00+03:00,NO2,0.012
2025-11-01T00:00:00+03:00,NO,0.002
2025-11-01T00:00:00+03:00,SO2,
2025-11-01T00:00:00+03:00,CO,0.14
2025-12-01T00:00:00+03:00,NO,0.002
2025-12-01T00:00:00+03:00,NO2,0.013
