datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.015
2022-05-13T00:00:00+03:00,PM10,0.011
2022-05-13T00:00:00+03:00,CO,0.06
2022-05-13T00:00:00+03:00,NO,0.001
2022-05-13T00:00:00+03:00,SO2,0.0007
2022-05-14T00:00:00+03:00,SO2,0.0008
2022-05-14T00:00:00+03:00,NO2,0.016
2022-05-14T00:00:00+03:00,NO,0.001
2022-05-14T00:00:00+03:00,PM10,0.012
2022-05-14T00:00:00+03:00,CO,0.1
2022-05-15T00:00:00+03:00,CO,0.19
2022-05-15T00:00:00+03:00,PM10,0.01
2022-05-15T00:00:00+03:00,NO,0.001
2022-05-15T00:00:00+03:00,SO2,0.0007
2022-05-15T00:00:00+03:00,NO2,0.02
2022-05-16T00:00:00+03:00,NO,0.001
2022-05-16T00:00:00+03:00,SO2,0.0008
2022-05-16T00:00:00+03:00,PM10,0.009
2022-05-16T00:00:00+03:00,CO,0.02
2022-05-16T00:00:00+03:00,NO2,0.015
2022-05-17T00:00:00+03:00,PM10,0.007
2022-05-17T00:00:00+03:00,CO,0.26
2022-05-17T00:00:00+03:00,SO2,0.0007
2022-05-17T00:00:00+03:00,NO,0.002
2022-05-17T00:00:00+03:00,NO2,0.021
2022-05-18T00:00:00+03:00,CO,0.1
2022-05-18T00:00:00+03:00,NO2,0.017
2022-05-18T00:00:00+03:00,SO2,0.001
2022-05-18T00:00:00+03:00,NO,0.002
2022-05-18T00:00:00+03:00,PM10,0.01
2022-05-19T00:00:00+03:00,NO,0.002
2022-05-19T00:00:00+03:00,CO,0.06
2022-05-19T00:00:00+03:00,PM10,0.01
2022-05-19T00:00:00+03:00,SO2,0.0008
2022-05-19T00:00:00+03:00,NO2,0.026
2022-05-20T00:00:00+03:00,PM10,0.007
2022-05-20T00:00:00+03:00,NO2,0.021
2022-05-20T00:00:00+03:00,NO,0.002
2022-05-20T00:00:00+03:00,CO,0.2
2022-05-20T00:00:00+03:00,SO2,0.001
2022-05-21T00:00:00+03:00,PM10,0.023
2022-05-21T00:00:00+03:00,NO,0.018
2022-05-21T00:00:00+03:00,CO,0.33
2022-05-21T00:00:00+03:00,NO2,0.039
2022-05-21T00:00:00+03:00,SO2,0.0025
2022-05-22T00:00:00+03:00,NO,0.001
2022-05-22T00:00:00+03:00,PM10,0.013
2022-05-22T00:00:00+03:00,SO2,0.0015
2022-05-22T00:00:00+03:00,CO,0.06
2022-05-22T00:00:00+03:00,NO2,0.011
2022-05-23T00:00:00+03:00,CO,0.13
2022-05-23T00:00:00+03:00,NO,0.002
2022-05-23T00:00:00+03:00,CO,0.12
2022-05-23T00:00:00+03:00,SO2,0.0012
2022-05-23T00:00:00+03:00,NO2,0.017
2022-05-23T00:00:00+03:00,PM10,0.013
2022-05-24T00:00:00+03:00,CO,0.03
2022-05-24T00:00:00+03:00,NO,0.001
2022-05-24T00:00:00+03:00,NO2,0.022
2022-05-24T00:00:00+03:00,PM10,0.017
2022-05-24T00:00:00+03:00,SO2,0.0011
2022-05-25T00:00:00+03:00,PM10,0.011
2022-05-25T00:00:00+03:00,NO2,0.016
2022-05-25T00:00:00+03:00,SO2,0.0013
2022-05-25T00:00:00+03:00,NO,0.002
2022-05-25T00:00:00+03:00,CO,0.11
2022-05-26T00:00:00+03:00,NO,0.006
2022-05-26T00:00:00+03:00,PM10,0.016
2022-05-26T00:00:00+03:00,NO2,0.03
2022-05-26T00:00:00+03:00,SO2,0.0016
2022-05-26T00:00:00+03:00,CO,0.32
2022-05-27T00:00:00+03:00,NO2,0.023
2022-05-27T00:00:00+03:00,SO2,0.0013
2022-05-27T00:00:00+03:00,PM10,0.007
2022-05-27T00:00:00+03:00,CO,0.16
2022-05-27T00:00:00+03:00,NO,0.003
2022-05-28T00:00:00+03:00,CO,0.12
2022-05-28T00:00:00+03:00,PM10,0.009
2022-05-28T00:00:00+03:00,NO,0.002
2022-05-28T00:00:00+03:00,NO2,0.025
2022-05-28T00:00:00+03:00,SO2,0.0015
2022-05-29T00:00:00+03:00,CO,0.11
2022-05-29T00:00:00+03:00,NO2,0.021
2022-05-29T00:00:00+03:00,PM10,0.009
2022-05-29T00:00:00+03:00,SO2,0.0015
2022-05-29T00:00:00+03:00,NO,0.001
2022-05-30T00:00:00+03:00,NO,0.003
2022-05-30T00:00:00+03:00,NO2,0.033
2022-05-30T00:00:00+03:00,CO,0.28
2022-05-30T00:00:00+03:00,PM10,0.015
2022-05-30T00:00:00+03:00,SO2,0.0016
2022-05-31T00:00:00+03:00,NO,0.009
2022-05-31T00:00:00+03:00,NO2,0.058
2022-05-31T00:00:00+03:00,PM10,0.021
2022-05-31T00:00:00+03:00,CO,0.18
2022-05-31T00:00:00+03:00,SO2,0.0008
