datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.021
2021-07-01T00:00:00+03:00,NO2,0.019
2021-07-01T00:00:00+03:00,CO,0.09
2021-08-01T00:00:00+03:00,NO2,0.025
2021-08-01T00:00:00+03:00,NO,0.022
2021-08-01T00:00:00+03:00,CO,0.11
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,NO,0.026
2021-09-01T00:00:00+03:00,CO,0.07
2021-10-01T00:00:00+03:00,CO,0.11
2021-10-01T00:00:00+03:00,NO,0.037
2021-10-01T00:00:00+03:00,NO2,0.035
2021-11-01T00:00:00+03:00,NO2,0.023
2021-11-01T00:00:00+03:00,NO,0.017
2021-11-01T00:00:00+03:00,CO,0.06
2021-12-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,NO,0.031
2021-12-01T00:00:00+03:00,CO,0.08
2022-01-01T00:00:00+03:00,CO,0.09
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,NO,0.019
2022-02-01T00:00:00+03:00,NO,0.019
2022-02-01T00:00:00+03:00,CO,0.29
2022-02-01T00:00:00+03:00,NO2,0.037
2022-03-01T00:00:00+03:00,CO,0.42
2022-03-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,NO,0.038
2022-04-01T00:00:00+03:00,CO,0.27
2022-04-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,NO,0.012
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,NO2,0.02
2022-06-01T00:00:00+03:00,NO2,0.023
2022-06-01T00:00:00+03:00,CO,0.29
2022-06-01T00:00:00+03:00,NO,0.01
2022-07-01T00:00:00+03:00,NO2,0.023
2022-07-01T00:00:00+03:00,CO,0.28
2022-07-01T00:00:00+03:00,NO,0.011
2022-08-01T00:00:00+03:00,NO2,0.03
2022-08-01T00:00:00+03:00,NO,0.019
2022-08-01T00:00:00+03:00,CO,0.42
2022-09-01T00:00:00+03:00,CO,0.32
2022-09-01T00:00:00+03:00,NO,0.021
2022-09-01T00:00:00+03:00,NO2,0.017
2022-10-01T00:00:00+03:00,NO2,0.019
2022-10-01T00:00:00+03:00,NO,0.02
2022-10-01T00:00:00+03:00,CO,0.32
2022-11-01T00:00:00+03:00,NO,0.02
2022-11-01T00:00:00+03:00,CO,0.31
2022-11-01T00:00:00+03:00,NO2,0.019
2022-12-01T00:00:00+03:00,CO,0.35
2022-12-01T00:00:00+03:00,NO2,0.052
2022-12-01T00:00:00+03:00,NO,0.027
2023-01-01T00:00:00+03:00,NO2,0.055
2023-01-01T00:00:00+03:00,NO,0.018
2023-01-01T00:00:00+03:00,CO,0.28
2023-02-01T00:00:00+03:00,NO2,0.042
2023-02-01T00:00:00+03:00,NO,0.015
2023-02-01T00:00:00+03:00,CO,0.29
2023-03-01T00:00:00+03:00,CO,0.31
2023-03-01T00:00:00+03:00,NO2,0.037
2023-03-01T00:00:00+03:00,NO,0.019
2023-04-01T00:00:00+03:00,NO,0.03
2023-04-01T00:00:00+03:00,CO,0.38
2023-04-01T00:00:00+03:00,NO2,0.046
2023-05-01T00:00:00+03:00,CO,0.37
2023-05-01T00:00:00+03:00,NO,0.034
2023-05-01T00:00:00+03:00,NO2,0.038
2023-06-01T00:00:00+03:00,NO,0.017
2023-06-01T00:00:00+03:00,CO,0.3
2023-06-01T00:00:00+03:00,NO2,0.029
2023-07-01T00:00:00+03:00,CO,0.28
2023-07-01T00:00:00+03:00,NO,0.014
2023-07-01T00:00:00+03:00,NO2,0.024
2023-08-01T00:00:00+03:00,CO,0.43
2023-08-01T00:00:00+03:00,NO2,0.034
2023-08-01T00:00:00+03:00,NO,0.027
2023-09-01T00:00:00+03:00,NO2,0.034
2023-09-01T00:00:00+03:00,NO,0.043
2023-09-01T00:00:00+03:00,CO,0.49
2023-10-01T00:00:00+03:00,NO,0.018
2023-10-01T00:00:00+03:00,NO2,0.02
2023-10-01T00:00:00+03:00,CO,0.32
2023-11-01T00:00:00+03:00,NO2,0.035
2023-11-01T00:00:00+03:00,NO,0.027
2023-11-01T00:00:00+03:00,CO,0.33
2023-12-01T00:00:00+03:00,CO,0.31
2023-12-01T00:00:00+03:00,NO2,0.036
2023-12-01T00:00:00+03:00,NO,0.023
2024-01-01T00:00:00+03:00,NO,0.034
2024-01-01T00:00:00+03:00,CO,0.37
2024-01-01T00:00:00+03:00,NO2,0.057
2024-02-01T00:00:00+03:00,NO,0.027
2024-02-01T00:00:00+03:00,CO,0.34
2024-02-01T00:00:00+03:00,NO2,0.052
2024-03-01T00:00:00+03:00,NO,0.035
2024-03-01T00:00:00+03:00,CO,0.41
2024-03-01T00:00:00+03:00,NO2,0.062
2024-04-01T00:00:00+03:00,NO2,0.039
2024-04-01T00:00:00+03:00,NO,0.016
2024-04-01T00:00:00+03:00,CO,0.29
2024-05-01T00:00:00+03:00,NO2,0.042
2024-05-01T00:00:00+03:00,CO,0.28
2024-05-01T00:00:00+03:00,NO,0.015
