datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.22
2022-05-13T00:00:00+03:00,NO2,0.015
2022-05-13T00:00:00+03:00,PM10,0.014
2022-05-13T00:00:00+03:00,OZ,0.074
2022-05-13T00:00:00+03:00,PM2.5,0.005
2022-05-13T00:00:00+03:00,NO,0.005
2022-05-13T00:00:00+03:00,SO2,0.0028
2022-05-14T00:00:00+03:00,PM2.5,0.005
2022-05-14T00:00:00+03:00,PM10,0.018
2022-05-14T00:00:00+03:00,SO2,0.002
2022-05-14T00:00:00+03:00,OZ,0.0735
2022-05-14T00:00:00+03:00,NO2,0.018
2022-05-14T00:00:00+03:00,CO,0.23
2022-05-14T00:00:00+03:00,NO,0.005
2022-05-15T00:00:00+03:00,OZ,0.0667
2022-05-15T00:00:00+03:00,SO2,0.002
2022-05-15T00:00:00+03:00,PM2.5,0.006
2022-05-15T00:00:00+03:00,NO2,0.021
2022-05-15T00:00:00+03:00,PM10,0.017
2022-05-15T00:00:00+03:00,NO,0.005
2022-05-15T00:00:00+03:00,CO,0.26
2022-05-16T00:00:00+03:00,OZ,0.0686
2022-05-16T00:00:00+03:00,NO,0.005
2022-05-16T00:00:00+03:00,PM2.5,0.004
2022-05-16T00:00:00+03:00,NO2,0.014
2022-05-16T00:00:00+03:00,CO,0.23
2022-05-16T00:00:00+03:00,SO2,0.0016
2022-05-16T00:00:00+03:00,PM10,0.014
2022-05-17T00:00:00+03:00,PM2.5,0.006
2022-05-17T00:00:00+03:00,CO,0.27
2022-05-17T00:00:00+03:00,OZ,0.0353
2022-05-17T00:00:00+03:00,PM10,0.012
2022-05-17T00:00:00+03:00,NO,0.006
2022-05-17T00:00:00+03:00,NO2,0.021
2022-05-17T00:00:00+03:00,SO2,0.0021
2022-05-18T00:00:00+03:00,CO,0.25
2022-05-18T00:00:00+03:00,OZ,0.057
2022-05-18T00:00:00+03:00,NO2,0.018
2022-05-18T00:00:00+03:00,NO,0.005
2022-05-18T00:00:00+03:00,PM2.5,0.005
2022-05-18T00:00:00+03:00,SO2,0.0025
2022-05-18T00:00:00+03:00,PM10,0.014
2022-05-19T00:00:00+03:00,NO,0.006
2022-05-19T00:00:00+03:00,CO,0.28
2022-05-19T00:00:00+03:00,PM2.5,0.006
2022-05-19T00:00:00+03:00,OZ,0.0505
2022-05-19T00:00:00+03:00,PM10,0.016
2022-05-19T00:00:00+03:00,NO2,0.026
2022-05-19T00:00:00+03:00,SO2,0.0022
2022-05-20T00:00:00+03:00,OZ,0.0589
2022-05-20T00:00:00+03:00,NO,0.005
2022-05-20T00:00:00+03:00,PM10,0.012
2022-05-20T00:00:00+03:00,SO2,0.0014
2022-05-20T00:00:00+03:00,CO,0.27
2022-05-20T00:00:00+03:00,NO2,0.021
2022-05-20T00:00:00+03:00,PM2.5,0.004
2022-05-21T00:00:00+03:00,NO,0.02
2022-05-21T00:00:00+03:00,PM2.5,0.009
2022-05-21T00:00:00+03:00,SO2,0.005
2022-05-21T00:00:00+03:00,NO2,0.046
2022-05-21T00:00:00+03:00,OZ,0.046
2022-05-21T00:00:00+03:00,PM10,0.032
