datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,SO2,0.0016
2021-07-01T00:00:00+03:00,OZ,0.0574
2021-07-01T00:00:00+03:00,PM2.5,0.011
2021-07-01T00:00:00+03:00,PM10,0.027
2021-07-01T00:00:00+03:00,CO,0.24
2021-07-01T00:00:00+03:00,NO2,0.045
2021-08-01T00:00:00+03:00,PM10,0.03
2021-08-01T00:00:00+03:00,NO2,0.049
2021-08-01T00:00:00+03:00,NO,0.008
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,SO2,0.0013
2021-08-01T00:00:00+03:00,CO,0.35
2021-08-01T00:00:00+03:00,OZ,0.0431
2021-09-01T00:00:00+03:00,CO,0.29
2021-09-01T00:00:00+03:00,NO,0.009
2021-09-01T00:00:00+03:00,OZ,0.0265
2021-09-01T00:00:00+03:00,NO2,0.035
2021-09-01T00:00:00+03:00,PM10,0.017
2021-09-01T00:00:00+03:00,SO2,0.0015
2021-09-01T00:00:00+03:00,PM2.5,
2021-10-01T00:00:00+03:00,PM2.5,
2021-10-01T00:00:00+03:00,OZ,0.0298
2021-10-01T00:00:00+03:00,SO2,0.0025
2021-10-01T00:00:00+03:00,PM10,0.026
2021-10-01T00:00:00+03:00,NO,0.016
2021-10-01T00:00:00+03:00,CO,0.37
2021-10-01T00:00:00+03:00,NO2,0.043
2021-11-01T00:00:00+03:00,SO2,0.0025
2021-11-01T00:00:00+03:00,OZ,0.031
2021-11-01T00:00:00+03:00,PM2.5,0.005
2021-11-01T00:00:00+03:00,PM10,0.018
2021-11-01T00:00:00+03:00,NO,0.01
2021-11-01T00:00:00+03:00,CO,0.33
2021-11-01T00:00:00+03:00,NO2,0.031
2021-12-01T00:00:00+03:00,PM10,0.016
2021-12-01T00:00:00+03:00,PM2.5,0.009
2021-12-01T00:00:00+03:00,SO2,0.0038
2021-12-01T00:00:00+03:00,OZ,0.0146
2021-12-01T00:00:00+03:00,NO2,0.039
2021-12-01T00:00:00+03:00,NO,0.019
2021-12-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,NO,0.009
2022-01-01T00:00:00+03:00,PM2.5,0.008
2022-01-01T00:00:00+03:00,PM10,0.014
2022-01-01T00:00:00+03:00,SO2,0.0039
2022-01-01T00:00:00+03:00,OZ,0.0345
2022-01-01T00:00:00+03:00,CO,0.31
2022-01-01T00:00:00+03:00,NO2,0.036
2022-02-01T00:00:00+03:00,CO,0.31
2022-02-01T00:00:00+03:00,NO2,0.049
2022-02-01T00:00:00+03:00,SO2,0.003
2022-02-01T00:00:00+03:00,NO,0.009
2022-02-01T00:00:00+03:00,PM2.5,0.008
2022-02-01T00:00:00+03:00,OZ,0.0489
2022-02-01T00:00:00+03:00,PM10,0.016
2022-03-01T00:00:00+03:00,OZ,0.0609
2022-03-01T00:00:00+03:00,SO2,0.0039
2022-03-01T00:00:00+03:00,PM10,0.03
2022-03-01T00:00:00+03:00,CO,0.4
2022-03-01T00:00:00+03:00,NO2,0.05
2022-03-01T00:00:00+03:00,PM2.5,0.008
2022-03-01T00:00:00+03:00,NO,0.018
2022-04-01T00:00:00+03:00,NO,0.008
2022-04-01T00:00:00+03:00,PM2.5,0.007
2022-04-01T00:00:00+03:00,SO2,0.0031
2022-04-01T00:00:00+03:00,NO2,0.034
2022-04-01T00:00:00+03:00,CO,0.34
2022-04-01T00:00:00+03:00,OZ,0.0677
2022-04-01T00:00:00+03:00,PM10,0.022
2022-05-01T00:00:00+03:00,NO,0.007
2022-05-01T00:00:00+03:00,CO,0.28
2022-05-01T00:00:00+03:00,PM2.5,0.007
2022-05-01T00:00:00+03:00,SO2,0.0028
2022-05-01T00:00:00+03:00,OZ,0.0652
2022-05-01T00:00:00+03:00,PM10,0.02
2022-05-01T00:00:00+03:00,NO2,0.026
2022-06-01T00:00:00+03:00,NO2,0.034
2022-06-01T00:00:00+03:00,OZ,0.0594
2022-06-01T00:00:00+03:00,CO,0.36
2022-06-01T00:00:00+03:00,SO2,0.0032
2022-06-01T00:00:00+03:00,PM2.5,0.009
2022-06-01T00:00:00+03:00,PM10,0.027
2022-06-01T00:00:00+03:00,NO,0.009
2022-07-01T00:00:00+03:00,PM2.5,0.009
2022-07-01T00:00:00+03:00,OZ,0.0666
2022-07-01T00:00:00+03:00,PM10,0.024
2022-07-01T00:00:00+03:00,NO2,0.031
2022-07-01T00:00:00+03:00,NO,0.008
2022-07-01T00:00:00+03:00,SO2,0.0016
2022-07-01T00:00:00+03:00,CO,0.27
2022-08-01T00:00:00+03:00,CO,0.41
2022-08-01T00:00:00+03:00,SO2,0.004
2022-08-01T00:00:00+03:00,NO,0.011
2022-08-01T00:00:00+03:00,PM10,0.043
2022-08-01T00:00:00+03:00,NO2,0.042
2022-08-01T00:00:00+03:00,OZ,0.0647
2022-08-01T00:00:00+03:00,PM2.5,0.015
2022-09-01T00:00:00+03:00,NO,0.014
2022-09-01T00:00:00+03:00,PM10,0.018
2022-09-01T00:00:00+03:00,SO2,0.0022
2022-09-01T00:00:00+03:00,PM2.5,0.007
2022-09-01T00:00:00+03:00,CO,0.3
2022-09-01T00:00:00+03:00,OZ,0.0231
2022-09-01T00:00:00+03:00,NO2,0.022
2022-10-01T00:00:00+03:00,SO2,0.0022
2022-10-01T00:00:00+03:00,CO,0.33
2022-10-01T00:00:00+03:00,NO,0.014
2022-10-01T00:00:00+03:00,NO2,0.023
2022-10-01T00:00:00+03:00,OZ,0.0223
2022-10-01T00:00:00+03:00,PM2.5,0.007
2022-10-01T00:00:00+03:00,PM10,0.019
2022-11-01T00:00:00+03:00,PM2.5,0.007
2022-11-01T00:00:00+03:00,OZ,0.0188
2022-11-01T00:00:00+03:00,NO2,0.019
2022-11-01T00:00:00+03:00,PM10,0.017
2022-11-01T00:00:00+03:00,SO2,0.0013
2022-11-01T00:00:00+03:00,CO,0.29
2022-11-01T00:00:00+03:00,NO,0.012
2022-12-01T00:00:00+03:00,NO2,0.026
2022-12-01T00:00:00+03:00,CO,0.37
2022-12-01T00:00:00+03:00,PM10,0.017
2022-12-01T00:00:00+03:00,SO2,0.0022
2022-12-01T00:00:00+03:00,OZ,0.0096
2022-12-01T00:00:00+03:00,PM2.5,0.009
2022-12-01T00:00:00+03:00,NO,0.018
2023-01-01T00:00:00+03:00,CO,0.3
2023-01-01T00:00:00+03:00,NO2,0.02
2023-01-01T00:00:00+03:00,OZ,0.0191
2023-01-01T00:00:00+03:00,PM2.5,0.008
2023-01-01T00:00:00+03:00,PM10,0.017
2023-01-01T00:00:00+03:00,NO,0.009
2023-01-01T00:00:00+03:00,SO2,0.0028
2023-02-01T00:00:00+03:00,OZ,0.0262
2023-02-01T00:00:00+03:00,PM10,0.016
2023-02-01T00:00:00+03:00,SO2,0.0026
2023-02-01T00:00:00+03:00,NO2,0.017
2023-02-01T00:00:00+03:00,NO,0.007
2023-02-01T00:00:00+03:00,PM2.5,0.008
2023-02-01T00:00:00+03:00,CO,0.28
2023-03-01T00:00:00+03:00,NO2,0.014
2023-03-01T00:00:00+03:00,PM2.5,0.006
2023-03-01T00:00:00+03:00,OZ,0.0328
2023-03-01T00:00:00+03:00,SO2,0.0021
2023-03-01T00:00:00+03:00,CO,0.27
2023-03-01T00:00:00+03:00,PM10,0.017
2023-03-01T00:00:00+03:00,NO,0.006
2023-04-01T00:00:00+03:00,SO2,0.004
2023-04-01T00:00:00+03:00,NO,
2023-04-01T00:00:00+03:00,NO2,
2023-04-01T00:00:00+03:00,OZ,0.0399
2023-04-01T00:00:00+03:00,CO,0.35
2023-04-01T00:00:00+03:00,PM2.5,0.012
2023-04-01T00:00:00+03:00,PM10,0.041
2023-05-01T00:00:00+03:00,SO2,0.0023
2023-05-01T00:00:00+03:00,PM2.5,0.009
2023-05-01T00:00:00+03:00,NO,
2023-05-01T00:00:00+03:00,OZ,0.0407
2023-05-01T00:00:00+03:00,PM10,0.029
2023-05-01T00:00:00+03:00,CO,0.36
2023-05-01T00:00:00+03:00,NO2,
2023-06-01T00:00:00+03:00,CO,0.27
2023-06-01T00:00:00+03:00,NO,0.007
2023-06-01T00:00:00+03:00,OZ,0.0417
2023-06-01T00:00:00+03:00,NO2,0.038
2023-06-01T00:00:00+03:00,PM2.5,0.008
2023-06-01T00:00:00+03:00,SO2,0.0017
2023-06-01T00:00:00+03:00,PM10,0.026
2023-07-01T00:00:00+03:00,OZ,0.0496
2023-07-01T00:00:00+03:00,SO2,0.002
2023-07-01T00:00:00+03:00,NO,0.006
2023-07-01T00:00:00+03:00,PM2.5,0.008
2023-07-01T00:00:00+03:00,CO,0.27
2023-07-01T00:00:00+03:00,NO2,0.033
2023-07-01T00:00:00+03:00,PM10,0.02
2023-08-01T00:00:00+03:00,PM10,0.03
2023-08-01T00:00:00+03:00,PM2.5,0.01
2023-08-01T00:00:00+03:00,NO2,0.042
2023-08-01T00:00:00+03:00,OZ,0.0302
2023-08-01T00:00:00+03:00,CO,0.38
2023-08-01T00:00:00+03:00,SO2,0.0028
2023-08-01T00:00:00+03:00,NO,0.011
2023-09-01T00:00:00+03:00,CO,0.44
2023-09-01T00:00:00+03:00,PM10,0.036
2023-09-01T00:00:00+03:00,OZ,0.0245
2023-09-01T00:00:00+03:00,SO2,0.0027
2023-09-01T00:00:00+03:00,PM2.5,0.011
2023-09-01T00:00:00+03:00,NO,0.019
2023-09-01T00:00:00+03:00,NO2,0.041
2023-10-01T00:00:00+03:00,PM10,0.017
2023-10-01T00:00:00+03:00,SO2,0.0013
2023-10-01T00:00:00+03:00,CO,0.29
2023-10-01T00:00:00+03:00,PM2.5,0.007
2023-10-01T00:00:00+03:00,OZ,0.0183
2023-10-01T00:00:00+03:00,NO2,0.025
2023-10-01T00:00:00+03:00,NO,0.008
2023-11-01T00:00:00+03:00,OZ,0.0141
2023-11-01T00:00:00+03:00,PM10,
2023-11-01T00:00:00+03:00,PM2.5,0.008
2023-11-01T00:00:00+03:00,NO,0.01
2023-11-01T00:00:00+03:00,NO2,0.029
2023-11-01T00:00:00+03:00,SO2,
2023-11-01T00:00:00+03:00,CO,0.26
2023-12-01T00:00:00+03:00,SO2,
2023-12-01T00:00:00+03:00,NO,0.013
2023-12-01T00:00:00+03:00,CO,0.25
2023-12-01T00:00:00+03:00,NO2,0.031
2023-12-01T00:00:00+03:00,OZ,0.0129
2023-12-01T00:00:00+03:00,PM2.5,0.009
2023-12-01T00:00:00+03:00,PM10,0.018
2024-01-01T00:00:00+03:00,OZ,0.0151
2024-01-01T00:00:00+03:00,SO2,0.0027
2024-01-01T00:00:00+03:00,PM10,0.016
2024-01-01T00:00:00+03:00,NO,0.013
2024-01-01T00:00:00+03:00,PM2.5,0.01
2024-01-01T00:00:00+03:00,CO,0.28
2024-01-01T00:00:00+03:00,NO2,0.037
2024-02-01T00:00:00+03:00,NO2,0.036
2024-02-01T00:00:00+03:00,CO,0.25
2024-02-01T00:00:00+03:00,NO,0.009
2024-02-01T00:00:00+03:00,PM10,0.017
2024-02-01T00:00:00+03:00,PM2.5,0.009
2024-02-01T00:00:00+03:00,OZ,0.0228
2024-02-01T00:00:00+03:00,SO2,0.0035
2024-03-01T00:00:00+03:00,NO,0.01
2024-03-01T00:00:00+03:00,NO2,0.039
2024-03-01T00:00:00+03:00,CO,0.34
2024-03-01T00:00:00+03:00,OZ,0.0273
2024-03-01T00:00:00+03:00,PM2.5,0.01
2024-03-01T00:00:00+03:00,SO2,0.0033
2024-03-01T00:00:00+03:00,PM10,0.039
2024-04-01T00:00:00+03:00,NO2,0.026
2024-04-01T00:00:00+03:00,SO2,0.002
2024-04-01T00:00:00+03:00,OZ,0.0333
2024-04-01T00:00:00+03:00,NO,0.006
2024-04-01T00:00:00+03:00,PM2.5,0.01
2024-04-01T00:00:00+03:00,CO,0.35
2024-04-01T00:00:00+03:00,PM10,0.037
2024-05-01T00:00:00+03:00,PM2.5,0.008
2024-05-01T00:00:00+03:00,NO,0.005
2024-05-01T00:00:00+03:00,OZ,0.0385
2024-05-01T00:00:00+03:00,PM10,0.025
2024-05-01T00:00:00+03:00,NO2,0.024
2024-05-01T00:00:00+03:00,CO,0.29
2024-05-01T00:00:00+03:00,SO2,0.0035
2024-06-01T00:00:00+03:00,PM2.5,0.009
2024-06-01T00:00:00+03:00,NO2,0.021
2024-06-01T00:00:00+03:00,OZ,0.0423
2024-06-01T00:00:00+03:00,SO2,0.0039
2024-06-01T00:00:00+03:00,PM10,0.022
2024-06-01T00:00:00+03:00,NO,0.004
2024-06-01T00:00:00+03:00,CO,0.3
2024-07-01T00:00:00+03:00,OZ,0.0493
2024-07-01T00:00:00+03:00,SO2,0.0038
2024-07-01T00:00:00+03:00,PM10,0.024
2024-07-01T00:00:00+03:00,CO,0.3
2024-07-01T00:00:00+03:00,PM2.5,0.01
2024-07-01T00:00:00+03:00,NO,0.002
2024-07-01T00:00:00+03:00,NO2,0.014
2024-08-01T00:00:00+03:00,PM10,0.025
2024-08-01T00:00:00+03:00,NO2,0.039
2024-08-01T00:00:00+03:00,SO2,0.0024
2024-08-01T00:00:00+03:00,CO,0.38
2024-08-01T00:00:00+03:00,OZ,0.036
2024-08-01T00:00:00+03:00,NO,0.009
2024-08-01T00:00:00+03:00,PM2.5,0.01
2024-09-01T00:00:00+03:00,NO,0.014
2024-09-01T00:00:00+03:00,SO2,0.0048
2024-09-01T00:00:00+03:00,CO,0.45
2024-09-01T00:00:00+03:00,PM2.5,0.012
2024-09-01T00:00:00+03:00,PM10,0.044
2024-09-01T00:00:00+03:00,NO2,0.057
2024-09-01T00:00:00+03:00,OZ,0.0353
2024-10-01T00:00:00+03:00,SO2,0.0035
2024-10-01T00:00:00+03:00,OZ,0.0177
2024-10-01T00:00:00+03:00,CO,0.35
2024-10-01T00:00:00+03:00,NO2,0.039
2024-10-01T00:00:00+03:00,PM2.5,0.008
2024-10-01T00:00:00+03:00,PM10,0.027
2024-10-01T00:00:00+03:00,NO,0.018
2024-11-01T00:00:00+03:00,NO,0.01
2024-11-01T00:00:00+03:00,PM2.5,0.006
2024-11-01T00:00:00+03:00,OZ,0.0216
2024-11-01T00:00:00+03:00,NO2,0.032
2024-11-01T00:00:00+03:00,PM10,0.015
2024-11-01T00:00:00+03:00,SO2,0.0024
2024-11-01T00:00:00+03:00,CO,0.27
2024-12-01T00:00:00+03:00,NO,0.014
2024-12-01T00:00:00+03:00,NO2,0.036
2024-12-01T00:00:00+03:00,PM10,0.012
2024-12-01T00:00:00+03:00,SO2,0.0022
2024-12-01T00:00:00+03:00,CO,0.29
2024-12-01T00:00:00+03:00,PM2.5,0.006
2024-12-01T00:00:00+03:00,OZ,0.0183
2025-01-01T00:00:00+03:00,SO2,0.0021
2025-01-01T00:00:00+03:00,NO2,0.032
2025-01-01T00:00:00+03:00,NO,0.006
2025-01-01T00:00:00+03:00,PM2.5,0.007
2025-01-01T00:00:00+03:00,PM10,0.015
2025-01-01T00:00:00+03:00,OZ,0.0271
2025-01-01T00:00:00+03:00,CO,0.27
2025-02-01T00:00:00+03:00,NO,0.018
2025-02-01T00:00:00+03:00,OZ,0.022
2025-02-01T00:00:00+03:00,PM2.5,0.009
2025-02-01T00:00:00+03:00,CO,0.35
2025-02-01T00:00:00+03:00,PM10,0.023
2025-02-01T00:00:00+03:00,NO2,0.049
2025-02-01T00:00:00+03:00,SO2,0.0018
2025-03-01T00:00:00+03:00,PM10,0.03
2025-03-01T00:00:00+03:00,CO,0.31
2025-03-01T00:00:00+03:00,NO2,0.042
2025-03-01T00:00:00+03:00,OZ,0.0367
2025-03-01T00:00:00+03:00,PM2.5,0.009
2025-03-01T00:00:00+03:00,NO,0.009
2025-03-01T00:00:00+03:00,SO2,0.0028
2025-04-01T00:00:00+03:00,SO2,0.0029
2025-04-01T00:00:00+03:00,CO,0.28
2025-04-01T00:00:00+03:00,PM2.5,0.008
2025-04-01T00:00:00+03:00,NO2,0.035
2025-04-01T00:00:00+03:00,NO,0.004
2025-04-01T00:00:00+03:00,PM10,0.028
2025-04-01T00:00:00+03:00,OZ,0.0552
2025-05-01T00:00:00+03:00,OZ,0.0482
2025-05-01T00:00:00+03:00,SO2,0.0035
2025-05-01T00:00:00+03:00,PM10,0.026
2025-05-01T00:00:00+03:00,NO2,0.038
2025-05-01T00:00:00+03:00,NO,0.007
2025-05-01T00:00:00+03:00,PM2.5,0.008
2025-05-01T00:00:00+03:00,CO,0.28
2025-06-01T00:00:00+03:00,PM2.5,0.008
2025-06-01T00:00:00+03:00,OZ,0.0396
2025-06-01T00:00:00+03:00,PM10,0.02
2025-06-01T00:00:00+03:00,SO2,0.0021
2025-06-01T00:00:00+03:00,NO,0.005
2025-06-01T00:00:00+03:00,CO,0.26
2025-06-01T00:00:00+03:00,NO2,0.03
2025-07-01T00:00:00+03:00,SO2,0.0026
2025-07-01T00:00:00+03:00,CO,0.32
2025-07-01T00:00:00+03:00,PM10,0.027
2025-07-01T00:00:00+03:00,OZ,0.0426
2025-07-01T00:00:00+03:00,NO2,0.038
2025-07-01T00:00:00+03:00,PM2.5,0.011
2025-07-01T00:00:00+03:00,NO,0.006
2025-08-01T00:00:00+03:00,PM2.5,0.008
2025-08-01T00:00:00+03:00,SO2,0.0018
2025-08-01T00:00:00+03:00,PM10,0.02
2025-08-01T00:00:00+03:00,NO2,0.032
2025-08-01T00:00:00+03:00,OZ,0.0304
2025-08-01T00:00:00+03:00,NO,0.007
2025-08-01T00:00:00+03:00,CO,0.28
2025-09-01T00:00:00+03:00,NO2,0.032
2025-09-01T00:00:00+03:00,PM2.5,0.008
2025-09-01T00:00:00+03:00,CO,0.29
2025-09-01T00:00:00+03:00,NO,0.012
2025-09-01T00:00:00+03:00,SO2,0.0019
2025-09-01T00:00:00+03:00,OZ,0.0248
2025-09-01T00:00:00+03:00,PM10,0.026
2025-10-01T00:00:00+03:00,NO2,0.035
2025-10-01T00:00:00+03:00,SO2,0.0025
2025-10-01T00:00:00+03:00,OZ,0.0112
2025-10-01T00:00:00+03:00,PM2.5,0.006
2025-10-01T00:00:00+03:00,CO,0.28
2025-10-01T00:00:00+03:00,PM10,0.021
2025-10-01T00:00:00+03:00,NO,0.014
2025-11-01T00:00:00+03:00,OZ,0.0119
2025-11-01T00:00:00+03:00,CO,0.28
2025-11-01T00:00:00+03:00,PM10,0.018
2025-11-01T00:00:00+03:00,SO2,0.0019
2025-11-01T00:00:00+03:00,PM2.5,0.007
2025-11-01T00:00:00+03:00,NO,0.015
2025-11-01T00:00:00+03:00,NO2,0.03
2025-12-01T00:00:00+03:00,PM10,0.016
2025-12-01T00:00:00+03:00,CO,0.26
2025-12-01T00:00:00+03:00,PM2.5,0.007
2025-12-01T00:00:00+03:00,SO2,0.0019
2025-12-01T00:00:00+03:00,OZ,0.0168
2025-12-01T00:00:00+03:00,NO2,0.033
2025-12-01T00:00:00+03:00,NO,0.012
2026-01-01T00:00:00+03:00,NO,0.026
2026-01-01T00:00:00+03:00,PM2.5,0.01
2026-01-01T00:00:00+03:00,NO2,0.046
2026-01-01T00:00:00+03:00,CO,0.34
2026-01-01T00:00:00+03:00,SO2,0.0029
2026-01-01T00:00:00+03:00,PM10,0.019
2026-01-01T00:00:00+03:00,OZ,0.0147
2026-02-01T00:00:00+03:00,SO2,0.0021
2026-02-01T00:00:00+03:00,OZ,0.0278
2026-02-01T00:00:00+03:00,NO,0.016
2026-02-01T00:00:00+03:00,CO,0.35
2026-02-01T00:00:00+03:00,PM2.5,0.009
2026-02-01T00:00:00+03:00,PM10,0.016
2026-02-01T00:00:00+03:00,NO2,0.046
2026-03-01T00:00:00+03:00,PM2.5,0.01
2026-03-01T00:00:00+03:00,CO,0.38
2026-03-01T00:00:00+03:00,PM10,0.035
2026-03-01T00:00:00+03:00,OZ,0.0435
2026-03-01T00:00:00+03:00,SO2,0.0037
2026-03-01T00:00:00+03:00,NO,0.009
2026-03-01T00:00:00+03:00,NO2,0.047
