datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,OZ,0.069
2022-05-13T00:00:00+03:00,CO,0.14
2022-05-14T00:00:00+03:00,CO,0.18
2022-05-14T00:00:00+03:00,OZ,0.0654
2022-05-15T00:00:00+03:00,OZ,0.0609
2022-05-15T00:00:00+03:00,CO,0.16
2022-05-16T00:00:00+03:00,OZ,0.0594
2022-05-16T00:00:00+03:00,CO,0.16
2022-05-17T00:00:00+03:00,CO,0.17
2022-05-17T00:00:00+03:00,OZ,0.0243
2022-05-18T00:00:00+03:00,OZ,0.0478
2022-05-18T00:00:00+03:00,CO,0.18
2022-05-19T00:00:00+03:00,OZ,0.0361
2022-05-19T00:00:00+03:00,CO,0.23
2022-05-20T00:00:00+03:00,OZ,0.0406
2022-05-20T00:00:00+03:00,CO,0.24
2022-05-21T00:00:00+03:00,OZ,0.0422
2022-05-21T00:00:00+03:00,CO,0.29
2022-05-22T00:00:00+03:00,OZ,0.0763
2022-05-22T00:00:00+03:00,CO,0.17
2022-05-23T00:00:00+03:00,OZ,0.0625
2022-05-23T00:00:00+03:00,CO,0.2
2022-05-24T00:00:00+03:00,OZ,0.0546
2022-05-24T00:00:00+03:00,CO,0.18
2022-05-25T00:00:00+03:00,CO,0.19
2022-05-25T00:00:00+03:00,OZ,0.0375
2022-05-26T00:00:00+03:00,OZ,0.0465
2022-05-26T00:00:00+03:00,CO,0.24
2022-05-27T00:00:00+03:00,CO,0.2
2022-05-27T00:00:00+03:00,OZ,0.0325
2022-05-28T00:00:00+03:00,CO,0.24
2022-05-28T00:00:00+03:00,OZ,0.0373
2022-05-29T00:00:00+03:00,CO,0.22
2022-05-29T00:00:00+03:00,OZ,0.0438
2022-05-30T00:00:00+03:00,OZ,0.0515
2022-05-30T00:00:00+03:00,CO,0.24
2022-05-31T00:00:00+03:00,CO,0.38
2022-05-31T00:00:00+03:00,OZ,0.0126
2022-06-01T00:00:00+03:00,OZ,0.0224
2022-06-01T00:00:00+03:00,CO,0.33
2022-06-02T00:00:00+03:00,CO,0.24
2022-06-02T00:00:00+03:00,OZ,0.0404
2022-06-03T00:00:00+03:00,OZ,0.0199
2022-06-03T00:00:00+03:00,CO,0.24
2022-06-04T00:00:00+03:00,OZ,0.0444
2022-06-04T00:00:00+03:00,CO,0.25
2022-06-05T00:00:00+03:00,CO,0.41
2022-06-05T00:00:00+03:00,OZ,0.027
2022-06-06T00:00:00+03:00,CO,0.19
2022-06-06T00:00:00+03:00,OZ,0.0354
2022-06-07T00:00:00+03:00,OZ,0.0416
2022-06-07T00:00:00+03:00,CO,0.25
2022-06-08T00:00:00+03:00,OZ,0.049
2022-06-08T00:00:00+03:00,CO,0.47
2022-06-09T00:00:00+03:00,CO,0.57
2022-06-09T00:00:00+03:00,OZ,0.0509
2022-06-10T00:00:00+03:00,CO,0.25
2022-06-10T00:00:00+03:00,OZ,0.0449
2022-06-11T00:00:00+03:00,CO,0.52
2022-06-11T00:00:00+03:00,OZ,0.0337
2022-06-12T00:00:00+03:00,OZ,0.0343
2022-06-12T00:00:00+03:00,CO,0.44
2022-06-13T00:00:00+03:00,CO,0.29
2022-06-13T00:00:00+03:00,OZ,0.0351
2022-06-14T00:00:00+03:00,OZ,0.0337
2022-06-14T00:00:00+03:00,CO,0.33
2022-06-15T00:00:00+03:00,OZ,0.0324
2022-06-15T00:00:00+03:00,CO,0.11
2022-06-16T00:00:00+03:00,CO,0.15
2022-06-16T00:00:00+03:00,OZ,0.0334
2022-06-17T00:00:00+03:00,OZ,0.021
2022-06-17T00:00:00+03:00,CO,0.21
2022-06-18T00:00:00+03:00,OZ,0.0241
2022-06-18T00:00:00+03:00,CO,0.2
2022-06-19T00:00:00+03:00,CO,0.21
2022-06-19T00:00:00+03:00,OZ,0.042
2022-06-20T00:00:00+03:00,CO,0.14
2022-06-20T00:00:00+03:00,OZ,0.0359
2022-06-21T00:00:00+03:00,OZ,0.0029
2022-06-21T00:00:00+03:00,CO,0.37
2022-06-22T00:00:00+03:00,OZ,0.0215
2022-06-22T00:00:00+03:00,CO,0.26
2022-06-23T00:00:00+03:00,OZ,0.0393
2022-06-23T00:00:00+03:00,CO,0.22
2022-06-24T00:00:00+03:00,CO,0.32
2022-06-24T00:00:00+03:00,OZ,0.0387
2022-06-25T00:00:00+03:00,OZ,0.0477
2022-06-25T00:00:00+03:00,CO,0.35
2022-06-26T00:00:00+03:00,CO,0.49
2022-06-26T00:00:00+03:00,OZ,0.0519
2022-06-27T00:00:00+03:00,OZ,0.0289
2022-06-27T00:00:00+03:00,CO,0.44
2022-06-28T00:00:00+03:00,CO,0.25
2022-06-28T00:00:00+03:00,OZ,0.0424
2022-06-29T00:00:00+03:00,CO,0.19
2022-06-29T00:00:00+03:00,OZ,0.0599
2022-06-30T00:00:00+03:00,CO,0.39
2022-06-30T00:00:00+03:00,OZ,0.0439
2022-07-01T00:00:00+03:00,CO,0.18
2022-07-01T00:00:00+03:00,OZ,0.0506
2022-07-02T00:00:00+03:00,OZ,0.0537
2022-07-02T00:00:00+03:00,CO,0.31
2022-07-03T00:00:00+03:00,OZ,0.0516
2022-07-03T00:00:00+03:00,CO,0.22
2022-07-04T00:00:00+03:00,CO,0.35
2022-07-04T00:00:00+03:00,OZ,0.0476
2022-07-05T00:00:00+03:00,CO,0.43
2022-07-05T00:00:00+03:00,OZ,0.0327
2022-07-06T00:00:00+03:00,OZ,0.0206
2022-07-06T00:00:00+03:00,CO,0.34
2022-07-07T00:00:00+03:00,OZ,0.0242
2022-07-07T00:00:00+03:00,CO,0.34
2022-07-08T00:00:00+03:00,OZ,0.0288
2022-07-08T00:00:00+03:00,CO,0.2
2022-07-09T00:00:00+03:00,CO,0.48
2022-07-09T00:00:00+03:00,OZ,0.021
2022-07-10T00:00:00+03:00,OZ,0.0304
2022-07-10T00:00:00+03:00,CO,0.3
2022-07-11T00:00:00+03:00,OZ,0.0375
2022-07-11T00:00:00+03:00,CO,0.22
2022-07-12T00:00:00+03:00,OZ,0.0555
2022-07-12T00:00:00+03:00,CO,0.16
2022-07-13T00:00:00+03:00,CO,0.36
2022-07-13T00:00:00+03:00,OZ,0.0364
2022-07-14T00:00:00+03:00,OZ,0.0084
2022-07-14T00:00:00+03:00,CO,0.64
2022-07-15T00:00:00+03:00,OZ,
2022-07-15T00:00:00+03:00,CO,
2022-07-16T00:00:00+03:00,CO,
2022-07-16T00:00:00+03:00,OZ,
2022-07-17T00:00:00+03:00,OZ,
2022-07-17T00:00:00+03:00,CO,
2022-07-18T00:00:00+03:00,CO,
2022-07-18T00:00:00+03:00,OZ,
2022-07-19T00:00:00+03:00,CO,
2022-07-19T00:00:00+03:00,OZ,
2022-07-20T00:00:00+03:00,CO,0.21
2022-07-20T00:00:00+03:00,OZ,
2022-07-21T00:00:00+03:00,CO,0.19
2022-07-21T00:00:00+03:00,OZ,
2022-07-22T00:00:00+03:00,CO,0.21
2022-07-22T00:00:00+03:00,OZ,
2022-07-23T00:00:00+03:00,CO,0.45
2022-07-23T00:00:00+03:00,OZ,
2022-07-24T00:00:00+03:00,OZ,
2022-07-24T00:00:00+03:00,CO,0.3
2022-07-25T00:00:00+03:00,OZ,
2022-07-25T00:00:00+03:00,CO,0.21
2022-07-26T00:00:00+03:00,CO,0.3
2022-07-26T00:00:00+03:00,OZ,
2022-07-27T00:00:00+03:00,CO,0.58
2022-07-27T00:00:00+03:00,OZ,
2022-07-28T00:00:00+03:00,OZ,0.0317
2022-07-28T00:00:00+03:00,CO,0.28
2022-07-29T00:00:00+03:00,OZ,0.0203
2022-07-29T00:00:00+03:00,CO,0.13
2022-07-30T00:00:00+03:00,OZ,0.0273
2022-07-30T00:00:00+03:00,CO,0.25
2022-07-31T00:00:00+03:00,OZ,0.0365
2022-07-31T00:00:00+03:00,CO,0.4
2022-08-01T00:00:00+03:00,CO,0.25
2022-08-01T00:00:00+03:00,OZ,0.0451
2022-08-02T00:00:00+03:00,OZ,0.034
2022-08-02T00:00:00+03:00,CO,0.33
2022-08-03T00:00:00+03:00,OZ,0.0394
2022-08-03T00:00:00+03:00,CO,0.48
2022-08-04T00:00:00+03:00,OZ,0.0437
2022-08-04T00:00:00+03:00,CO,0.4
2022-08-05T00:00:00+03:00,OZ,0.0421
2022-08-05T00:00:00+03:00,CO,0.54
2022-08-06T00:00:00+03:00,OZ,0.0503
2022-08-06T00:00:00+03:00,CO,0.4
2022-08-07T00:00:00+03:00,OZ,0.0474
2022-08-07T00:00:00+03:00,CO,0.24
2022-08-08T00:00:00+03:00,OZ,0.0125
2022-08-08T00:00:00+03:00,CO,0.26
2022-08-09T00:00:00+03:00,OZ,0.0264
2022-08-09T00:00:00+03:00,CO,0.17
2022-08-10T00:00:00+03:00,OZ,0.0262
2022-08-10T00:00:00+03:00,CO,0.23
2022-08-11T00:00:00+03:00,CO,0.21
2022-08-11T00:00:00+03:00,OZ,0.0397
2022-08-12T00:00:00+03:00,OZ,0.0443
2022-08-12T00:00:00+03:00,CO,0.53
2022-08-13T00:00:00+03:00,OZ,0.0376
2022-08-13T00:00:00+03:00,CO,0.78
2022-08-14T00:00:00+03:00,CO,0.72
2022-08-14T00:00:00+03:00,OZ,0.0544
2022-08-15T00:00:00+03:00,OZ,0.0388
2022-08-15T00:00:00+03:00,CO,0.47
2022-08-16T00:00:00+03:00,OZ,0.0432
2022-08-16T00:00:00+03:00,CO,0.23
2022-08-17T00:00:00+03:00,CO,0.32
2022-08-17T00:00:00+03:00,OZ,0.0512
2022-08-18T00:00:00+03:00,OZ,0.0436
2022-08-18T00:00:00+03:00,CO,0.32
2022-08-19T00:00:00+03:00,CO,0.21
2022-08-19T00:00:00+03:00,OZ,0.0496
2022-08-20T00:00:00+03:00,CO,0.24
2022-08-20T00:00:00+03:00,OZ,0.0394
2022-08-21T00:00:00+03:00,CO,0.36
2022-08-21T00:00:00+03:00,OZ,0.054
2022-08-22T00:00:00+03:00,CO,0.35
2022-08-22T00:00:00+03:00,OZ,0.0437
2022-08-23T00:00:00+03:00,CO,0.37
2022-08-23T00:00:00+03:00,OZ,0.0369
2022-08-24T00:00:00+03:00,OZ,0.0426
2022-08-24T00:00:00+03:00,CO,0.51
2022-08-25T00:00:00+03:00,CO,0.93
2022-08-25T00:00:00+03:00,OZ,0.047
2022-08-26T00:00:00+03:00,OZ,0.0469
2022-08-26T00:00:00+03:00,CO,0.92
2022-08-27T00:00:00+03:00,OZ,0.0473
2022-08-27T00:00:00+03:00,CO,0.92
2022-08-28T00:00:00+03:00,CO,0.74
2022-08-28T00:00:00+03:00,OZ,0.0464
2022-08-29T00:00:00+03:00,OZ,0.0451
2022-08-29T00:00:00+03:00,CO,0.42
2022-08-30T00:00:00+03:00,OZ,0.0418
2022-08-30T00:00:00+03:00,CO,0.25
2022-08-31T00:00:00+03:00,CO,0.16
2022-08-31T00:00:00+03:00,OZ,0.0386
2022-09-01T00:00:00+03:00,OZ,0.0315
2022-09-01T00:00:00+03:00,CO,0.13
2022-09-02T00:00:00+03:00,OZ,0.0321
2022-09-02T00:00:00+03:00,CO,0.14
2022-09-03T00:00:00+03:00,OZ,0.0267
2022-09-03T00:00:00+03:00,CO,0.17
2022-09-04T00:00:00+03:00,CO,0.26
2022-09-04T00:00:00+03:00,OZ,0.0231
2022-09-05T00:00:00+03:00,OZ,0.0074
2022-09-05T00:00:00+03:00,CO,0.22
2022-09-06T00:00:00+03:00,CO,0.16
2022-09-06T00:00:00+03:00,OZ,0.0174
2022-09-07T00:00:00+03:00,OZ,0.0201
2022-09-07T00:00:00+03:00,CO,0.17
2022-09-08T00:00:00+03:00,CO,0.2
2022-09-08T00:00:00+03:00,OZ,0.0099
2022-09-09T00:00:00+03:00,CO,0.35
2022-09-09T00:00:00+03:00,OZ,0.0152
2022-09-10T00:00:00+03:00,OZ,0.0197
2022-09-10T00:00:00+03:00,CO,0.57
2022-09-11T00:00:00+03:00,CO,0.64
2022-09-11T00:00:00+03:00,OZ,0.0203
2022-09-12T00:00:00+03:00,OZ,0.0171
2022-09-12T00:00:00+03:00,CO,0.28
2022-09-13T00:00:00+03:00,OZ,0.0186
2022-09-13T00:00:00+03:00,CO,0.23
2022-09-14T00:00:00+03:00,CO,0.24
2022-09-14T00:00:00+03:00,OZ,0.0119
2022-09-15T00:00:00+03:00,OZ,0.0028
2022-09-15T00:00:00+03:00,CO,0.41
2022-09-16T00:00:00+03:00,OZ,0.0053
2022-09-16T00:00:00+03:00,CO,0.5
2022-09-17T00:00:00+03:00,CO,0.25
2022-09-17T00:00:00+03:00,OZ,0.0185
2022-09-18T00:00:00+03:00,OZ,0.0106
2022-09-18T00:00:00+03:00,CO,0.24
2022-09-19T00:00:00+03:00,CO,0.23
2022-09-19T00:00:00+03:00,OZ,0.0301
2022-09-20T00:00:00+03:00,CO,0.16
2022-09-20T00:00:00+03:00,OZ,0.0231
2022-09-21T00:00:00+03:00,OZ,0.0049
2022-09-21T00:00:00+03:00,CO,0.55
2022-09-22T00:00:00+03:00,OZ,0.0056
2022-09-22T00:00:00+03:00,CO,0.29
