datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.38
2021-07-01T00:00:00+03:00,OZ,0.0256
2021-08-01T00:00:00+03:00,OZ,0.0192
2021-08-01T00:00:00+03:00,CO,0.48
2021-09-01T00:00:00+03:00,CO,0.31
2021-09-01T00:00:00+03:00,OZ,0.0112
2021-10-01T00:00:00+03:00,CO,0.29
2021-10-01T00:00:00+03:00,OZ,0.018
2021-11-01T00:00:00+03:00,CO,0.26
2021-11-01T00:00:00+03:00,OZ,0.0152
2021-12-01T00:00:00+03:00,CO,0.32
2021-12-01T00:00:00+03:00,OZ,0.0101
2022-01-01T00:00:00+03:00,OZ,0.035
2022-01-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,OZ,0.046
2022-02-01T00:00:00+03:00,CO,0.29
2022-03-01T00:00:00+03:00,OZ,0.0561
2022-03-01T00:00:00+03:00,CO,0.37
2022-04-01T00:00:00+03:00,OZ,0.0666
2022-04-01T00:00:00+03:00,CO,0.27
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,OZ,0.0629
2022-06-01T00:00:00+03:00,OZ,0.0359
2022-06-01T00:00:00+03:00,CO,0.3
2022-07-01T00:00:00+03:00,OZ,0.0357
2022-07-01T00:00:00+03:00,CO,0.31
2022-08-01T00:00:00+03:00,CO,0.43
2022-08-01T00:00:00+03:00,OZ,0.0419
2022-09-01T00:00:00+03:00,OZ,0.0139
2022-09-01T00:00:00+03:00,CO,0.3
2022-10-01T00:00:00+03:00,OZ,0.0111
2022-10-01T00:00:00+03:00,NO2,0.038
2022-10-01T00:00:00+03:00,NO,0.032
2022-10-01T00:00:00+03:00,CO,0.32
2022-11-01T00:00:00+03:00,NO,0.024
2022-11-01T00:00:00+03:00,OZ,0.0104
2022-11-01T00:00:00+03:00,CO,0.27
2022-11-01T00:00:00+03:00,NO2,0.038
2022-12-01T00:00:00+03:00,NO2,0.043
2022-12-01T00:00:00+03:00,OZ,0.0129
2022-12-01T00:00:00+03:00,CO,0.34
2022-12-01T00:00:00+03:00,NO,0.029
2023-01-01T00:00:00+03:00,NO2,0.037
2023-01-01T00:00:00+03:00,OZ,0.0234
2023-01-01T00:00:00+03:00,CO,0.27
2023-01-01T00:00:00+03:00,NO,0.01
2023-02-01T00:00:00+03:00,NO2,0.038
2023-02-01T00:00:00+03:00,CO,0.28
2023-02-01T00:00:00+03:00,NO,0.008
2023-02-01T00:00:00+03:00,OZ,0.0331
2023-03-01T00:00:00+03:00,NO2,0.04
2023-03-01T00:00:00+03:00,NO,0.011
2023-03-01T00:00:00+03:00,OZ,0.0382
2023-03-01T00:00:00+03:00,CO,0.28
2023-04-01T00:00:00+03:00,NO2,0.052
2023-04-01T00:00:00+03:00,CO,0.35
2023-04-01T00:00:00+03:00,NO,0.022
2023-04-01T00:00:00+03:00,OZ,0.0255
2023-05-01T00:00:00+03:00,OZ,0.0312
2023-05-01T00:00:00+03:00,NO,0.022
2023-05-01T00:00:00+03:00,NO2,0.036
2023-05-01T00:00:00+03:00,CO,0.34
2023-06-01T00:00:00+03:00,OZ,0.0239
2023-06-01T00:00:00+03:00,NO2,0.026
2023-06-01T00:00:00+03:00,CO,0.28
2023-06-01T00:00:00+03:00,NO,0.014
2023-07-01T00:00:00+03:00,OZ,0.0203
2023-07-01T00:00:00+03:00,NO2,0.016
2023-07-01T00:00:00+03:00,CO,0.29
2023-07-01T00:00:00+03:00,NO,0.009
2023-08-01T00:00:00+03:00,OZ,0.0196
2023-08-01T00:00:00+03:00,CO,0.41
2023-08-01T00:00:00+03:00,NO,0.014
2023-08-01T00:00:00+03:00,NO2,0.019
2023-09-01T00:00:00+03:00,CO,0.5
2023-09-01T00:00:00+03:00,NO,0.018
2023-09-01T00:00:00+03:00,OZ,0.017
2023-09-01T00:00:00+03:00,NO2,0.018
2023-10-01T00:00:00+03:00,CO,0.29
2023-10-01T00:00:00+03:00,NO2,0.019
2023-10-01T00:00:00+03:00,OZ,0.0135
2023-10-01T00:00:00+03:00,NO,0.015
2023-11-01T00:00:00+03:00,OZ,0.0106
2023-11-01T00:00:00+03:00,CO,0.29
2023-11-01T00:00:00+03:00,NO,0.019
2023-11-01T00:00:00+03:00,NO2,0.028
2023-12-01T00:00:00+03:00,CO,0.3
2023-12-01T00:00:00+03:00,NO,0.024
2023-12-01T00:00:00+03:00,OZ,0.0087
2023-12-01T00:00:00+03:00,NO2,0.033
2024-01-01T00:00:00+03:00,CO,0.35
2024-01-01T00:00:00+03:00,OZ,0.0141
2024-01-01T00:00:00+03:00,NO2,
2024-01-01T00:00:00+03:00,NO,
2024-02-01T00:00:00+03:00,OZ,0.0228
2024-02-01T00:00:00+03:00,NO2,0.038
2024-02-01T00:00:00+03:00,NO,0.018
2024-02-01T00:00:00+03:00,CO,0.32
2024-03-01T00:00:00+03:00,NO,0.025
2024-03-01T00:00:00+03:00,CO,0.4
2024-03-01T00:00:00+03:00,OZ,0.0287
2024-03-01T00:00:00+03:00,NO2,0.046
