datetime,pollutant,concentration
2022-07-27T03:00:00+03:00,CH4,1.72
2022-07-27T03:00:00+03:00,CO,0.7
2022-07-27T04:00:00+03:00,CO,0.7
2022-07-27T04:00:00+03:00,CH4,1.72
2022-07-27T05:00:00+03:00,CO,0.77
2022-07-27T05:00:00+03:00,CH4,1.92
2022-07-27T06:00:00+03:00,CH4,2.02
2022-07-27T06:00:00+03:00,CO,0.7
2022-07-27T07:00:00+03:00,CO,0.3
2022-07-27T07:00:00+03:00,CH4,1.83
2022-07-27T08:00:00+03:00,CO,0.37
2022-07-27T08:00:00+03:00,CH4,1.82
2022-07-27T09:00:00+03:00,CH4,1.56
2022-07-27T09:00:00+03:00,CO,0.27
2022-07-27T10:00:00+03:00,CH4,1.47
2022-07-27T10:00:00+03:00,CO,0.1
2022-07-27T11:00:00+03:00,CH4,1.42
2022-07-27T11:00:00+03:00,CO,0.13
2022-07-27T12:00:00+03:00,CH4,1.42
2022-07-27T12:00:00+03:00,CO,0.07
2022-07-27T13:00:00+03:00,CO,0.1
2022-07-27T13:00:00+03:00,CH4,1.39
2022-07-27T14:00:00+03:00,CO,0.07
2022-07-27T14:00:00+03:00,CH4,1.36
2022-07-27T15:00:00+03:00,CO,0.1
2022-07-27T15:00:00+03:00,CH4,1.35
2022-07-27T16:00:00+03:00,CH4,1.36
2022-07-27T16:00:00+03:00,CO,0.07
2022-07-27T17:00:00+03:00,CO,0.2
2022-07-27T17:00:00+03:00,CH4,1.35
2022-07-27T18:00:00+03:00,CH4,1.34
2022-07-27T18:00:00+03:00,CO,0
2022-07-27T19:00:00+03:00,CO,0.17
2022-07-27T19:00:00+03:00,CH4,1.34
2022-07-27T20:00:00+03:00,CO,0.5
2022-07-27T20:00:00+03:00,CH4,1.36
2022-07-27T21:00:00+03:00,CO,0.5
2022-07-27T21:00:00+03:00,CH4,1.4
2022-07-27T22:00:00+03:00,CO,0.67
2022-07-27T22:00:00+03:00,CH4,1.43
2022-07-27T23:00:00+03:00,CO,0.4
2022-07-27T23:00:00+03:00,CH4,1.46
2022-07-28T00:00:00+03:00,CO,0.23
2022-07-28T00:00:00+03:00,CH4,1.57
2022-07-28T01:00:00+03:00,CH4,1.68
2022-07-28T01:00:00+03:00,CO,0.33
2022-07-28T02:00:00+03:00,CH4,1.63
2022-07-28T02:00:00+03:00,CO,0.27
2022-07-28T03:00:00+03:00,CO,0.33
2022-07-28T03:00:00+03:00,CH4,1.75
2022-07-28T04:00:00+03:00,CH4,1.78
2022-07-28T04:00:00+03:00,CO,0.23
2022-07-28T05:00:00+03:00,CH4,2.35
2022-07-28T05:00:00+03:00,CO,0.23
2022-07-28T06:00:00+03:00,CO,0.2
2022-07-28T06:00:00+03:00,CH4,2.29
2022-07-28T07:00:00+03:00,CO,0.27
2022-07-28T07:00:00+03:00,CH4,1.91
2022-07-28T08:00:00+03:00,CH4,1.47
2022-07-28T08:00:00+03:00,CO,0.63
2022-07-28T09:00:00+03:00,CH4,1.46
2022-07-28T09:00:00+03:00,CO,0.53
2022-07-28T10:00:00+03:00,CH4,1.43
2022-07-28T10:00:00+03:00,CO,0.43
2022-07-28T11:00:00+03:00,CO,0.17
2022-07-28T11:00:00+03:00,CH4,1.38
2022-07-28T12:00:00+03:00,CH4,1.36
2022-07-28T12:00:00+03:00,CO,0.23
2022-07-28T13:00:00+03:00,CH4,1.34
2022-07-28T13:00:00+03:00,CO,0.1
2022-07-28T14:00:00+03:00,CH4,1.34
2022-07-28T14:00:00+03:00,CO,0.23
2022-07-28T15:00:00+03:00,CO,0.13
2022-07-28T15:00:00+03:00,CH4,1.39
2022-07-28T16:00:00+03:00,CH4,2.14
2022-07-28T16:00:00+03:00,CO,0.17
2022-07-28T17:00:00+03:00,CO,0.23
2022-07-28T17:00:00+03:00,CH4,1.38
2022-07-28T18:00:00+03:00,CH4,1.4
2022-07-28T18:00:00+03:00,CO,0.1
2022-07-28T19:00:00+03:00,CO,0.27
2022-07-28T19:00:00+03:00,CH4,1.37
2022-07-28T20:00:00+03:00,CO,0.63
2022-07-28T20:00:00+03:00,CH4,1.35
2022-07-28T21:00:00+03:00,CH4,1.34
2022-07-28T21:00:00+03:00,CO,0.03
2022-07-28T22:00:00+03:00,CH4,1.39
2022-07-28T22:00:00+03:00,CO,0.1
2022-07-28T23:00:00+03:00,CH4,1.37
2022-07-28T23:00:00+03:00,CO,0.07
2022-07-29T00:00:00+03:00,CH4,1.37
2022-07-29T00:00:00+03:00,CO,0
2022-07-29T01:00:00+03:00,CO,0
2022-07-29T01:00:00+03:00,CH4,1.39
2022-07-29T02:00:00+03:00,CH4,1.43
2022-07-29T02:00:00+03:00,CO,0
