datetime,pollutant,concentration
2021-08-01T00:00:00+03:00,CO,0.09
2021-08-01T00:00:00+03:00,NO,0.02
2021-08-01T00:00:00+03:00,NO2,0.043
2021-09-01T00:00:00+03:00,NO2,0.033
2021-09-01T00:00:00+03:00,CO,0.1
2021-09-01T00:00:00+03:00,NO,0.02
2021-10-01T00:00:00+03:00,CO,0.33
2021-10-01T00:00:00+03:00,NO2,0.032
2021-10-01T00:00:00+03:00,NO,0.032
2021-11-01T00:00:00+03:00,NO,0.017
2021-11-01T00:00:00+03:00,NO2,0.025
2021-11-01T00:00:00+03:00,CO,0.22
2021-12-01T00:00:00+03:00,CO,0.29
2021-12-01T00:00:00+03:00,NO,0.026
2021-12-01T00:00:00+03:00,NO2,0.039
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,NO,0.015
2022-01-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,NO,0.018
2022-02-01T00:00:00+03:00,CO,0.21
2022-02-01T00:00:00+03:00,NO2,0.036
2022-03-01T00:00:00+03:00,NO,0.028
2022-03-01T00:00:00+03:00,CO,0.36
2022-03-01T00:00:00+03:00,NO2,0.052
2022-04-01T00:00:00+03:00,NO,0.011
2022-04-01T00:00:00+03:00,NO2,0.034
2022-04-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,NO,0.014
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,NO2,0.026
2022-06-01T00:00:00+03:00,CO,0.18
2022-06-01T00:00:00+03:00,NO2,0.035
2022-06-01T00:00:00+03:00,NO,0.02
