datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO,0.002
2022-05-13T00:00:00+03:00,NO2,0.023
2022-05-13T00:00:00+03:00,CO,0.18
2022-05-13T00:00:00+03:00,PM2.5,0.003
2022-05-13T00:00:00+03:00,SO2,0.0001
2022-05-13T00:00:00+03:00,PM10,0.012
2022-05-14T00:00:00+03:00,NO2,0.026
2022-05-14T00:00:00+03:00,CO,0.22
2022-05-14T00:00:00+03:00,PM10,0.015
2022-05-14T00:00:00+03:00,SO2,0.0009
2022-05-14T00:00:00+03:00,NO,0.001
2022-05-14T00:00:00+03:00,PM2.5,0.004
2022-05-15T00:00:00+03:00,CO,0.09
2022-05-15T00:00:00+03:00,NO,0.003
2022-05-15T00:00:00+03:00,PM10,0.013
2022-05-15T00:00:00+03:00,PM2.5,0.004
2022-05-15T00:00:00+03:00,SO2,0.0007
2022-05-15T00:00:00+03:00,NO2,0.032
2022-05-16T00:00:00+03:00,PM2.5,0.003
2022-05-16T00:00:00+03:00,CO,0.12
2022-05-16T00:00:00+03:00,PM10,0.012
2022-05-16T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,NO2,0.026
2022-05-16T00:00:00+03:00,SO2,0.0009
2022-05-17T00:00:00+03:00,CO,0.15
2022-05-17T00:00:00+03:00,SO2,0.0009
2022-05-17T00:00:00+03:00,PM2.5,0.004
2022-05-17T00:00:00+03:00,PM10,0.009
2022-05-17T00:00:00+03:00,NO,0.006
2022-05-17T00:00:00+03:00,NO2,0.029
2022-05-18T00:00:00+03:00,CO,0.11
2022-05-18T00:00:00+03:00,PM2.5,0.004
2022-05-18T00:00:00+03:00,NO2,0.025
2022-05-18T00:00:00+03:00,NO,0.006
2022-05-18T00:00:00+03:00,SO2,0.0004
2022-05-18T00:00:00+03:00,PM10,0.011
2022-05-19T00:00:00+03:00,NO,0.006
2022-05-19T00:00:00+03:00,PM2.5,0.005
2022-05-19T00:00:00+03:00,CO,0.07
2022-05-19T00:00:00+03:00,SO2,0.0016
2022-05-19T00:00:00+03:00,NO2,0.04
2022-05-19T00:00:00+03:00,PM10,0.013
2022-05-20T00:00:00+03:00,SO2,0.0015
2022-05-20T00:00:00+03:00,NO,0.023
2022-05-20T00:00:00+03:00,CO,0.23
2022-05-20T00:00:00+03:00,PM2.5,0.004
2022-05-20T00:00:00+03:00,NO2,0.038
2022-05-20T00:00:00+03:00,PM10,0.017
2022-05-21T00:00:00+03:00,PM10,0.038
2022-05-21T00:00:00+03:00,NO,0.083
2022-05-21T00:00:00+03:00,CO,0.45
2022-05-21T00:00:00+03:00,NO2,0.049
2022-05-21T00:00:00+03:00,SO2,0.0039
2022-05-21T00:00:00+03:00,PM2.5,0.01
2022-05-22T00:00:00+03:00,NO2,0.018
2022-05-22T00:00:00+03:00,SO2,0.0019
2022-05-22T00:00:00+03:00,PM2.5,0.005
2022-05-22T00:00:00+03:00,PM10,0.014
2022-05-22T00:00:00+03:00,NO,0.004
2022-05-22T00:00:00+03:00,CO,0.01
2022-05-23T00:00:00+03:00,NO2,0.028
2022-05-23T00:00:00+03:00,PM2.5,0.004
2022-05-23T00:00:00+03:00,SO2,0.0021
2022-05-23T00:00:00+03:00,PM10,0.017
2022-05-23T00:00:00+03:00,NO,0.004
2022-05-23T00:00:00+03:00,CO,0.04
2022-05-24T00:00:00+03:00,NO,0.005
2022-05-24T00:00:00+03:00,PM2.5,0.004
2022-05-24T00:00:00+03:00,PM10,0.016
2022-05-24T00:00:00+03:00,NO2,0.03
2022-05-24T00:00:00+03:00,CO,0.22
2022-05-24T00:00:00+03:00,SO2,0.0015
2022-05-25T00:00:00+03:00,SO2,0.001
2022-05-25T00:00:00+03:00,CO,0.05
2022-05-25T00:00:00+03:00,NO,0.008
