datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.25
2022-05-13T00:00:00+03:00,PM2.5,0.006
2022-05-13T00:00:00+03:00,C6H5OH (фенол),0.001
2022-05-13T00:00:00+03:00,SO2,0.0008
2022-05-13T00:00:00+03:00,OZ,0.0365
2022-05-13T00:00:00+03:00,NO2,0.036
2022-05-13T00:00:00+03:00,CH2O (формальдегид),0.0046
2022-05-13T00:00:00+03:00,C6H6 (бензол),0.003
2022-05-13T00:00:00+03:00,NO,0.016
2022-05-14T00:00:00+03:00,CO,0.34
2022-05-14T00:00:00+03:00,CH2O (формальдегид),0.0061
2022-05-14T00:00:00+03:00,C6H6 (бензол),0.003
2022-05-14T00:00:00+03:00,NO,0.016
2022-05-14T00:00:00+03:00,PM2.5,0.008
2022-05-14T00:00:00+03:00,NO2,0.037
2022-05-14T00:00:00+03:00,C6H5OH (фенол),0.0009
2022-05-14T00:00:00+03:00,OZ,0.0286
2022-05-14T00:00:00+03:00,SO2,0.0007
2022-05-15T00:00:00+03:00,OZ,0.0286
2022-05-15T00:00:00+03:00,C6H6 (бензол),0.003
2022-05-15T00:00:00+03:00,PM2.5,0.008
2022-05-15T00:00:00+03:00,CH2O (формальдегид),0.0045
2022-05-15T00:00:00+03:00,NO,0.018
2022-05-15T00:00:00+03:00,SO2,0.0007
2022-05-15T00:00:00+03:00,C6H5OH (фенол),0.0009
2022-05-15T00:00:00+03:00,NO2,0.042
2022-05-15T00:00:00+03:00,CO,0.24
2022-05-16T00:00:00+03:00,NO,0.013
2022-05-16T00:00:00+03:00,OZ,0.0316
2022-05-16T00:00:00+03:00,CH2O (формальдегид),0.0055
2022-05-16T00:00:00+03:00,PM2.5,0.006
2022-05-16T00:00:00+03:00,CO,0.17
2022-05-16T00:00:00+03:00,NO2,0.031
2022-05-16T00:00:00+03:00,SO2,0.0008
2022-05-16T00:00:00+03:00,C6H5OH (фенол),0.0009
2022-05-16T00:00:00+03:00,C6H6 (бензол),0.003
2022-05-17T00:00:00+03:00,NO2,0.034
2022-05-17T00:00:00+03:00,OZ,0.0195
2022-05-17T00:00:00+03:00,CO,0.48
