datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.003
2021-07-01T00:00:00+03:00,NO2,0.021
2021-07-01T00:00:00+03:00,CO,0.21
2021-07-01T00:00:00+03:00,PM2.5,0.012
2021-08-01T00:00:00+03:00,NO,0.004
2021-08-01T00:00:00+03:00,CO,0.35
2021-08-01T00:00:00+03:00,PM2.5,0.014
2021-08-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,NO,0.003
2021-09-01T00:00:00+03:00,NO2,0.018
2021-09-01T00:00:00+03:00,PM2.5,0.008
2021-09-01T00:00:00+03:00,CO,0.25
2021-10-01T00:00:00+03:00,NO,0.007
2021-10-01T00:00:00+03:00,PM2.5,0.014
2021-10-01T00:00:00+03:00,CO,0.27
2021-10-01T00:00:00+03:00,NO2,0.026
2021-11-01T00:00:00+03:00,PM2.5,0.008
2021-11-01T00:00:00+03:00,NO2,0.023
2021-11-01T00:00:00+03:00,CO,0.19
2021-11-01T00:00:00+03:00,NO,0.003
2021-12-01T00:00:00+03:00,NO2,0.033
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,CO,0.31
2021-12-01T00:00:00+03:00,NO,0.015
2022-01-01T00:00:00+03:00,NO,0.004
2022-01-01T00:00:00+03:00,NO2,0.031
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-01-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,PM2.5,0.009
2022-02-01T00:00:00+03:00,NO,0.004
2022-02-01T00:00:00+03:00,NO2,0.03
2022-02-01T00:00:00+03:00,CO,0.22
2022-03-01T00:00:00+03:00,CO,0.26
2022-03-01T00:00:00+03:00,NO,0.005
2022-03-01T00:00:00+03:00,PM2.5,0.009
2022-03-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,NO,0.002
2022-04-01T00:00:00+03:00,CO,0.19
2022-04-01T00:00:00+03:00,NO2,0.027
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,NO2,0.023
2022-05-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,NO,0.001
2022-05-01T00:00:00+03:00,PM2.5,0.008
2022-06-01T00:00:00+03:00,CO,0.2
2022-06-01T00:00:00+03:00,NO,0.003
2022-06-01T00:00:00+03:00,NO2,0.024
2022-06-01T00:00:00+03:00,PM2.5,0.011
