datetime,height,temperature
2022-06-20T02:15:00+03:00,0,15.31
2022-06-20T02:15:00+03:00,50,15.42
2022-06-20T02:15:00+03:00,100,15.07
2022-06-20T02:15:00+03:00,150,14.6
2022-06-20T02:15:00+03:00,200,14.16
2022-06-20T02:15:00+03:00,250,13.7
2022-06-20T02:15:00+03:00,300,13.23
2022-06-20T02:15:00+03:00,350,12.82
2022-06-20T02:15:00+03:00,400,12.45
2022-06-20T02:15:00+03:00,450,12.08
2022-06-20T02:15:00+03:00,500,11.69
2022-06-20T02:15:00+03:00,550,11.3
2022-06-20T02:15:00+03:00,600,10.9
2022-06-20T02:20:00+03:00,0,15.27
2022-06-20T02:20:00+03:00,50,15.23
2022-06-20T02:20:00+03:00,100,14.9
2022-06-20T02:20:00+03:00,150,14.46
2022-06-20T02:20:00+03:00,200,13.96
2022-06-20T02:20:00+03:00,250,13.49
2022-06-20T02:20:00+03:00,300,13.08
2022-06-20T02:20:00+03:00,350,12.7
2022-06-20T02:20:00+03:00,400,12.33
2022-06-20T02:20:00+03:00,450,11.96
2022-06-20T02:20:00+03:00,500,11.57
2022-06-20T02:20:00+03:00,550,11.18
2022-06-20T02:20:00+03:00,600,10.78
2022-06-20T02:25:00+03:00,0,15.16
2022-06-20T02:25:00+03:00,50,15.15
2022-06-20T02:25:00+03:00,100,14.83
2022-06-20T02:25:00+03:00,150,14.41
2022-06-20T02:25:00+03:00,200,13.94
2022-06-20T02:25:00+03:00,250,13.5
2022-06-20T02:25:00+03:00,300,13.03
2022-06-20T02:25:00+03:00,350,12.62
2022-06-20T02:25:00+03:00,400,12.24
2022-06-20T02:25:00+03:00,450,11.86
2022-06-20T02:25:00+03:00,500,11.45
2022-06-20T02:25:00+03:00,550,11.03
2022-06-20T02:25:00+03:00,600,10.61
2022-06-20T02:30:00+03:00,0,15.24
2022-06-20T02:30:00+03:00,50,15.17
2022-06-20T02:30:00+03:00,100,14.84
2022-06-20T02:30:00+03:00,150,14.46
2022-06-20T02:30:00+03:00,200,14.01
2022-06-20T02:30:00+03:00,250,13.49
2022-06-20T02:30:00+03:00,300,13.07
2022-06-20T02:30:00+03:00,350,12.67
2022-06-20T02:30:00+03:00,400,12.3
2022-06-20T02:30:00+03:00,450,11.91
2022-06-20T02:30:00+03:00,500,11.48
2022-06-20T02:30:00+03:00,550,11.05
2022-06-20T02:30:00+03:00,600,10.61
2022-06-20T02:35:00+03:00,0,15.2
2022-06-20T02:35:00+03:00,50,15.11
2022-06-20T02:35:00+03:00,100,14.76
2022-06-20T02:35:00+03:00,150,14.34
2022-06-20T02:35:00+03:00,200,13.92
2022-06-20T02:35:00+03:00,250,13.44
2022-06-20T02:35:00+03:00,300,12.96
2022-06-20T02:35:00+03:00,350,12.54
2022-06-20T02:35:00+03:00,400,12.16
2022-06-20T02:35:00+03:00,450,11.78
