datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.68
2022-05-14T00:00:00+03:00,CO,1.01
2022-05-15T00:00:00+03:00,CO,1.24
2022-05-16T00:00:00+03:00,CO,0.78
2022-05-17T00:00:00+03:00,CO,0.72
2022-05-18T00:00:00+03:00,CO,0.37
2022-05-19T00:00:00+03:00,CO,0.95
2022-05-20T00:00:00+03:00,CO,0.58
2022-05-21T00:00:00+03:00,CO,1
2022-05-22T00:00:00+03:00,CO,0.21
2022-05-23T00:00:00+03:00,CO,0.54
2022-05-24T00:00:00+03:00,CO,0.84
2022-05-25T00:00:00+03:00,CO,1.05
2022-05-26T00:00:00+03:00,CO,1.29
2022-05-27T00:00:00+03:00,CO,0.88
2022-05-28T00:00:00+03:00,CO,0.94
2022-05-29T00:00:00+03:00,CO,1.27
2022-05-30T00:00:00+03:00,CO,0.92
2022-05-31T00:00:00+03:00,CO,0.96
2022-06-01T00:00:00+03:00,CO,0.9
2022-06-02T00:00:00+03:00,CO,1.52
2022-06-03T00:00:00+03:00,CO,1.37
2022-06-04T00:00:00+03:00,CO,1.64
2022-06-05T00:00:00+03:00,CO,1.07
2022-06-06T00:00:00+03:00,CO,0.92
2022-06-07T00:00:00+03:00,CO,0.66
2022-06-08T00:00:00+03:00,CO,1.28
2022-06-09T00:00:00+03:00,CO,1.46
2022-06-10T00:00:00+03:00,CO,0.64
2022-06-11T00:00:00+03:00,CO,1.22
2022-06-12T00:00:00+03:00,CO,0.87
2022-06-13T00:00:00+03:00,CO,1.07
2022-06-14T00:00:00+03:00,CO,1.71
2022-06-15T00:00:00+03:00,CO,0.83
2022-06-16T00:00:00+03:00,CO,0.96
2022-06-17T00:00:00+03:00,CO,1.33
2022-06-18T00:00:00+03:00,CO,0.95
2022-06-19T00:00:00+03:00,CO,1.1
2022-06-20T00:00:00+03:00,CO,1.13
2022-06-21T00:00:00+03:00,CO,1.89
2022-06-22T00:00:00+03:00,CO,0.59
2022-06-23T00:00:00+03:00,CO,0.82
2022-06-24T00:00:00+03:00,CO,0.8
2022-06-25T00:00:00+03:00,CO,1.79
2022-06-26T00:00:00+03:00,CO,1.06
2022-06-27T00:00:00+03:00,CO,1.65
2022-06-28T00:00:00+03:00,CO,0.92
2022-06-29T00:00:00+03:00,CO,0.45
2022-06-30T00:00:00+03:00,CO,1.04
2022-07-01T00:00:00+03:00,CO,0.61
2022-07-02T00:00:00+03:00,CO,0.42
2022-07-03T00:00:00+03:00,CO,0.37
2022-07-04T00:00:00+03:00,CO,0.8
2022-07-05T00:00:00+03:00,CO,1.75
2022-07-06T00:00:00+03:00,CO,2.59
2022-07-07T00:00:00+03:00,CO,
2022-07-08T00:00:00+03:00,CO,
2022-07-09T00:00:00+03:00,CO,
2022-07-10T00:00:00+03:00,CO,
2022-07-11T00:00:00+03:00,CO,
2022-07-12T00:00:00+03:00,CO,
