datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,PM2.5,0.028
2022-05-13T00:00:00+03:00,CO,1.95
2022-05-14T00:00:00+03:00,CO,2.35
2022-05-14T00:00:00+03:00,PM2.5,0.026
2022-05-15T00:00:00+03:00,CO,1.73
2022-05-15T00:00:00+03:00,PM2.5,0.019
2022-05-16T00:00:00+03:00,CO,2.03
2022-05-16T00:00:00+03:00,PM2.5,0.023
2022-05-17T00:00:00+03:00,PM2.5,0.021
2022-05-17T00:00:00+03:00,CO,1.7
2022-05-18T00:00:00+03:00,CO,1.27
2022-05-18T00:00:00+03:00,PM2.5,0.017
2022-05-19T00:00:00+03:00,CO,1.57
2022-05-19T00:00:00+03:00,PM2.5,0.021
2022-05-20T00:00:00+03:00,PM2.5,0.014
2022-05-20T00:00:00+03:00,CO,0.92
2022-05-21T00:00:00+03:00,PM2.5,0.013
2022-05-21T00:00:00+03:00,CO,0.78
2022-05-22T00:00:00+03:00,PM2.5,0.012
2022-05-22T00:00:00+03:00,CO,0.79
2022-05-23T00:00:00+03:00,CO,1.56
2022-05-23T00:00:00+03:00,PM2.5,0.024
2022-05-24T00:00:00+03:00,CO,1.35
2022-05-24T00:00:00+03:00,PM2.5,0.02
2022-05-25T00:00:00+03:00,PM2.5,0.018
2022-05-25T00:00:00+03:00,CO,1.37
2022-05-26T00:00:00+03:00,CO,0.88
2022-05-26T00:00:00+03:00,PM2.5,0.014
2022-05-27T00:00:00+03:00,CO,2.08
2022-05-27T00:00:00+03:00,PM2.5,0.033
2022-05-28T00:00:00+03:00,CO,1.01
2022-05-28T00:00:00+03:00,PM2.5,0.014
2022-05-29T00:00:00+03:00,PM2.5,0.013
2022-05-29T00:00:00+03:00,CO,0.69
2022-05-30T00:00:00+03:00,PM2.5,0.016
2022-05-30T00:00:00+03:00,CO,0.92
2022-05-31T00:00:00+03:00,CO,0.8
2022-05-31T00:00:00+03:00,PM2.5,
2022-06-01T00:00:00+03:00,CO,1.2
2022-06-01T00:00:00+03:00,PM2.5,
2022-06-02T00:00:00+03:00,PM2.5,
2022-06-02T00:00:00+03:00,CO,0.58
2022-06-03T00:00:00+03:00,PM2.5,
2022-06-03T00:00:00+03:00,CO,2.07
2022-06-04T00:00:00+03:00,PM2.5,
2022-06-04T00:00:00+03:00,CO,1.96
2022-06-05T00:00:00+03:00,PM2.5,
2022-06-05T00:00:00+03:00,CO,2.06
2022-06-06T00:00:00+03:00,PM2.5,
2022-06-06T00:00:00+03:00,CO,1.89
2022-06-07T00:00:00+03:00,CO,1.79
2022-06-07T00:00:00+03:00,PM2.5,
2022-06-08T00:00:00+03:00,PM2.5,
2022-06-08T00:00:00+03:00,CO,1.38
2022-06-09T00:00:00+03:00,PM2.5,
2022-06-09T00:00:00+03:00,CO,1.98
2022-06-10T00:00:00+03:00,PM2.5,
2022-06-10T00:00:00+03:00,CO,2.24
2022-06-11T00:00:00+03:00,PM2.5,
2022-06-11T00:00:00+03:00,CO,1.06
2022-06-12T00:00:00+03:00,PM2.5,
2022-06-12T00:00:00+03:00,CO,0.48
2022-06-13T00:00:00+03:00,PM2.5,
2022-06-13T00:00:00+03:00,CO,0.51
2022-06-14T00:00:00+03:00,CO,0.88
2022-06-14T00:00:00+03:00,PM2.5,
2022-06-15T00:00:00+03:00,PM2.5,
2022-06-15T00:00:00+03:00,CO,0.43
2022-06-16T00:00:00+03:00,PM2.5,
2022-06-16T00:00:00+03:00,CO,1.58
2022-06-17T00:00:00+03:00,CO,1.44
2022-06-17T00:00:00+03:00,PM2.5,
2022-06-18T00:00:00+03:00,PM2.5,
2022-06-18T00:00:00+03:00,CO,1.93
2022-06-19T00:00:00+03:00,CO,1.5
2022-06-19T00:00:00+03:00,PM2.5,
2022-06-20T00:00:00+03:00,CO,1.85
2022-06-20T00:00:00+03:00,PM2.5,
2022-06-21T00:00:00+03:00,PM2.5,
2022-06-21T00:00:00+03:00,CO,0.74
2022-06-22T00:00:00+03:00,PM2.5,
2022-06-22T00:00:00+03:00,CO,0.78
2022-06-23T00:00:00+03:00,CO,1.51
2022-06-23T00:00:00+03:00,PM2.5,
2022-06-24T00:00:00+03:00,PM2.5,
2022-06-24T00:00:00+03:00,CO,2.11
2022-06-25T00:00:00+03:00,CO,1.39
2022-06-25T00:00:00+03:00,PM2.5,
2022-06-26T00:00:00+03:00,CO,1.75
2022-06-26T00:00:00+03:00,PM2.5,
2022-06-27T00:00:00+03:00,PM2.5,
2022-06-27T00:00:00+03:00,CO,2.57
