datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,1.22
2021-07-01T00:00:00+03:00,PM2.5,0.026
2021-08-01T00:00:00+03:00,PM2.5,0.022
2021-08-01T00:00:00+03:00,CO,1.01
2021-09-01T00:00:00+03:00,CO,1.08
2021-09-01T00:00:00+03:00,PM2.5,0.017
2021-10-01T00:00:00+03:00,CO,0.78
2021-10-01T00:00:00+03:00,PM2.5,0.018
2021-11-01T00:00:00+03:00,PM2.5,0.016
2021-11-01T00:00:00+03:00,CO,0.81
2021-12-01T00:00:00+03:00,PM2.5,0.016
2021-12-01T00:00:00+03:00,CO,0.81
2022-01-01T00:00:00+03:00,PM2.5,0.014
2022-01-01T00:00:00+03:00,CO,0.64
2022-02-01T00:00:00+03:00,CO,0.77
2022-02-01T00:00:00+03:00,PM2.5,0.015
2022-03-01T00:00:00+03:00,CO,1.14
2022-03-01T00:00:00+03:00,PM2.5,0.019
2022-04-01T00:00:00+03:00,CO,0.85
2022-04-01T00:00:00+03:00,PM2.5,0.014
2022-05-01T00:00:00+03:00,PM2.5,0.018
2022-05-01T00:00:00+03:00,CO,1.2
