datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.014
2021-07-01T00:00:00+03:00,CO,0.33
2021-07-01T00:00:00+03:00,NO2,0.03
2021-07-01T00:00:00+03:00,NO,0.016
2021-08-01T00:00:00+03:00,CO,0.42
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,NO2,0.032
2021-08-01T00:00:00+03:00,NO,0.014
2021-09-01T00:00:00+03:00,CO,0.3
2021-09-01T00:00:00+03:00,NO,0.011
2021-09-01T00:00:00+03:00,NO2,0.022
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-10-01T00:00:00+03:00,CO,0.3
2021-10-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,NO,0.032
2021-10-01T00:00:00+03:00,NO2,0.032
2021-11-01T00:00:00+03:00,NO2,0.025
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,CO,0.18
2021-11-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,CO,0.21
2021-12-01T00:00:00+03:00,NO,0.024
2021-12-01T00:00:00+03:00,NO2,0.035
2021-12-01T00:00:00+03:00,PM2.5,0.01
2022-01-01T00:00:00+03:00,NO,0.013
2022-01-01T00:00:00+03:00,NO2,0.039
2022-01-01T00:00:00+03:00,CO,0.21
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.009
2022-02-01T00:00:00+03:00,NO2,0.041
2022-02-01T00:00:00+03:00,CO,0.23
2022-02-01T00:00:00+03:00,NO,0.012
2022-03-01T00:00:00+03:00,PM2.5,0.011
2022-03-01T00:00:00+03:00,NO,0.046
2022-03-01T00:00:00+03:00,NO2,0.072
2022-03-01T00:00:00+03:00,CO,0.34
2022-04-01T00:00:00+03:00,NO2,0.07
2022-04-01T00:00:00+03:00,NO,0.02
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-04-01T00:00:00+03:00,CO,0.2
2022-05-01T00:00:00+03:00,NO2,0.032
2022-05-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,PM2.5,0.008
