datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CO,0.2
2022-06-09T16:00:00+03:00,NO,0.002
2022-06-09T16:00:00+03:00,CH4,1.48
2022-06-09T16:00:00+03:00,NO2,0.014
2022-06-09T16:00:00+03:00,PM2.5,0.014
2022-06-09T17:00:00+03:00,NO2,0.016
2022-06-09T17:00:00+03:00,NO,0.002
2022-06-09T17:00:00+03:00,CO,0.2
2022-06-09T17:00:00+03:00,CH4,1.48
2022-06-09T17:00:00+03:00,PM2.5,0.017
2022-06-09T18:00:00+03:00,NO2,0.016
2022-06-09T18:00:00+03:00,PM2.5,0.015
2022-06-09T18:00:00+03:00,NO,0.002
2022-06-09T18:00:00+03:00,CH4,1.5
2022-06-09T18:00:00+03:00,CO,0.1
2022-06-09T19:00:00+03:00,NO,0.003
2022-06-09T19:00:00+03:00,CH4,1.47
2022-06-09T19:00:00+03:00,CO,0.13
2022-06-09T19:00:00+03:00,NO2,0.025
2022-06-09T19:00:00+03:00,PM2.5,0.015
2022-06-09T20:00:00+03:00,CO,0.2
2022-06-09T20:00:00+03:00,NO2,0.042
2022-06-09T20:00:00+03:00,PM2.5,0.015
2022-06-09T20:00:00+03:00,NO,0.001
2022-06-09T20:00:00+03:00,CH4,1.45
2022-06-09T21:00:00+03:00,CO,0.27
2022-06-09T21:00:00+03:00,PM2.5,0.016
2022-06-09T21:00:00+03:00,NO2,0.048
2022-06-09T21:00:00+03:00,CH4,1.47
2022-06-09T21:00:00+03:00,NO,0.001
2022-06-09T22:00:00+03:00,CH4,1.64
2022-06-09T22:00:00+03:00,NO2,0.059
2022-06-09T22:00:00+03:00,NO,0.005
2022-06-09T22:00:00+03:00,PM2.5,0.036
2022-06-09T22:00:00+03:00,CO,0.4
2022-06-09T23:00:00+03:00,CO,0.43
2022-06-09T23:00:00+03:00,NO,0.004
2022-06-09T23:00:00+03:00,PM2.5,0.082
2022-06-09T23:00:00+03:00,CH4,1.48
2022-06-09T23:00:00+03:00,NO2,0.064
2022-06-10T00:00:00+03:00,PM2.5,0.033
2022-06-10T00:00:00+03:00,NO2,0.07
2022-06-10T00:00:00+03:00,CO,0.37
2022-06-10T00:00:00+03:00,NO,0.005
2022-06-10T00:00:00+03:00,CH4,1.49
2022-06-10T01:00:00+03:00,CH4,1.49
2022-06-10T01:00:00+03:00,NO,0.026
2022-06-10T01:00:00+03:00,NO2,0.085
2022-06-10T01:00:00+03:00,CO,0.53
2022-06-10T01:00:00+03:00,PM2.5,0.022
2022-06-10T02:00:00+03:00,PM2.5,0.028
2022-06-10T02:00:00+03:00,NO2,0.092
2022-06-10T02:00:00+03:00,CH4,1.54
2022-06-10T02:00:00+03:00,NO,0.044
2022-06-10T02:00:00+03:00,CO,0.57
2022-06-10T03:00:00+03:00,CO,0.77
2022-06-10T03:00:00+03:00,CH4,2.27
2022-06-10T03:00:00+03:00,NO2,0.089
2022-06-10T03:00:00+03:00,NO,0.105
2022-06-10T03:00:00+03:00,PM2.5,0.029
2022-06-10T04:00:00+03:00,PM2.5,0.028
2022-06-10T04:00:00+03:00,NO,0.023
2022-06-10T04:00:00+03:00,CO,0.4
2022-06-10T04:00:00+03:00,CH4,1.65
2022-06-10T04:00:00+03:00,NO2,0.069
2022-06-10T05:00:00+03:00,PM2.5,0.022
2022-06-10T05:00:00+03:00,CH4,1.54
2022-06-10T05:00:00+03:00,NO2,0.054
2022-06-10T05:00:00+03:00,NO,0.007
2022-06-10T05:00:00+03:00,CO,0.3
2022-06-10T06:00:00+03:00,CO,0.3
2022-06-10T06:00:00+03:00,CH4,1.68
2022-06-10T06:00:00+03:00,NO2,0.048
2022-06-10T06:00:00+03:00,NO,0.008
2022-06-10T06:00:00+03:00,PM2.5,0.019
2022-06-10T07:00:00+03:00,CH4,1.52
2022-06-10T07:00:00+03:00,PM2.5,0.015
2022-06-10T07:00:00+03:00,NO2,0.033
2022-06-10T07:00:00+03:00,NO,0.006
2022-06-10T07:00:00+03:00,CO,0.2
2022-06-10T08:00:00+03:00,PM2.5,0.017
2022-06-10T08:00:00+03:00,CO,0.33
2022-06-10T08:00:00+03:00,CH4,1.57
2022-06-10T08:00:00+03:00,NO,0.006
2022-06-10T08:00:00+03:00,NO2,0.024
2022-06-10T09:00:00+03:00,NO2,0.015
2022-06-10T09:00:00+03:00,PM2.5,0.013
2022-06-10T09:00:00+03:00,CO,0.2
2022-06-10T09:00:00+03:00,CH4,1.55
2022-06-10T09:00:00+03:00,NO,0.004
2022-06-10T10:00:00+03:00,NO2,0.016
2022-06-10T10:00:00+03:00,PM2.5,0.013
2022-06-10T10:00:00+03:00,CO,0.2
2022-06-10T10:00:00+03:00,NO,0.004
2022-06-10T10:00:00+03:00,CH4,1.49
2022-06-10T11:00:00+03:00,PM2.5,0.01
2022-06-10T11:00:00+03:00,NO2,0.012
2022-06-10T11:00:00+03:00,CH4,1.48
2022-06-10T11:00:00+03:00,NO,0.003
2022-06-10T11:00:00+03:00,CO,0.2
2022-06-10T12:00:00+03:00,CH4,1.48
2022-06-10T12:00:00+03:00,NO,0.002
2022-06-10T12:00:00+03:00,NO2,0.012
2022-06-10T12:00:00+03:00,CO,0.13
2022-06-10T12:00:00+03:00,PM2.5,0.007
2022-06-10T13:00:00+03:00,CO,0.17
2022-06-10T13:00:00+03:00,PM2.5,0.009
2022-06-10T13:00:00+03:00,NO2,0.014
2022-06-10T13:00:00+03:00,CH4,1.46
2022-06-10T13:00:00+03:00,NO,0.002
2022-06-10T14:00:00+03:00,PM2.5,0.008
2022-06-10T14:00:00+03:00,NO2,0.01
2022-06-10T14:00:00+03:00,CH4,1.46
2022-06-10T14:00:00+03:00,NO,0.002
2022-06-10T14:00:00+03:00,CO,0.13
2022-06-10T15:00:00+03:00,NO,0.002
2022-06-10T15:00:00+03:00,CH4,1.45
2022-06-10T15:00:00+03:00,CO,0.1
2022-06-10T15:00:00+03:00,NO2,0.01
2022-06-10T15:00:00+03:00,PM2.5,0.01
2022-06-10T16:00:00+03:00,CO,0.1
2022-06-10T16:00:00+03:00,NO2,0.009
2022-06-10T16:00:00+03:00,PM2.5,0.01
2022-06-10T16:00:00+03:00,NO,0.002
2022-06-10T16:00:00+03:00,CH4,1.45
2022-06-10T17:00:00+03:00,NO,0.002
2022-06-10T17:00:00+03:00,CH4,1.45
2022-06-10T17:00:00+03:00,NO2,0.01
2022-06-10T17:00:00+03:00,CO,0.1
2022-06-10T17:00:00+03:00,PM2.5,0.01
2022-06-10T18:00:00+03:00,NO2,0.01
2022-06-10T18:00:00+03:00,NO,0.002
2022-06-10T18:00:00+03:00,CH4,1.45
2022-06-10T18:00:00+03:00,CO,0.1
2022-06-10T18:00:00+03:00,PM2.5,0.009
2022-06-10T19:00:00+03:00,CO,0.17
2022-06-10T19:00:00+03:00,PM2.5,0.01
2022-06-10T19:00:00+03:00,NO,0.002
2022-06-10T19:00:00+03:00,NO2,0.014
2022-06-10T19:00:00+03:00,CH4,1.47
2022-06-10T20:00:00+03:00,CO,0.2
2022-06-10T20:00:00+03:00,NO,0.001
2022-06-10T20:00:00+03:00,PM2.5,0.01
2022-06-10T20:00:00+03:00,NO2,0.02
2022-06-10T20:00:00+03:00,CH4,1.47
2022-06-10T21:00:00+03:00,CO,0.2
2022-06-10T21:00:00+03:00,CH4,1.51
2022-06-10T21:00:00+03:00,PM2.5,0.011
2022-06-10T21:00:00+03:00,NO,0.001
2022-06-10T21:00:00+03:00,NO2,0.031
2022-06-10T22:00:00+03:00,CO,0.33
2022-06-10T22:00:00+03:00,NO2,0.06
2022-06-10T22:00:00+03:00,NO,0.008
2022-06-10T22:00:00+03:00,PM2.5,0.012
2022-06-10T22:00:00+03:00,CH4,1.57
2022-06-10T23:00:00+03:00,NO2,0.093
2022-06-10T23:00:00+03:00,CO,0.53
2022-06-10T23:00:00+03:00,CH4,1.83
2022-06-10T23:00:00+03:00,NO,0.03
2022-06-10T23:00:00+03:00,PM2.5,0.021
2022-06-11T00:00:00+03:00,NO,0.011
2022-06-11T00:00:00+03:00,CH4,2.44
2022-06-11T00:00:00+03:00,NO2,0.083
2022-06-11T00:00:00+03:00,CO,0.4
2022-06-11T00:00:00+03:00,PM2.5,0.019
2022-06-11T01:00:00+03:00,NO,0.005
2022-06-11T01:00:00+03:00,CH4,1.95
2022-06-11T01:00:00+03:00,CO,0.43
2022-06-11T01:00:00+03:00,NO2,0.073
2022-06-11T01:00:00+03:00,PM2.5,0.018
2022-06-11T02:00:00+03:00,PM2.5,0.017
2022-06-11T02:00:00+03:00,CO,0.3
2022-06-11T02:00:00+03:00,NO,0.005
2022-06-11T02:00:00+03:00,NO2,0.07
2022-06-11T02:00:00+03:00,CH4,1.88
2022-06-11T03:00:00+03:00,PM2.5,0.019
2022-06-11T03:00:00+03:00,CO,0.33
2022-06-11T03:00:00+03:00,NO2,0.076
2022-06-11T03:00:00+03:00,CH4,2.19
2022-06-11T03:00:00+03:00,NO,0.016
2022-06-11T04:00:00+03:00,NO,0.019
2022-06-11T04:00:00+03:00,CH4,1.93
2022-06-11T04:00:00+03:00,NO2,0.08
2022-06-11T04:00:00+03:00,PM2.5,0.021
2022-06-11T04:00:00+03:00,CO,0.3
2022-06-11T05:00:00+03:00,NO2,0.073
2022-06-11T05:00:00+03:00,CO,0.37
2022-06-11T05:00:00+03:00,NO,0.033
2022-06-11T05:00:00+03:00,CH4,2.15
2022-06-11T05:00:00+03:00,PM2.5,0.021
2022-06-11T06:00:00+03:00,NO,0.029
2022-06-11T06:00:00+03:00,CO,0.4
2022-06-11T06:00:00+03:00,NO2,0.072
2022-06-11T06:00:00+03:00,PM2.5,0.018
2022-06-11T06:00:00+03:00,CH4,2.03
2022-06-11T07:00:00+03:00,PM2.5,0.024
2022-06-11T07:00:00+03:00,NO2,0.077
2022-06-11T07:00:00+03:00,CO,0.47
2022-06-11T07:00:00+03:00,CH4,1.9
2022-06-11T07:00:00+03:00,NO,0.048
2022-06-11T08:00:00+03:00,PM2.5,0.023
2022-06-11T08:00:00+03:00,NO2,0.072
2022-06-11T08:00:00+03:00,NO,0.024
2022-06-11T08:00:00+03:00,CH4,1.73
