datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.015
2021-07-01T00:00:00+03:00,NO2,0.05
2021-07-01T00:00:00+03:00,CO,0.37
2021-07-01T00:00:00+03:00,NO,0.025
2021-07-01T00:00:00+03:00,SO2,0.0036
2021-08-01T00:00:00+03:00,PM2.5,0.017
2021-08-01T00:00:00+03:00,NO,0.027
2021-08-01T00:00:00+03:00,CO,0.41
2021-08-01T00:00:00+03:00,SO2,0.0024
2021-08-01T00:00:00+03:00,NO2,0.053
2021-09-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,NO,0.025
2021-09-01T00:00:00+03:00,NO2,0.034
2021-09-01T00:00:00+03:00,PM2.5,0.01
2021-09-01T00:00:00+03:00,SO2,0.0013
2021-10-01T00:00:00+03:00,NO,0.052
2021-10-01T00:00:00+03:00,SO2,0.0023
2021-10-01T00:00:00+03:00,CO,0.45
2021-10-01T00:00:00+03:00,PM2.5,0.015
2021-10-01T00:00:00+03:00,NO2,0.042
2021-11-01T00:00:00+03:00,NO,0.024
2021-11-01T00:00:00+03:00,NO2,0.036
2021-11-01T00:00:00+03:00,PM2.5,0.011
2021-11-01T00:00:00+03:00,SO2,0.0006
2021-11-01T00:00:00+03:00,CO,0.33
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,SO2,0.0013
2021-12-01T00:00:00+03:00,NO,0.039
2021-12-01T00:00:00+03:00,CO,0.37
2021-12-01T00:00:00+03:00,NO2,0.051
2022-01-01T00:00:00+03:00,SO2,0.0015
2022-01-01T00:00:00+03:00,CO,0.32
2022-01-01T00:00:00+03:00,NO2,0.05
2022-01-01T00:00:00+03:00,NO,0.024
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,NO2,0.046
2022-02-01T00:00:00+03:00,NO,0.023
2022-02-01T00:00:00+03:00,SO2,0.0013
2022-02-01T00:00:00+03:00,CO,0.31
2022-03-01T00:00:00+03:00,NO,0.059
2022-03-01T00:00:00+03:00,NO2,0.056
2022-03-01T00:00:00+03:00,SO2,0.004
2022-03-01T00:00:00+03:00,CO,0.46
2022-03-01T00:00:00+03:00,PM2.5,0.012
2022-04-01T00:00:00+03:00,PM2.5,0.009
2022-04-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,SO2,0.0012
2022-04-01T00:00:00+03:00,NO,0.015
2022-04-01T00:00:00+03:00,CO,
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,SO2,0.0017
2022-05-01T00:00:00+03:00,NO,0.017
2022-05-01T00:00:00+03:00,PM2.5,0.01
2022-05-01T00:00:00+03:00,SO2,0.0014
2022-05-01T00:00:00+03:00,CO,
