datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,
2021-07-01T00:00:00+03:00,NO,
2021-07-01T00:00:00+03:00,PM2.5,
2021-07-01T00:00:00+03:00,CO,
2021-07-01T00:00:00+03:00,PM10,
2021-07-01T00:00:00+03:00,SO2,
2021-08-01T00:00:00+03:00,PM2.5,
2021-08-01T00:00:00+03:00,NO,
2021-08-01T00:00:00+03:00,NO2,
2021-08-01T00:00:00+03:00,SO2,0.0023
2021-08-01T00:00:00+03:00,CO,
2021-08-01T00:00:00+03:00,PM10,
2021-09-01T00:00:00+03:00,NO,0.016
2021-09-01T00:00:00+03:00,NO2,0.029
2021-09-01T00:00:00+03:00,PM10,0.013
2021-09-01T00:00:00+03:00,SO2,0.0012
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,CO,0.4
2021-10-01T00:00:00+03:00,CO,0.47
2021-10-01T00:00:00+03:00,SO2,0.0016
2021-10-01T00:00:00+03:00,NO,0.035
2021-10-01T00:00:00+03:00,NO2,0.038
2021-10-01T00:00:00+03:00,PM2.5,0.016
2021-10-01T00:00:00+03:00,PM10,0.024
2021-11-01T00:00:00+03:00,PM10,0.017
2021-11-01T00:00:00+03:00,CO,0.28
2021-11-01T00:00:00+03:00,PM2.5,0.014
2021-11-01T00:00:00+03:00,SO2,0.0005
2021-11-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,NO,0.014
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,PM2.5,0.011
2021-12-01T00:00:00+03:00,CO,0.33
2021-12-01T00:00:00+03:00,NO2,0.041
2021-12-01T00:00:00+03:00,PM10,0.012
2021-12-01T00:00:00+03:00,SO2,0.001
2022-01-01T00:00:00+03:00,PM2.5,0.011
2022-01-01T00:00:00+03:00,NO,0.01
2022-01-01T00:00:00+03:00,SO2,0.0005
2022-01-01T00:00:00+03:00,NO2,0.038
2022-01-01T00:00:00+03:00,PM10,0.011
2022-01-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,CO,0.27
2022-02-01T00:00:00+03:00,SO2,0.0011
2022-02-01T00:00:00+03:00,NO,0.012
2022-02-01T00:00:00+03:00,NO2,0.051
2022-02-01T00:00:00+03:00,PM10,0.012
2022-03-01T00:00:00+03:00,SO2,0.0028
2022-03-01T00:00:00+03:00,PM10,0.023
2022-03-01T00:00:00+03:00,NO2,0.065
2022-03-01T00:00:00+03:00,CO,0.36
2022-03-01T00:00:00+03:00,PM2.5,0.012
2022-03-01T00:00:00+03:00,NO,0.036
2022-04-01T00:00:00+03:00,NO,0.008
2022-04-01T00:00:00+03:00,NO2,0.042
2022-04-01T00:00:00+03:00,CO,0.23
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-04-01T00:00:00+03:00,SO2,0.0014
2022-04-01T00:00:00+03:00,PM10,0.013
2022-05-01T00:00:00+03:00,PM10,0.013
2022-05-01T00:00:00+03:00,NO2,0.034
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,CO,0.24
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,SO2,
