datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,CO,0.19
2022-05-13T00:00:00+03:00,NO,0.004
2022-05-13T00:00:00+03:00,NO2,0.016
2022-05-14T00:00:00+03:00,NO2,0.019
2022-05-14T00:00:00+03:00,CO,0.17
2022-05-14T00:00:00+03:00,NO,0.004
2022-05-15T00:00:00+03:00,NO2,0.022
2022-05-15T00:00:00+03:00,NO,0.004
2022-05-15T00:00:00+03:00,CO,0.15
2022-05-16T00:00:00+03:00,NO2,0.014
2022-05-16T00:00:00+03:00,CO,0.02
2022-05-16T00:00:00+03:00,NO,0.004
2022-05-17T00:00:00+03:00,NO,0.004
2022-05-17T00:00:00+03:00,NO2,0.016
2022-05-17T00:00:00+03:00,CO,0.07
2022-05-18T00:00:00+03:00,CO,0.14
2022-05-18T00:00:00+03:00,NO2,0.015
2022-05-18T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,CO,0.22
2022-05-19T00:00:00+03:00,NO2,0.024
2022-05-19T00:00:00+03:00,NO,0.004
2022-05-20T00:00:00+03:00,NO2,0.017
2022-05-20T00:00:00+03:00,CO,0.11
2022-05-20T00:00:00+03:00,NO,0.003
2022-05-21T00:00:00+03:00,NO,0.017
2022-05-21T00:00:00+03:00,NO2,0.039
2022-05-21T00:00:00+03:00,CO,0.28
2022-05-22T00:00:00+03:00,NO2,0.009
2022-05-22T00:00:00+03:00,NO,0.002
2022-05-22T00:00:00+03:00,CO,0.07
2022-05-23T00:00:00+03:00,CO,0.22
2022-05-23T00:00:00+03:00,NO2,0.019
2022-05-23T00:00:00+03:00,NO,0.004
2022-05-24T00:00:00+03:00,NO2,0.024
2022-05-24T00:00:00+03:00,CO,0.11
2022-05-24T00:00:00+03:00,NO,0.004
2022-05-25T00:00:00+03:00,CO,0.26
2022-05-25T00:00:00+03:00,NO2,0.022
2022-05-25T00:00:00+03:00,NO,0.006
2022-05-26T00:00:00+03:00,NO,0.008
