datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.005
2021-07-01T00:00:00+03:00,CO,0.26
2021-07-01T00:00:00+03:00,NO2,0.022
2021-08-01T00:00:00+03:00,NO,0.01
2021-08-01T00:00:00+03:00,CO,0.4
2021-08-01T00:00:00+03:00,NO2,0.04
2021-09-01T00:00:00+03:00,NO,0.012
2021-09-01T00:00:00+03:00,NO2,0.028
2021-09-01T00:00:00+03:00,CO,0.34
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,CO,0.29
2021-10-01T00:00:00+03:00,NO,0.018
2021-11-01T00:00:00+03:00,NO,0.015
2021-11-01T00:00:00+03:00,NO2,0.028
2021-11-01T00:00:00+03:00,CO,0.23
2021-12-01T00:00:00+03:00,NO2,0.036
2021-12-01T00:00:00+03:00,NO,0.026
2021-12-01T00:00:00+03:00,CO,0.29
2022-01-01T00:00:00+03:00,CO,0.24
2022-01-01T00:00:00+03:00,NO,0.015
2022-01-01T00:00:00+03:00,NO2,0.037
2022-02-01T00:00:00+03:00,CO,0.26
2022-02-01T00:00:00+03:00,NO,0.013
2022-02-01T00:00:00+03:00,NO2,0.037
2022-03-01T00:00:00+03:00,CO,0.26
2022-03-01T00:00:00+03:00,NO,0.014
2022-03-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,CO,0.19
2022-04-01T00:00:00+03:00,NO2,0.029
2022-04-01T00:00:00+03:00,NO,0.007
2022-05-01T00:00:00+03:00,CO,0.19
2022-05-01T00:00:00+03:00,NO,0.006
2022-05-01T00:00:00+03:00,NO2,0.026
