datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.043
2022-05-13T00:00:00+03:00,NO,0.017
2022-05-13T00:00:00+03:00,NH3,0.0067
2022-05-13T00:00:00+03:00,SO2,0.0005
2022-05-13T00:00:00+03:00,PM10,0.016
2022-05-14T00:00:00+03:00,SO2,0.0005
2022-05-14T00:00:00+03:00,NO,0.006
2022-05-14T00:00:00+03:00,PM10,0.018
2022-05-14T00:00:00+03:00,NO2,0.036
2022-05-14T00:00:00+03:00,NH3,0.0045
2022-05-15T00:00:00+03:00,PM10,0.016
2022-05-15T00:00:00+03:00,NO,0.003
2022-05-15T00:00:00+03:00,SO2,0.0008
2022-05-15T00:00:00+03:00,NO2,0.027
2022-05-15T00:00:00+03:00,NH3,0.0042
2022-05-16T00:00:00+03:00,SO2,0.0013
2022-05-16T00:00:00+03:00,NH3,0.0031
2022-05-16T00:00:00+03:00,NO,0.003
2022-05-16T00:00:00+03:00,PM10,0.017
2022-05-16T00:00:00+03:00,NO2,0.02
2022-05-17T00:00:00+03:00,PM10,0.014
2022-05-17T00:00:00+03:00,NH3,0.0046
2022-05-17T00:00:00+03:00,NO,0.006
2022-05-17T00:00:00+03:00,NO2,0.026
2022-05-17T00:00:00+03:00,SO2,0.0011
2022-05-18T00:00:00+03:00,SO2,0.0018
2022-05-18T00:00:00+03:00,NH3,0.0029
2022-05-18T00:00:00+03:00,PM10,0.024
2022-05-18T00:00:00+03:00,NO2,0.023
2022-05-18T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,NH3,0.0042
2022-05-19T00:00:00+03:00,NO2,0.033
2022-05-19T00:00:00+03:00,SO2,0.0017
2022-05-19T00:00:00+03:00,PM10,0.017
2022-05-19T00:00:00+03:00,NO,0.005
2022-05-20T00:00:00+03:00,SO2,0.0015
2022-05-20T00:00:00+03:00,NO2,0.031
2022-05-20T00:00:00+03:00,NH3,0.0037
2022-05-20T00:00:00+03:00,PM10,0.018
2022-05-20T00:00:00+03:00,NO,0.015
2022-05-21T00:00:00+03:00,SO2,0.0024
2022-05-21T00:00:00+03:00,NH3,0.0057
2022-05-21T00:00:00+03:00,NO,0.021
2022-05-21T00:00:00+03:00,PM10,0.029
2022-05-21T00:00:00+03:00,NO2,0.047
2022-05-22T00:00:00+03:00,NO,0.002
2022-05-22T00:00:00+03:00,PM10,0.02
2022-05-22T00:00:00+03:00,NH3,0.0017
2022-05-22T00:00:00+03:00,SO2,0.0012
2022-05-22T00:00:00+03:00,NO2,0.015
2022-05-23T00:00:00+03:00,SO2,0.0022
2022-05-23T00:00:00+03:00,PM10,0.041
2022-05-23T00:00:00+03:00,NO,0.007
2022-05-23T00:00:00+03:00,NH3,0.0028
2022-05-23T00:00:00+03:00,NO2,0.031
2022-05-24T00:00:00+03:00,PM10,0.049
2022-05-24T00:00:00+03:00,NO2,0.035
2022-05-24T00:00:00+03:00,SO2,0.0024
2022-05-24T00:00:00+03:00,NH3,0.0029
2022-05-24T00:00:00+03:00,NO,0.004
2022-05-25T00:00:00+03:00,NH3,0.0038
2022-05-25T00:00:00+03:00,SO2,0.002
2022-05-25T00:00:00+03:00,NO,0.012
2022-05-25T00:00:00+03:00,NO2,0.028
2022-05-25T00:00:00+03:00,PM10,0.031
2022-05-26T00:00:00+03:00,NO2,0.037
2022-05-26T00:00:00+03:00,NH3,0.0052
2022-05-26T00:00:00+03:00,SO2,0.0013
2022-05-26T00:00:00+03:00,NO,0.009
2022-05-26T00:00:00+03:00,PM10,0.023
2022-05-27T00:00:00+03:00,SO2,0.0008
2022-05-27T00:00:00+03:00,NO,0.012
2022-05-27T00:00:00+03:00,NO2,0.041
2022-05-27T00:00:00+03:00,NH3,0.0067
2022-05-27T00:00:00+03:00,PM10,0.012
2022-05-28T00:00:00+03:00,NH3,0.0056
2022-05-28T00:00:00+03:00,PM10,0.016
2022-05-28T00:00:00+03:00,NO,0.01
2022-05-28T00:00:00+03:00,NO2,0.038
2022-05-28T00:00:00+03:00,SO2,0.0009
2022-05-29T00:00:00+03:00,NH3,0.0048
2022-05-29T00:00:00+03:00,SO2,0.0011
2022-05-29T00:00:00+03:00,PM10,0.019
2022-05-29T00:00:00+03:00,NO2,0.032
2022-05-29T00:00:00+03:00,NO,0.012
2022-05-30T00:00:00+03:00,SO2,0.0012
2022-05-30T00:00:00+03:00,NO,0.012
2022-05-30T00:00:00+03:00,NO2,0.047
2022-05-30T00:00:00+03:00,PM10,0.023
2022-05-30T00:00:00+03:00,NH3,0.0062
2022-05-31T00:00:00+03:00,PM10,0.027
2022-05-31T00:00:00+03:00,NH3,0.0134
2022-05-31T00:00:00+03:00,NO2,0.068
2022-05-31T00:00:00+03:00,SO2,0.0012
2022-05-31T00:00:00+03:00,NO,0.021
2022-06-01T00:00:00+03:00,NO,0.02
2022-06-01T00:00:00+03:00,NH3,0.0122
2022-06-01T00:00:00+03:00,NO2,0.05
2022-06-01T00:00:00+03:00,PM10,0.032
2022-06-01T00:00:00+03:00,SO2,0.0012
2022-06-02T00:00:00+03:00,PM10,0.029
2022-06-02T00:00:00+03:00,NO2,0.041
2022-06-02T00:00:00+03:00,NH3,0.0107
2022-06-02T00:00:00+03:00,NO,0.005
2022-06-02T00:00:00+03:00,SO2,0.0012
2022-06-03T00:00:00+03:00,PM10,0.021
2022-06-03T00:00:00+03:00,NO2,0.046
2022-06-03T00:00:00+03:00,NO,0.008
2022-06-03T00:00:00+03:00,NH3,0.0107
2022-06-03T00:00:00+03:00,SO2,0.0009
2022-06-04T00:00:00+03:00,NO2,0.041
2022-06-04T00:00:00+03:00,NO,0.014
2022-06-04T00:00:00+03:00,SO2,0.0011
2022-06-04T00:00:00+03:00,PM10,0.025
2022-06-04T00:00:00+03:00,NH3,0.0069
2022-06-05T00:00:00+03:00,SO2,0.0016
2022-06-05T00:00:00+03:00,NH3,0.011
2022-06-05T00:00:00+03:00,PM10,0.033
2022-06-05T00:00:00+03:00,NO,0.049
2022-06-05T00:00:00+03:00,NO2,0.039
2022-06-06T00:00:00+03:00,PM10,0.034
2022-06-06T00:00:00+03:00,NO2,0.04
2022-06-06T00:00:00+03:00,SO2,0.0016
2022-06-06T00:00:00+03:00,NH3,0.0074
2022-06-06T00:00:00+03:00,NO,0.015
2022-06-07T00:00:00+03:00,PM10,0.034
2022-06-07T00:00:00+03:00,SO2,0.0027
2022-06-07T00:00:00+03:00,NO2,0.038
2022-06-07T00:00:00+03:00,NO,0.037
2022-06-07T00:00:00+03:00,NH3,0.0075
2022-06-08T00:00:00+03:00,NO,0.138
2022-06-08T00:00:00+03:00,SO2,0.0031
2022-06-08T00:00:00+03:00,NH3,0.0175
2022-06-08T00:00:00+03:00,PM10,0.105
2022-06-08T00:00:00+03:00,NO2,0.053
2022-06-09T00:00:00+03:00,PM10,0.049
2022-06-09T00:00:00+03:00,NH3,0.0142
2022-06-09T00:00:00+03:00,NO2,0.062
2022-06-09T00:00:00+03:00,NO,0.069
2022-06-09T00:00:00+03:00,SO2,0.0023
2022-06-10T00:00:00+03:00,NH3,0.0106
2022-06-10T00:00:00+03:00,PM10,0.058
2022-06-10T00:00:00+03:00,SO2,0.0014
2022-06-10T00:00:00+03:00,NO,0.036
2022-06-10T00:00:00+03:00,NO2,0.046
2022-06-11T00:00:00+03:00,NO2,0.059
2022-06-11T00:00:00+03:00,NO,0.062
2022-06-11T00:00:00+03:00,NH3,0.0125
2022-06-11T00:00:00+03:00,PM10,0.083
2022-06-11T00:00:00+03:00,SO2,0.0016
2022-06-12T00:00:00+03:00,NH3,0.0073
2022-06-12T00:00:00+03:00,NO,0.021
2022-06-12T00:00:00+03:00,NO2,0.032
2022-06-12T00:00:00+03:00,SO2,0.0008
2022-06-12T00:00:00+03:00,PM10,0.025
2022-06-13T00:00:00+03:00,SO2,0.0009
2022-06-13T00:00:00+03:00,PM10,0.031
2022-06-13T00:00:00+03:00,NH3,0.0072
2022-06-13T00:00:00+03:00,NO,0.01
2022-06-13T00:00:00+03:00,NO2,0.049
