datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,0.04
2021-07-01T00:00:00+03:00,CO,0.46
2021-07-01T00:00:00+03:00,NO,0.028
2021-08-01T00:00:00+03:00,NO,0.024
2021-08-01T00:00:00+03:00,CO,0.44
2021-08-01T00:00:00+03:00,NO2,0.046
2021-09-01T00:00:00+03:00,CO,0.38
2021-09-01T00:00:00+03:00,NO,0.02
2021-09-01T00:00:00+03:00,NO2,0.03
2021-10-01T00:00:00+03:00,NO,0.062
2021-10-01T00:00:00+03:00,CO,0.52
2021-10-01T00:00:00+03:00,NO2,0.046
2021-11-01T00:00:00+03:00,NO,0.025
2021-11-01T00:00:00+03:00,NO2,0.033
2021-11-01T00:00:00+03:00,CO,0.32
2021-12-01T00:00:00+03:00,NO,0.031
2021-12-01T00:00:00+03:00,NO2,0.041
2021-12-01T00:00:00+03:00,CO,0.37
2022-01-01T00:00:00+03:00,NO2,0.045
2022-01-01T00:00:00+03:00,CO,0.3
2022-01-01T00:00:00+03:00,NO,0.018
2022-02-01T00:00:00+03:00,CO,0.35
2022-02-01T00:00:00+03:00,NO,0.032
2022-02-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,NO2,0.054
2022-03-01T00:00:00+03:00,CO,0.46
2022-03-01T00:00:00+03:00,NO,0.062
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,NO,0.016
2022-04-01T00:00:00+03:00,CO,0.3
2022-05-01T00:00:00+03:00,CO,0.26
2022-05-01T00:00:00+03:00,NO2,0.03
2022-05-01T00:00:00+03:00,NO,0.014
2022-06-01T00:00:00+03:00,NO,0.027
2022-06-01T00:00:00+03:00,NO2,0.036
2022-06-01T00:00:00+03:00,CO,0.42
