datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.015
2021-07-01T00:00:00+03:00,CO,0.31
2021-07-01T00:00:00+03:00,NO,0.011
2021-07-01T00:00:00+03:00,SO2,0.0011
2021-07-01T00:00:00+03:00,NO2,0.038
2021-07-01T00:00:00+03:00,PM10,0.015
2021-08-01T00:00:00+03:00,PM10,0.025
2021-08-01T00:00:00+03:00,PM2.5,0.013
2021-08-01T00:00:00+03:00,SO2,0.002
2021-08-01T00:00:00+03:00,NO2,0.042
2021-08-01T00:00:00+03:00,NO,0.013
2021-08-01T00:00:00+03:00,CO,0.39
2021-09-01T00:00:00+03:00,NO,0.013
2021-09-01T00:00:00+03:00,NO2,0.029
2021-09-01T00:00:00+03:00,CO,0.34
2021-09-01T00:00:00+03:00,PM2.5,0.011
2021-09-01T00:00:00+03:00,SO2,0.0013
2021-09-01T00:00:00+03:00,PM10,0.018
2021-10-01T00:00:00+03:00,CO,0.47
2021-10-01T00:00:00+03:00,PM10,0.03
2021-10-01T00:00:00+03:00,PM2.5,0.017
2021-10-01T00:00:00+03:00,NO2,0.048
2021-10-01T00:00:00+03:00,SO2,0.0026
2021-10-01T00:00:00+03:00,NO,0.042
2021-11-01T00:00:00+03:00,PM2.5,0.012
2021-11-01T00:00:00+03:00,NO,0.008
2021-11-01T00:00:00+03:00,PM10,0.018
2021-11-01T00:00:00+03:00,SO2,0.0017
2021-11-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,CO,0.31
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,PM2.5,0.013
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,CO,0.38
2021-12-01T00:00:00+03:00,SO2,0.0016
2021-12-01T00:00:00+03:00,PM10,0.015
2022-01-01T00:00:00+03:00,PM10,0.015
2022-01-01T00:00:00+03:00,PM2.5,0.012
2022-01-01T00:00:00+03:00,NO2,0.041
2022-01-01T00:00:00+03:00,CO,0.32
2022-01-01T00:00:00+03:00,NO,0.013
2022-01-01T00:00:00+03:00,SO2,0.0014
2022-02-01T00:00:00+03:00,SO2,0.0019
2022-02-01T00:00:00+03:00,PM2.5,0.011
2022-02-01T00:00:00+03:00,CO,0.32
2022-02-01T00:00:00+03:00,NO2,0.043
2022-02-01T00:00:00+03:00,NO,0.012
2022-02-01T00:00:00+03:00,PM10,0.017
2022-03-01T00:00:00+03:00,PM10,0.036
2022-03-01T00:00:00+03:00,SO2,0.0029
2022-03-01T00:00:00+03:00,CO,0.45
2022-03-01T00:00:00+03:00,NO,0.037
2022-03-01T00:00:00+03:00,PM2.5,0.012
2022-03-01T00:00:00+03:00,NO2,0.06
2022-04-01T00:00:00+03:00,PM2.5,0.01
2022-04-01T00:00:00+03:00,NO2,0.034
2022-04-01T00:00:00+03:00,PM10,0.024
2022-04-01T00:00:00+03:00,NO,0.007
2022-04-01T00:00:00+03:00,CO,0.3
2022-04-01T00:00:00+03:00,SO2,0.0009
2022-05-01T00:00:00+03:00,NO2,0.027
2022-05-01T00:00:00+03:00,NO,0.008
2022-05-01T00:00:00+03:00,PM10,0.028
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,PM2.5,0.01
2022-05-01T00:00:00+03:00,SO2,0.0008
2022-06-01T00:00:00+03:00,PM10,0.032
2022-06-01T00:00:00+03:00,NO,0.014
2022-06-01T00:00:00+03:00,CO,0.28
2022-06-01T00:00:00+03:00,SO2,0.0008
2022-06-01T00:00:00+03:00,PM2.5,0.012
2022-06-01T00:00:00+03:00,NO2,0.035
