datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,CO,0.25
2021-07-01T00:00:00+03:00,PM2.5,0.015
2021-07-01T00:00:00+03:00,NO2,0.044
2021-08-01T00:00:00+03:00,CO,0.36
2021-08-01T00:00:00+03:00,NO2,0.037
2021-08-01T00:00:00+03:00,PM2.5,0.015
2021-08-01T00:00:00+03:00,NO,0.007
2021-09-01T00:00:00+03:00,CO,0.3
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,NO2,0.026
2021-09-01T00:00:00+03:00,NO,0.008
2021-10-01T00:00:00+03:00,CO,0.3
2021-10-01T00:00:00+03:00,PM2.5,0.013
2021-10-01T00:00:00+03:00,NO2,0.045
2021-10-01T00:00:00+03:00,NO,0.016
2021-11-01T00:00:00+03:00,CO,0.21
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,NO2,0.032
2021-11-01T00:00:00+03:00,NO,0.01
2021-12-01T00:00:00+03:00,PM2.5,0.012
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,NO2,0.043
2021-12-01T00:00:00+03:00,CO,0.31
2022-01-01T00:00:00+03:00,CO,0.26
2022-01-01T00:00:00+03:00,NO2,0.045
2022-01-01T00:00:00+03:00,NO,0.012
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,CO,0.25
2022-02-01T00:00:00+03:00,NO,0.012
2022-02-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,PM2.5,0.011
2022-03-01T00:00:00+03:00,NO2,0.056
2022-03-01T00:00:00+03:00,CO,0.29
2022-03-01T00:00:00+03:00,NO,0.019
2022-04-01T00:00:00+03:00,NO2,0.037
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,CO,0.21
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,PM2.5,0.009
2022-05-01T00:00:00+03:00,NO2,0.034
2022-05-01T00:00:00+03:00,NO,0.004
2022-05-01T00:00:00+03:00,CO,0.18
2022-06-01T00:00:00+03:00,NO2,0.043
2022-06-01T00:00:00+03:00,NO,0.01
2022-06-01T00:00:00+03:00,PM2.5,0.011
2022-06-01T00:00:00+03:00,CO,0.24
