datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,OZ,0.0373
2022-05-13T00:00:00+03:00,NO,0.003
2022-05-13T00:00:00+03:00,NO2,0.019
2022-05-13T00:00:00+03:00,PM2.5,0.004
2022-05-13T00:00:00+03:00,PM10,0.008
2022-05-13T00:00:00+03:00,SO2,0.001
2022-05-14T00:00:00+03:00,NO2,0.023
2022-05-14T00:00:00+03:00,OZ,0.0362
2022-05-14T00:00:00+03:00,PM2.5,0.005
2022-05-14T00:00:00+03:00,NO,0.003
2022-05-14T00:00:00+03:00,PM10,0.01
2022-05-14T00:00:00+03:00,SO2,0.0009
2022-05-15T00:00:00+03:00,NO,0.003
2022-05-15T00:00:00+03:00,PM2.5,0.006
2022-05-15T00:00:00+03:00,NO2,0.029
2022-05-15T00:00:00+03:00,OZ,0.0329
2022-05-15T00:00:00+03:00,PM10,0.011
2022-05-15T00:00:00+03:00,SO2,0.0011
2022-05-16T00:00:00+03:00,PM2.5,0.004
2022-05-16T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,NO2,0.017
2022-05-16T00:00:00+03:00,OZ,0.0366
2022-05-16T00:00:00+03:00,SO2,0.0011
2022-05-16T00:00:00+03:00,PM10,0.007
2022-05-17T00:00:00+03:00,NO2,0.019
2022-05-17T00:00:00+03:00,SO2,0.0008
2022-05-17T00:00:00+03:00,PM10,0.008
2022-05-17T00:00:00+03:00,OZ,0.0249
2022-05-17T00:00:00+03:00,PM2.5,0.005
2022-05-17T00:00:00+03:00,NO,0.003
2022-05-18T00:00:00+03:00,PM2.5,0.004
2022-05-18T00:00:00+03:00,NO,0.002
2022-05-18T00:00:00+03:00,NO2,0.012
2022-05-18T00:00:00+03:00,OZ,0.0341
2022-05-18T00:00:00+03:00,PM10,0.007
2022-05-18T00:00:00+03:00,SO2,0.0008
2022-05-19T00:00:00+03:00,SO2,0.0007
2022-05-19T00:00:00+03:00,PM2.5,0.006
2022-05-19T00:00:00+03:00,OZ,0.0248
2022-05-19T00:00:00+03:00,NO,0.004
2022-05-19T00:00:00+03:00,NO2,0.032
2022-05-19T00:00:00+03:00,PM10,0.009
2022-05-20T00:00:00+03:00,PM10,0.007
2022-05-20T00:00:00+03:00,OZ,0.0323
2022-05-20T00:00:00+03:00,SO2,0.0013
2022-05-20T00:00:00+03:00,NO2,0.017
2022-05-20T00:00:00+03:00,PM2.5,0.004
2022-05-20T00:00:00+03:00,NO,0.003
2022-05-21T00:00:00+03:00,NO,0.012
2022-05-21T00:00:00+03:00,OZ,0.0284
2022-05-21T00:00:00+03:00,SO2,0.0023
2022-05-21T00:00:00+03:00,PM2.5,0.012
2022-05-21T00:00:00+03:00,PM10,0.02
2022-05-21T00:00:00+03:00,NO2,0.031
