datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-13T00:00:00+03:00,CO,0.22
2022-05-13T00:00:00+03:00,SO2,0.0003
2022-05-13T00:00:00+03:00,CH2O (формальдегид),0.0022
2022-05-13T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-13T00:00:00+03:00,OZ,0.0382
2022-05-13T00:00:00+03:00,NO2,0.03
2022-05-14T00:00:00+03:00,OZ,0.0359
2022-05-14T00:00:00+03:00,CO,0.28
2022-05-14T00:00:00+03:00,C6H5OH (фенол),0.0008
2022-05-14T00:00:00+03:00,NO2,0.032
2022-05-14T00:00:00+03:00,SO2,0.0003
2022-05-14T00:00:00+03:00,CH2O (формальдегид),0.0032
2022-05-14T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-15T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-15T00:00:00+03:00,CH2O (формальдегид),0.0035
2022-05-15T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-15T00:00:00+03:00,CO,0.39
2022-05-15T00:00:00+03:00,SO2,0.0002
2022-05-15T00:00:00+03:00,OZ,0.0323
2022-05-15T00:00:00+03:00,NO2,0.037
2022-05-16T00:00:00+03:00,OZ,0.0355
2022-05-16T00:00:00+03:00,CO,0.35
2022-05-16T00:00:00+03:00,NO2,0.028
2022-05-16T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-16T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-16T00:00:00+03:00,CH2O (формальдегид),0.0029
2022-05-16T00:00:00+03:00,SO2,0.0003
2022-05-17T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-17T00:00:00+03:00,CH2O (формальдегид),0.0025
2022-05-17T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-17T00:00:00+03:00,NO2,0.038
2022-05-17T00:00:00+03:00,CO,0.24
2022-05-17T00:00:00+03:00,SO2,0.0002
2022-05-17T00:00:00+03:00,OZ,0.0173
2022-05-18T00:00:00+03:00,NO2,0.033
2022-05-18T00:00:00+03:00,OZ,0.0285
2022-05-18T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-18T00:00:00+03:00,CH2O (формальдегид),0.003
2022-05-18T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-18T00:00:00+03:00,SO2,0.0004
2022-05-18T00:00:00+03:00,CO,0.24
2022-05-19T00:00:00+03:00,CO,0.33
2022-05-19T00:00:00+03:00,OZ,0.0231
2022-05-19T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-19T00:00:00+03:00,NO2,0.044
2022-05-19T00:00:00+03:00,CH2O (формальдегид),0.0032
2022-05-19T00:00:00+03:00,SO2,0.0002
2022-05-19T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-20T00:00:00+03:00,CH2O (формальдегид),0.0033
2022-05-20T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-20T00:00:00+03:00,CO,0.44
2022-05-20T00:00:00+03:00,SO2,0.0004
2022-05-20T00:00:00+03:00,OZ,0.0266
2022-05-20T00:00:00+03:00,NO2,0.039
2022-05-20T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-21T00:00:00+03:00,CH2O (формальдегид),0.0054
2022-05-21T00:00:00+03:00,OZ,0.0234
2022-05-21T00:00:00+03:00,C6H5OH (фенол),0.0009
2022-05-21T00:00:00+03:00,CO,
2022-05-21T00:00:00+03:00,C6H6 (бензол),0.002
2022-05-21T00:00:00+03:00,SO2,0.0021
2022-05-21T00:00:00+03:00,NO2,0.059
2022-05-22T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-22T00:00:00+03:00,OZ,0.0383
2022-05-22T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-22T00:00:00+03:00,CH2O (формальдегид),0.0044
2022-05-22T00:00:00+03:00,NO2,0.03
2022-05-22T00:00:00+03:00,SO2,0.0007
2022-05-22T00:00:00+03:00,CO,
2022-05-23T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-23T00:00:00+03:00,NO2,0.031
2022-05-23T00:00:00+03:00,CO,0.31
2022-05-23T00:00:00+03:00,CO,
2022-05-23T00:00:00+03:00,CH2O (формальдегид),0.0049
2022-05-23T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-23T00:00:00+03:00,SO2,0.0003
2022-05-23T00:00:00+03:00,OZ,0.0393
2022-05-24T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-24T00:00:00+03:00,OZ,0.0351
2022-05-24T00:00:00+03:00,CH2O (формальдегид),0.0035
2022-05-24T00:00:00+03:00,SO2,0.0002
2022-05-24T00:00:00+03:00,CO,
2022-05-24T00:00:00+03:00,CO,0.26
2022-05-24T00:00:00+03:00,NO2,0.039
2022-05-24T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-25T00:00:00+03:00,NO2,0.028
2022-05-25T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-25T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-25T00:00:00+03:00,SO2,0.0004
2022-05-25T00:00:00+03:00,OZ,0.0216
2022-05-25T00:00:00+03:00,CO,
