datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO,0.002
2022-06-09T16:00:00+03:00,OZ,0.1387
2022-06-09T16:00:00+03:00,CO,0
2022-06-09T16:00:00+03:00,NO2,0.023
2022-06-09T17:00:00+03:00,CO,0.03
2022-06-09T17:00:00+03:00,NO,0.002
2022-06-09T17:00:00+03:00,NO2,0.024
2022-06-09T17:00:00+03:00,OZ,0.128
2022-06-09T18:00:00+03:00,CO,0.07
2022-06-09T18:00:00+03:00,NO,0.002
2022-06-09T18:00:00+03:00,OZ,0.1097
2022-06-09T18:00:00+03:00,NO2,0.024
2022-06-09T19:00:00+03:00,NO,0.003
2022-06-09T19:00:00+03:00,NO2,0.024
2022-06-09T19:00:00+03:00,CO,0.27
2022-06-09T19:00:00+03:00,OZ,0.07
2022-06-09T20:00:00+03:00,OZ,0.0537
2022-06-09T20:00:00+03:00,CO,0.07
2022-06-09T20:00:00+03:00,NO2,0.021
2022-06-09T20:00:00+03:00,NO,0.005
2022-06-09T21:00:00+03:00,NO2,0.017
2022-06-09T21:00:00+03:00,CO,0.13
2022-06-09T21:00:00+03:00,NO,0.005
2022-06-09T21:00:00+03:00,OZ,0.0547
2022-06-09T22:00:00+03:00,NO,0.004
2022-06-09T22:00:00+03:00,NO2,0.033
2022-06-09T22:00:00+03:00,OZ,0.0447
2022-06-09T22:00:00+03:00,CO,0.13
2022-06-09T23:00:00+03:00,NO2,0.032
2022-06-09T23:00:00+03:00,CO,0.2
2022-06-09T23:00:00+03:00,OZ,0.013
2022-06-09T23:00:00+03:00,NO,0.008
2022-06-10T00:00:00+03:00,OZ,0.0013
2022-06-10T00:00:00+03:00,CO,0.2
2022-06-10T00:00:00+03:00,NO2,0.04
2022-06-10T00:00:00+03:00,NO,0.009
2022-06-10T01:00:00+03:00,OZ,0.0003
2022-06-10T01:00:00+03:00,CO,0.2
2022-06-10T01:00:00+03:00,NO,0.008
2022-06-10T01:00:00+03:00,NO2,0.029
2022-06-10T02:00:00+03:00,CO,0.13
2022-06-10T02:00:00+03:00,NO,0.007
2022-06-10T02:00:00+03:00,OZ,0.0027
2022-06-10T02:00:00+03:00,NO2,0.027
2022-06-10T03:00:00+03:00,OZ,0.0003
2022-06-10T03:00:00+03:00,NO2,0.023
