datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,CO,0.53
2021-07-01T00:00:00+03:00,SO2,0.0034
2021-07-01T00:00:00+03:00,NO,0.034
2021-08-01T00:00:00+03:00,CO,0.6
2021-08-01T00:00:00+03:00,NO,0.033
2021-08-01T00:00:00+03:00,SO2,0.0035
2021-08-01T00:00:00+03:00,NO2,0.031
2021-09-01T00:00:00+03:00,CO,0.56
2021-09-01T00:00:00+03:00,SO2,0.0036
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,NO,0.033
2021-10-01T00:00:00+03:00,SO2,0.0038
2021-10-01T00:00:00+03:00,NO,0.063
2021-10-01T00:00:00+03:00,CO,0.7
2021-10-01T00:00:00+03:00,NO2,0.042
2021-11-01T00:00:00+03:00,SO2,0.0036
2021-11-01T00:00:00+03:00,NO2,0.034
2021-11-01T00:00:00+03:00,CO,0.48
2021-11-01T00:00:00+03:00,NO,0.043
2021-12-01T00:00:00+03:00,SO2,0.0039
2021-12-01T00:00:00+03:00,NO,0.045
2021-12-01T00:00:00+03:00,CO,0.53
2021-12-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,NO,0.029
2022-01-01T00:00:00+03:00,CO,0.42
2022-01-01T00:00:00+03:00,NO2,0.04
2022-01-01T00:00:00+03:00,SO2,0.0032
2022-02-01T00:00:00+03:00,NO2,0.048
2022-02-01T00:00:00+03:00,NO,0.035
2022-02-01T00:00:00+03:00,CO,0.48
2022-02-01T00:00:00+03:00,SO2,0.0034
2022-03-01T00:00:00+03:00,CO,0.68
2022-03-01T00:00:00+03:00,NO2,0.059
2022-03-01T00:00:00+03:00,NO,0.078
2022-03-01T00:00:00+03:00,SO2,0.0047
2022-04-01T00:00:00+03:00,NO,0.023
2022-04-01T00:00:00+03:00,CO,0.4
2022-04-01T00:00:00+03:00,NO2,0.042
2022-04-01T00:00:00+03:00,SO2,0.0031
2022-05-01T00:00:00+03:00,NO,0.023
2022-05-01T00:00:00+03:00,CO,0.1
2022-05-01T00:00:00+03:00,NO2,0.039
2022-05-01T00:00:00+03:00,SO2,0.003
