datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,SO2,0.0029
2022-05-13T00:00:00+03:00,NO,0.002
2022-05-13T00:00:00+03:00,CO,0.08
2022-05-13T00:00:00+03:00,PM2.5,0.004
2022-05-13T00:00:00+03:00,PM10,0.012
2022-05-13T00:00:00+03:00,NO2,0.018
2022-05-14T00:00:00+03:00,NO,0.002
2022-05-14T00:00:00+03:00,PM2.5,0.005
2022-05-14T00:00:00+03:00,SO2,0.0033
2022-05-14T00:00:00+03:00,CO,0.15
2022-05-14T00:00:00+03:00,NO2,0.024
2022-05-14T00:00:00+03:00,PM10,0.016
2022-05-15T00:00:00+03:00,PM10,0.016
2022-05-15T00:00:00+03:00,PM2.5,0.006
2022-05-15T00:00:00+03:00,NO2,0.033
2022-05-15T00:00:00+03:00,NO,0.002
2022-05-15T00:00:00+03:00,SO2,0.0024
2022-05-15T00:00:00+03:00,CO,0.24
2022-05-16T00:00:00+03:00,CO,0.26
2022-05-16T00:00:00+03:00,SO2,0.0031
2022-05-16T00:00:00+03:00,PM2.5,0.004
2022-05-16T00:00:00+03:00,PM10,0.013
2022-05-16T00:00:00+03:00,NO,0.002
2022-05-16T00:00:00+03:00,NO2,0.022
2022-05-17T00:00:00+03:00,NO,0.004
2022-05-17T00:00:00+03:00,PM2.5,0.007
2022-05-17T00:00:00+03:00,SO2,0.0026
2022-05-17T00:00:00+03:00,PM10,0.009
2022-05-17T00:00:00+03:00,NO2,0.026
2022-05-17T00:00:00+03:00,CO,0.32
2022-05-18T00:00:00+03:00,SO2,0.004
2022-05-18T00:00:00+03:00,NO,0.005
2022-05-18T00:00:00+03:00,CO,0.22
2022-05-18T00:00:00+03:00,PM2.5,0.008
2022-05-18T00:00:00+03:00,NO2,0.031
2022-05-18T00:00:00+03:00,PM10,0.011
2022-05-19T00:00:00+03:00,NO,
2022-05-19T00:00:00+03:00,PM10,
2022-05-19T00:00:00+03:00,CO,
2022-05-19T00:00:00+03:00,SO2,
2022-05-19T00:00:00+03:00,PM2.5,
