datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,PM2.5,0.003
2021-07-01T00:00:00+03:00,CO,0.41
2021-07-01T00:00:00+03:00,SO2,0.0017
2021-07-01T00:00:00+03:00,NO2,0.042
2021-07-01T00:00:00+03:00,PM10,0.006
2021-07-01T00:00:00+03:00,NO,0.013
2021-08-01T00:00:00+03:00,CO,0.53
2021-08-01T00:00:00+03:00,SO2,0.003
2021-08-01T00:00:00+03:00,PM2.5,0.003
2021-08-01T00:00:00+03:00,NO,0.012
2021-08-01T00:00:00+03:00,NO2,0.042
2021-08-01T00:00:00+03:00,PM10,0.006
2021-09-01T00:00:00+03:00,NO,0.011
2021-09-01T00:00:00+03:00,SO2,0.0038
2021-09-01T00:00:00+03:00,PM10,
2021-09-01T00:00:00+03:00,NO2,0.032
2021-09-01T00:00:00+03:00,PM2.5,
2021-09-01T00:00:00+03:00,CO,0.49
2021-10-01T00:00:00+03:00,PM10,
2021-10-01T00:00:00+03:00,PM2.5,
2021-10-01T00:00:00+03:00,CO,0.59
2021-10-01T00:00:00+03:00,NO,0.042
2021-10-01T00:00:00+03:00,NO2,0.045
2021-10-01T00:00:00+03:00,SO2,0.0048
2021-11-01T00:00:00+03:00,NO,0.019
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,PM10,0.002
2021-11-01T00:00:00+03:00,CO,0.4
2021-11-01T00:00:00+03:00,PM2.5,0.002
2021-11-01T00:00:00+03:00,SO2,0.0055
2021-12-01T00:00:00+03:00,NO,0.023
2021-12-01T00:00:00+03:00,PM2.5,0.013
2021-12-01T00:00:00+03:00,NO2,0.042
2021-12-01T00:00:00+03:00,SO2,0.0048
2021-12-01T00:00:00+03:00,CO,0.39
2021-12-01T00:00:00+03:00,PM10,0.015
2022-01-01T00:00:00+03:00,CO,0.33
2022-01-01T00:00:00+03:00,PM2.5,0.016
2022-01-01T00:00:00+03:00,NO2,0.041
2022-01-01T00:00:00+03:00,NO,0.013
2022-01-01T00:00:00+03:00,PM10,0.017
2022-01-01T00:00:00+03:00,SO2,0.0045
2022-02-01T00:00:00+03:00,PM2.5,0.015
2022-02-01T00:00:00+03:00,PM10,0.019
2022-02-01T00:00:00+03:00,CO,0.37
2022-02-01T00:00:00+03:00,SO2,0.0047
2022-02-01T00:00:00+03:00,NO,0.011
2022-02-01T00:00:00+03:00,NO2,0.049
2022-03-01T00:00:00+03:00,NO2,0.059
2022-03-01T00:00:00+03:00,PM10,0.048
2022-03-01T00:00:00+03:00,SO2,0.0059
2022-03-01T00:00:00+03:00,NO,0.051
2022-03-01T00:00:00+03:00,CO,0.53
2022-03-01T00:00:00+03:00,PM2.5,0.017
2022-04-01T00:00:00+03:00,PM2.5,0.012
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,CO,0.27
2022-04-01T00:00:00+03:00,PM10,0.024
2022-04-01T00:00:00+03:00,NO,0.005
2022-04-01T00:00:00+03:00,SO2,0.0031
2022-05-01T00:00:00+03:00,PM10,0.02
2022-05-01T00:00:00+03:00,SO2,0.0039
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,PM2.5,0.007
2022-05-01T00:00:00+03:00,NO,0.01
2022-05-01T00:00:00+03:00,CO,0.23
2022-05-01T00:00:00+03:00,SO2,0.0038
