datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,NO2,0.031
2022-05-13T00:00:00+03:00,OZ,0.0406
2022-05-13T00:00:00+03:00,NO,0.028
2022-05-13T00:00:00+03:00,CO,0.51
2022-05-14T00:00:00+03:00,CO,0.45
2022-05-14T00:00:00+03:00,OZ,0.0363
2022-05-14T00:00:00+03:00,NO2,0.034
2022-05-14T00:00:00+03:00,NO,0.028
2022-05-15T00:00:00+03:00,OZ,0.0303
2022-05-15T00:00:00+03:00,NO,0.033
2022-05-15T00:00:00+03:00,CO,0.65
2022-05-15T00:00:00+03:00,NO2,0.039
2022-05-16T00:00:00+03:00,NO2,0.042
2022-05-16T00:00:00+03:00,NO,0.047
2022-05-16T00:00:00+03:00,CO,0.57
2022-05-16T00:00:00+03:00,OZ,0.0255
2022-05-17T00:00:00+03:00,NO,0.056
2022-05-17T00:00:00+03:00,NO2,0.034
2022-05-17T00:00:00+03:00,CO,0.49
2022-05-17T00:00:00+03:00,OZ,0.0142
2022-05-18T00:00:00+03:00,NO2,0.032
2022-05-18T00:00:00+03:00,NO,0.035
2022-05-18T00:00:00+03:00,CO,0.41
2022-05-18T00:00:00+03:00,OZ,0.0276
2022-05-19T00:00:00+03:00,OZ,0.0171
2022-05-19T00:00:00+03:00,NO2,0.044
2022-05-19T00:00:00+03:00,NO,0.059
2022-05-19T00:00:00+03:00,CO,0.48
2022-05-20T00:00:00+03:00,OZ,0.0213
2022-05-20T00:00:00+03:00,NO2,0.039
2022-05-20T00:00:00+03:00,CO,0.51
2022-05-20T00:00:00+03:00,NO,0.053
2022-05-21T00:00:00+03:00,NO2,0.05
2022-05-21T00:00:00+03:00,NO,0.05
2022-05-21T00:00:00+03:00,CO,0.54
2022-05-21T00:00:00+03:00,OZ,0.0202
2022-05-22T00:00:00+03:00,OZ,0.0337
2022-05-22T00:00:00+03:00,NO2,0.037
2022-05-22T00:00:00+03:00,NO,0.038
2022-05-22T00:00:00+03:00,CO,0.4
2022-05-23T00:00:00+03:00,OZ,0.0318
2022-05-23T00:00:00+03:00,NO2,0.042
2022-05-23T00:00:00+03:00,CO,0.55
2022-05-23T00:00:00+03:00,NO,0.044
2022-05-24T00:00:00+03:00,NO2,0.047
2022-05-24T00:00:00+03:00,NO,0.047
2022-05-24T00:00:00+03:00,CO,0.37
2022-05-24T00:00:00+03:00,OZ,0.0246
2022-05-25T00:00:00+03:00,NO2,0.031
2022-05-25T00:00:00+03:00,CO,0.4
2022-05-25T00:00:00+03:00,NO,0.047
2022-05-25T00:00:00+03:00,OZ,0.0178
2022-05-26T00:00:00+03:00,CO,0.28
2022-05-26T00:00:00+03:00,NO,0.038
2022-05-26T00:00:00+03:00,NO2,0.043
2022-05-26T00:00:00+03:00,OZ,0.0257
2022-05-27T00:00:00+03:00,NO2,0.046
2022-05-27T00:00:00+03:00,OZ,0.0184
2022-05-27T00:00:00+03:00,CO,0.73
2022-05-27T00:00:00+03:00,NO,0.05
2022-05-28T00:00:00+03:00,NO,0.032
2022-05-28T00:00:00+03:00,NO2,0.038
2022-05-28T00:00:00+03:00,CO,0.58
2022-05-28T00:00:00+03:00,OZ,0.0262
2022-05-29T00:00:00+03:00,NO,0.024
2022-05-29T00:00:00+03:00,CO,0.34
2022-05-29T00:00:00+03:00,NO2,0.031
2022-05-29T00:00:00+03:00,OZ,0.0358
2022-05-30T00:00:00+03:00,NO2,0.051
2022-05-30T00:00:00+03:00,OZ,0.0302
2022-05-30T00:00:00+03:00,CO,0.44
2022-05-30T00:00:00+03:00,NO,0.039
2022-05-31T00:00:00+03:00,OZ,0.0073
2022-05-31T00:00:00+03:00,CO,0.61
2022-05-31T00:00:00+03:00,NO,0.066
2022-05-31T00:00:00+03:00,NO2,0.067
