datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,CH4,1.46
2022-06-09T16:00:00+03:00,NO2,0.052
2022-06-09T16:00:00+03:00,CO,0.4
2022-06-09T16:00:00+03:00,NO,0.02
2022-06-09T16:00:00+03:00,OZ,0.0831
2022-06-09T17:00:00+03:00,CO,0.43
2022-06-09T17:00:00+03:00,CH4,1.46
2022-06-09T17:00:00+03:00,NO2,0.053
2022-06-09T17:00:00+03:00,OZ,0.0807
2022-06-09T17:00:00+03:00,NO,0.014
2022-06-09T18:00:00+03:00,OZ,0.0504
2022-06-09T18:00:00+03:00,CO,0.57
2022-06-09T18:00:00+03:00,CH4,1.46
2022-06-09T18:00:00+03:00,NO2,0.06
2022-06-09T18:00:00+03:00,NO,0.029
2022-06-09T19:00:00+03:00,OZ,0.0495
2022-06-09T19:00:00+03:00,CO,0.6
2022-06-09T19:00:00+03:00,CH4,1.46
2022-06-09T19:00:00+03:00,NO2,0.055
2022-06-09T19:00:00+03:00,NO,0.024
2022-06-09T20:00:00+03:00,CO,0.47
2022-06-09T20:00:00+03:00,CH4,1.46
2022-06-09T20:00:00+03:00,OZ,0.0557
2022-06-09T20:00:00+03:00,NO,0.012
2022-06-09T20:00:00+03:00,NO2,0.044
2022-06-09T21:00:00+03:00,CH4,
2022-06-09T21:00:00+03:00,NO,0.015
2022-06-09T21:00:00+03:00,NO2,0.057
2022-06-09T21:00:00+03:00,OZ,0.0387
2022-06-09T21:00:00+03:00,CO,0.6
2022-06-09T22:00:00+03:00,CO,0.77
2022-06-09T22:00:00+03:00,NO,0.033
2022-06-09T22:00:00+03:00,OZ,0.0242
2022-06-09T22:00:00+03:00,NO2,0.066
2022-06-09T22:00:00+03:00,CH4,1.5
2022-06-09T23:00:00+03:00,OZ,0.0188
2022-06-09T23:00:00+03:00,NO2,0.062
2022-06-09T23:00:00+03:00,CH4,1.52
2022-06-09T23:00:00+03:00,CO,0.9
2022-06-09T23:00:00+03:00,NO,0.05
2022-06-10T00:00:00+03:00,CO,0.53
2022-06-10T00:00:00+03:00,CH4,1.5
2022-06-10T00:00:00+03:00,NO2,0.047
2022-06-10T00:00:00+03:00,NO,0.015
2022-06-10T00:00:00+03:00,OZ,0.0268
2022-06-10T01:00:00+03:00,CH4,1.51
2022-06-10T01:00:00+03:00,CO,1.1
2022-06-10T01:00:00+03:00,OZ,0.0069
2022-06-10T01:00:00+03:00,NO,0.089
2022-06-10T01:00:00+03:00,NO2,0.069
2022-06-10T02:00:00+03:00,NO2,0.07
2022-06-10T02:00:00+03:00,CO,0.83
2022-06-10T02:00:00+03:00,NO,0.051
2022-06-10T02:00:00+03:00,CH4,1.53
2022-06-10T02:00:00+03:00,OZ,0.0027
2022-06-10T03:00:00+03:00,NO,0.068
2022-06-10T03:00:00+03:00,NO2,0.068
2022-06-10T03:00:00+03:00,CH4,1.54
2022-06-10T03:00:00+03:00,OZ,0.0024
2022-06-10T03:00:00+03:00,CO,0.93
2022-06-10T04:00:00+03:00,NO2,0.061
2022-06-10T04:00:00+03:00,CO,0.83
2022-06-10T04:00:00+03:00,CH4,1.57
2022-06-10T04:00:00+03:00,NO,0.068
2022-06-10T04:00:00+03:00,OZ,0.0026
2022-06-10T05:00:00+03:00,CO,0.4
2022-06-10T05:00:00+03:00,CH4,1.51
2022-06-10T05:00:00+03:00,NO,0.019
2022-06-10T05:00:00+03:00,NO2,0.041
2022-06-10T05:00:00+03:00,OZ,0.0257
2022-06-10T06:00:00+03:00,CO,0.43
2022-06-10T06:00:00+03:00,NO2,0.046
2022-06-10T06:00:00+03:00,OZ,0.0225
2022-06-10T06:00:00+03:00,CH4,1.49
2022-06-10T06:00:00+03:00,NO,0.026
2022-06-10T07:00:00+03:00,CH4,1.51
2022-06-10T07:00:00+03:00,CO,0.57
2022-06-10T07:00:00+03:00,OZ,0.0138
2022-06-10T07:00:00+03:00,NO,0.043
2022-06-10T07:00:00+03:00,NO2,0.053
2022-06-10T08:00:00+03:00,OZ,0.0151
2022-06-10T08:00:00+03:00,NO,0.048
2022-06-10T08:00:00+03:00,CO,0.67
2022-06-10T08:00:00+03:00,NO2,0.051
2022-06-10T08:00:00+03:00,CH4,1.51
2022-06-10T09:00:00+03:00,OZ,0.0227
2022-06-10T09:00:00+03:00,CO,0.67
2022-06-10T09:00:00+03:00,CH4,1.5
2022-06-10T09:00:00+03:00,NO2,0.049
2022-06-10T09:00:00+03:00,NO,0.039
2022-06-10T10:00:00+03:00,NO,0.033
2022-06-10T10:00:00+03:00,OZ,0.0322
2022-06-10T10:00:00+03:00,CH4,1.51
2022-06-10T10:00:00+03:00,NO2,0.047
2022-06-10T10:00:00+03:00,CO,0.6
2022-06-10T11:00:00+03:00,NO,0.032
2022-06-10T11:00:00+03:00,CO,0.47
2022-06-10T11:00:00+03:00,CH4,1.49
2022-06-10T11:00:00+03:00,OZ,0.0398
2022-06-10T11:00:00+03:00,NO2,0.044
2022-06-10T12:00:00+03:00,NO2,0.049
2022-06-10T12:00:00+03:00,NO,0.038
2022-06-10T12:00:00+03:00,OZ,0.0448
2022-06-10T12:00:00+03:00,CH4,1.47
2022-06-10T12:00:00+03:00,CO,0.37
2022-06-10T13:00:00+03:00,NO,0.034
2022-06-10T13:00:00+03:00,NO2,0.054
2022-06-10T13:00:00+03:00,OZ,0.0465
2022-06-10T13:00:00+03:00,CO,0.43
2022-06-10T13:00:00+03:00,CH4,1.46
2022-06-10T14:00:00+03:00,NO2,0.052
2022-06-10T14:00:00+03:00,CO,0.47
2022-06-10T14:00:00+03:00,OZ,0.0489
2022-06-10T14:00:00+03:00,CH4,1.45
2022-06-10T14:00:00+03:00,NO,0.035
2022-06-10T15:00:00+03:00,OZ,0.0502
2022-06-10T15:00:00+03:00,NO2,0.044
2022-06-10T15:00:00+03:00,CH4,1.45
2022-06-10T15:00:00+03:00,NO,0.032
2022-06-10T15:00:00+03:00,CO,0.43
2022-06-10T16:00:00+03:00,NO2,0.046
2022-06-10T16:00:00+03:00,NO,0.042
2022-06-10T16:00:00+03:00,CO,0.6
2022-06-10T16:00:00+03:00,CH4,1.45
2022-06-10T16:00:00+03:00,OZ,0.0417
2022-06-10T17:00:00+03:00,NO,0.04
2022-06-10T17:00:00+03:00,CH4,1.45
2022-06-10T17:00:00+03:00,OZ,0.041
2022-06-10T17:00:00+03:00,CO,0.67
2022-06-10T17:00:00+03:00,NO2,0.049
2022-06-10T18:00:00+03:00,NO2,0.056
2022-06-10T18:00:00+03:00,NO,0.052
2022-06-10T18:00:00+03:00,CO,0.73
2022-06-10T18:00:00+03:00,OZ,0.0405
2022-06-10T18:00:00+03:00,CH4,1.44
2022-06-10T19:00:00+03:00,NO2,0.065
2022-06-10T19:00:00+03:00,NO,0.071
2022-06-10T19:00:00+03:00,OZ,0.0309
2022-06-10T19:00:00+03:00,CO,0.9
2022-06-10T19:00:00+03:00,CH4,1.45
2022-06-10T20:00:00+03:00,CO,0.3
2022-06-10T20:00:00+03:00,OZ,0.0597
2022-06-10T20:00:00+03:00,NO2,0.029
2022-06-10T20:00:00+03:00,NO,0.008
2022-06-10T20:00:00+03:00,CH4,1.45
2022-06-10T21:00:00+03:00,CO,0.47
2022-06-10T21:00:00+03:00,NO,0.022
2022-06-10T21:00:00+03:00,NO2,0.042
2022-06-10T21:00:00+03:00,CH4,1.46
2022-06-10T21:00:00+03:00,OZ,0.043
2022-06-10T22:00:00+03:00,NO,0.013
2022-06-10T22:00:00+03:00,CO,0.43
2022-06-10T22:00:00+03:00,NO2,0.039
2022-06-10T22:00:00+03:00,CH4,1.48
2022-06-10T22:00:00+03:00,OZ,0.0399
2022-06-10T23:00:00+03:00,OZ,0.0176
2022-06-10T23:00:00+03:00,CO,0.57
2022-06-10T23:00:00+03:00,CH4,1.49
2022-06-10T23:00:00+03:00,NO2,0.055
2022-06-10T23:00:00+03:00,NO,0.013
2022-06-11T00:00:00+03:00,CO,0.7
2022-06-11T00:00:00+03:00,NO,0.033
2022-06-11T00:00:00+03:00,NO2,0.065
2022-06-11T00:00:00+03:00,CH4,1.53
2022-06-11T00:00:00+03:00,OZ,0.0043
2022-06-11T01:00:00+03:00,OZ,0.0027
2022-06-11T01:00:00+03:00,CO,0.67
2022-06-11T01:00:00+03:00,CH4,1.62
2022-06-11T01:00:00+03:00,NO2,0.065
2022-06-11T01:00:00+03:00,NO,0.022
2022-06-11T02:00:00+03:00,CH4,1.65
2022-06-11T02:00:00+03:00,CO,0.63
2022-06-11T02:00:00+03:00,NO2,0.062
2022-06-11T02:00:00+03:00,NO,0.018
2022-06-11T02:00:00+03:00,OZ,0.0027
2022-06-11T03:00:00+03:00,CH4,1.67
2022-06-11T03:00:00+03:00,NO2,0.058
2022-06-11T03:00:00+03:00,CO,0.63
2022-06-11T03:00:00+03:00,NO,0.015
2022-06-11T03:00:00+03:00,OZ,0.0025
2022-06-11T04:00:00+03:00,CH4,1.68
2022-06-11T04:00:00+03:00,CO,0.63
2022-06-11T04:00:00+03:00,OZ,0.0025
2022-06-11T04:00:00+03:00,NO,0.023
2022-06-11T04:00:00+03:00,NO2,0.053
2022-06-11T05:00:00+03:00,NO2,0.051
2022-06-11T05:00:00+03:00,CH4,1.68
2022-06-11T05:00:00+03:00,OZ,0.0025
2022-06-11T05:00:00+03:00,CO,0.9
2022-06-11T05:00:00+03:00,NO,0.052
2022-06-11T06:00:00+03:00,CO,0.6
2022-06-11T06:00:00+03:00,NO2,0.057
2022-06-11T06:00:00+03:00,OZ,0.0037
2022-06-11T06:00:00+03:00,CH4,1.67
2022-06-11T06:00:00+03:00,NO,0.049
2022-06-11T07:00:00+03:00,OZ,0.0132
2022-06-11T07:00:00+03:00,NO,0.019
2022-06-11T07:00:00+03:00,CH4,1.62
2022-06-11T07:00:00+03:00,NO2,0.053
2022-06-11T07:00:00+03:00,CO,0.3
2022-06-11T08:00:00+03:00,NO2,0.041
2022-06-11T08:00:00+03:00,NO,0.01
2022-06-11T08:00:00+03:00,OZ,0.0289
2022-06-11T08:00:00+03:00,CO,0.17
2022-06-11T08:00:00+03:00,CH4,1.54
2022-06-11T09:00:00+03:00,OZ,0.0349
2022-06-11T09:00:00+03:00,NO,0.016
2022-06-11T09:00:00+03:00,NO2,0.047
2022-06-11T09:00:00+03:00,CH4,1.5
2022-06-11T09:00:00+03:00,CO,0.27
2022-06-11T10:00:00+03:00,NO2,0.047
2022-06-11T10:00:00+03:00,NO,0.025
2022-06-11T10:00:00+03:00,OZ,0.0359
2022-06-11T10:00:00+03:00,CO,0.27
2022-06-11T10:00:00+03:00,CH4,1.5
2022-06-11T11:00:00+03:00,OZ,0.0288
2022-06-11T11:00:00+03:00,CH4,1.53
2022-06-11T11:00:00+03:00,NO,0.038
2022-06-11T11:00:00+03:00,NO2,0.058
2022-06-11T11:00:00+03:00,CO,0.47
2022-06-11T12:00:00+03:00,NO,0.021
