datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,OZ,0.0232
2021-07-01T00:00:00+03:00,NO2,
2021-07-01T00:00:00+03:00,CO,0.31
2021-07-01T00:00:00+03:00,NO,
2021-08-01T00:00:00+03:00,NO2,0.047
2021-08-01T00:00:00+03:00,NO,0.043
2021-08-01T00:00:00+03:00,OZ,0.0181
2021-08-01T00:00:00+03:00,CO,0.37
2021-09-01T00:00:00+03:00,CO,0.38
2021-09-01T00:00:00+03:00,OZ,0.0089
2021-09-01T00:00:00+03:00,NO2,0.033
2021-09-01T00:00:00+03:00,NO,0.056
2021-10-01T00:00:00+03:00,CO,0.31
2021-10-01T00:00:00+03:00,NO,0.052
2021-10-01T00:00:00+03:00,NO2,0.039
2021-10-01T00:00:00+03:00,OZ,0.0161
2021-11-01T00:00:00+03:00,OZ,0.0156
2021-11-01T00:00:00+03:00,CO,0.17
2021-11-01T00:00:00+03:00,NO2,0.031
2021-11-01T00:00:00+03:00,NO,0.041
2021-12-01T00:00:00+03:00,OZ,0.0103
2021-12-01T00:00:00+03:00,NO,0.069
2021-12-01T00:00:00+03:00,NO2,0.041
2021-12-01T00:00:00+03:00,CO,0.39
2022-01-01T00:00:00+03:00,CO,0.34
2022-01-01T00:00:00+03:00,NO,0.054
2022-01-01T00:00:00+03:00,OZ,0.0156
2022-01-01T00:00:00+03:00,NO2,0.047
2022-02-01T00:00:00+03:00,OZ,0.0257
2022-02-01T00:00:00+03:00,NO2,0.045
2022-02-01T00:00:00+03:00,NO,0.041
2022-02-01T00:00:00+03:00,CO,0.22
2022-03-01T00:00:00+03:00,NO,0.069
2022-03-01T00:00:00+03:00,OZ,0.0222
2022-03-01T00:00:00+03:00,CO,0.3
2022-03-01T00:00:00+03:00,NO2,0.061
2022-04-01T00:00:00+03:00,NO2,0.049
2022-04-01T00:00:00+03:00,NO,0.047
2022-04-01T00:00:00+03:00,OZ,0.0278
2022-04-01T00:00:00+03:00,CO,0.3
2022-05-01T00:00:00+03:00,NO,0.037
2022-05-01T00:00:00+03:00,NO2,0.04
2022-05-01T00:00:00+03:00,OZ,0.0328
2022-05-01T00:00:00+03:00,CO,0.45
