datetime,pollutant,concentration
2022-06-09T16:00:00+03:00,NO,0.001
2022-06-09T16:00:00+03:00,PM2.5,0.012
2022-06-09T16:00:00+03:00,PM10,0.026
2022-06-09T16:00:00+03:00,SO2,0.0026
2022-06-09T16:00:00+03:00,CO,0
2022-06-09T16:00:00+03:00,H2S,0.0005
2022-06-09T16:00:00+03:00,OZ,0.1343
2022-06-09T16:00:00+03:00,CH4,1.42
2022-06-09T16:00:00+03:00,NO2,0.028
2022-06-09T17:00:00+03:00,CO,0
2022-06-09T17:00:00+03:00,PM10,0.024
2022-06-09T17:00:00+03:00,NO2,0.033
2022-06-09T17:00:00+03:00,NO,0.002
2022-06-09T17:00:00+03:00,CH4,1.43
2022-06-09T17:00:00+03:00,OZ,0.1138
2022-06-09T17:00:00+03:00,PM2.5,0.012
2022-06-09T17:00:00+03:00,SO2,0.0025
2022-06-09T17:00:00+03:00,H2S,0.0005
2022-06-09T18:00:00+03:00,H2S,0.0005
2022-06-09T18:00:00+03:00,OZ,0.0935
2022-06-09T18:00:00+03:00,NO2,0.039
2022-06-09T18:00:00+03:00,CO,0
2022-06-09T18:00:00+03:00,PM2.5,0.011
2022-06-09T18:00:00+03:00,NO,0.001
2022-06-09T18:00:00+03:00,CH4,1.43
2022-06-09T18:00:00+03:00,PM10,0.026
2022-06-09T18:00:00+03:00,SO2,0.0026
2022-06-09T19:00:00+03:00,OZ,0.0789
2022-06-09T19:00:00+03:00,SO2,0.0026
2022-06-09T19:00:00+03:00,PM2.5,0.014
2022-06-09T19:00:00+03:00,CO,0.03
2022-06-09T19:00:00+03:00,H2S,0.0005
2022-06-09T19:00:00+03:00,PM10,0.028
2022-06-09T19:00:00+03:00,NO2,0.052
2022-06-09T19:00:00+03:00,NO,0.002
2022-06-09T19:00:00+03:00,CH4,1.43
2022-06-09T20:00:00+03:00,NO,0.003
2022-06-09T20:00:00+03:00,CH4,1.42
2022-06-09T20:00:00+03:00,PM10,0.034
2022-06-09T20:00:00+03:00,NO2,0.062
2022-06-09T20:00:00+03:00,OZ,0.0705
2022-06-09T20:00:00+03:00,H2S,0.0006
2022-06-09T20:00:00+03:00,CO,0.03
2022-06-09T20:00:00+03:00,PM2.5,0.014
2022-06-09T20:00:00+03:00,SO2,0.0027
2022-06-09T21:00:00+03:00,PM10,0.028
2022-06-09T21:00:00+03:00,CH4,1.43
2022-06-09T21:00:00+03:00,NO,0.002
2022-06-09T21:00:00+03:00,OZ,0.0502
2022-06-09T21:00:00+03:00,SO2,0.0025
2022-06-09T21:00:00+03:00,NO2,0.067
2022-06-09T21:00:00+03:00,PM2.5,0.013
2022-06-09T21:00:00+03:00,CO,0.07
2022-06-09T21:00:00+03:00,H2S,0.0006
2022-06-09T22:00:00+03:00,NO2,0.089
2022-06-09T22:00:00+03:00,SO2,0.0024
2022-06-09T22:00:00+03:00,OZ,0.0213
2022-06-09T22:00:00+03:00,CO,0.17
2022-06-09T22:00:00+03:00,NO,0.005
2022-06-09T22:00:00+03:00,H2S,0.0007
2022-06-09T22:00:00+03:00,CH4,1.43
2022-06-09T22:00:00+03:00,PM2.5,0.018
2022-06-09T22:00:00+03:00,PM10,0.048
2022-06-09T23:00:00+03:00,H2S,0.0006
2022-06-09T23:00:00+03:00,OZ,0.0299
2022-06-09T23:00:00+03:00,CH4,1.41
2022-06-09T23:00:00+03:00,CO,0.1
2022-06-09T23:00:00+03:00,NO2,0.077
2022-06-09T23:00:00+03:00,PM2.5,0.018
2022-06-09T23:00:00+03:00,NO,0.001
2022-06-09T23:00:00+03:00,PM10,0.041
2022-06-09T23:00:00+03:00,SO2,0.0024
2022-06-10T00:00:00+03:00,CH4,1.42
2022-06-10T00:00:00+03:00,SO2,0.0024
2022-06-10T00:00:00+03:00,CO,0.03
2022-06-10T00:00:00+03:00,PM2.5,0.017
2022-06-10T00:00:00+03:00,OZ,0.0238
2022-06-10T00:00:00+03:00,PM10,0.033
2022-06-10T00:00:00+03:00,NO,0.001
2022-06-10T00:00:00+03:00,NO2,0.074
2022-06-10T00:00:00+03:00,H2S,0.0007
2022-06-10T01:00:00+03:00,CH4,1.44
2022-06-10T01:00:00+03:00,H2S,0.0008
2022-06-10T01:00:00+03:00,CO,1.3
2022-06-10T01:00:00+03:00,NO2,0.094
2022-06-10T01:00:00+03:00,PM2.5,0.018
2022-06-10T01:00:00+03:00,NO,0.024
2022-06-10T01:00:00+03:00,PM10,0.04
2022-06-10T01:00:00+03:00,SO2,0.0025
2022-06-10T01:00:00+03:00,OZ,0.0019
2022-06-10T02:00:00+03:00,SO2,0.0031
2022-06-10T02:00:00+03:00,H2S,0.0008
2022-06-10T02:00:00+03:00,NO2,0.103
2022-06-10T02:00:00+03:00,NO,0.069
2022-06-10T02:00:00+03:00,CH4,1.43
2022-06-10T02:00:00+03:00,OZ,0.0001
2022-06-10T02:00:00+03:00,CO,0.7
2022-06-10T02:00:00+03:00,PM2.5,0.021
2022-06-10T02:00:00+03:00,PM10,0.052
2022-06-10T03:00:00+03:00,NO2,0.094
2022-06-10T03:00:00+03:00,OZ,0.0001
2022-06-10T03:00:00+03:00,NO,0.037
2022-06-10T03:00:00+03:00,PM2.5,0.02
2022-06-10T03:00:00+03:00,CH4,1.45
2022-06-10T03:00:00+03:00,SO2,0.0027
2022-06-10T03:00:00+03:00,PM10,0.041
2022-06-10T03:00:00+03:00,CO,0.53
2022-06-10T03:00:00+03:00,H2S,0.0007
2022-06-10T04:00:00+03:00,NO,0.052
2022-06-10T04:00:00+03:00,OZ,0
2022-06-10T04:00:00+03:00,CO,0.63
2022-06-10T04:00:00+03:00,SO2,0.003
2022-06-10T04:00:00+03:00,H2S,0.0008
