datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.006
2021-07-01T00:00:00+03:00,PM10,0.026
2021-07-01T00:00:00+03:00,OZ,0.0506
2021-07-01T00:00:00+03:00,PM2.5,0.014
2021-07-01T00:00:00+03:00,CO,0.17
2021-07-01T00:00:00+03:00,SO2,0.0013
2021-07-01T00:00:00+03:00,NO2,0.029
2021-08-01T00:00:00+03:00,NO,0.007
2021-08-01T00:00:00+03:00,NO2,0.033
2021-08-01T00:00:00+03:00,PM2.5,0.014
2021-08-01T00:00:00+03:00,OZ,0.0372
2021-08-01T00:00:00+03:00,CO,0.24
2021-08-01T00:00:00+03:00,SO2,0.0023
2021-08-01T00:00:00+03:00,PM10,0.028
2021-09-01T00:00:00+03:00,SO2,0.0013
2021-09-01T00:00:00+03:00,NO,0.009
2021-09-01T00:00:00+03:00,PM2.5,0.009
2021-09-01T00:00:00+03:00,PM10,0.017
2021-09-01T00:00:00+03:00,NO2,0.023
2021-09-01T00:00:00+03:00,CO,0.17
2021-09-01T00:00:00+03:00,OZ,0.0188
2021-10-01T00:00:00+03:00,CO,0.19
2021-10-01T00:00:00+03:00,SO2,0.0014
2021-10-01T00:00:00+03:00,OZ,0.0245
2021-10-01T00:00:00+03:00,NO,0.012
2021-10-01T00:00:00+03:00,PM10,0.023
2021-10-01T00:00:00+03:00,PM2.5,0.012
2021-10-01T00:00:00+03:00,NO2,0.03
2021-11-01T00:00:00+03:00,PM2.5,0.01
2021-11-01T00:00:00+03:00,NO2,0.022
2021-11-01T00:00:00+03:00,SO2,0.0006
2021-11-01T00:00:00+03:00,NO,0.01
2021-11-01T00:00:00+03:00,OZ,0.0226
2021-11-01T00:00:00+03:00,PM10,0.017
2021-11-01T00:00:00+03:00,CO,0.16
2021-12-01T00:00:00+03:00,CO,0.2
2021-12-01T00:00:00+03:00,PM10,0.013
2021-12-01T00:00:00+03:00,NO2,0.029
2021-12-01T00:00:00+03:00,SO2,0.0021
2021-12-01T00:00:00+03:00,NO,0.015
2021-12-01T00:00:00+03:00,PM2.5,0.01
2021-12-01T00:00:00+03:00,OZ,0.0151
2022-01-01T00:00:00+03:00,PM10,0.012
2022-01-01T00:00:00+03:00,NO2,0.028
2022-01-01T00:00:00+03:00,SO2,0.0024
2022-01-01T00:00:00+03:00,NO,0.007
2022-01-01T00:00:00+03:00,CO,0.19
2022-01-01T00:00:00+03:00,OZ,0.0272
2022-01-01T00:00:00+03:00,PM2.5,0.01
2022-02-01T00:00:00+03:00,NO2,0.033
2022-02-01T00:00:00+03:00,SO2,0.0019
2022-02-01T00:00:00+03:00,CO,0.18
2022-02-01T00:00:00+03:00,PM2.5,0.009
2022-02-01T00:00:00+03:00,OZ,0.0388
2022-02-01T00:00:00+03:00,PM10,0.013
2022-02-01T00:00:00+03:00,NO,0.007
2022-03-01T00:00:00+03:00,SO2,0.0028
2022-03-01T00:00:00+03:00,NO,0.021
2022-03-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,PM2.5,0.01
2022-03-01T00:00:00+03:00,PM10,0.025
2022-03-01T00:00:00+03:00,OZ,0.0284
2022-03-01T00:00:00+03:00,CO,0.23
2022-04-01T00:00:00+03:00,OZ,0.0501
2022-04-01T00:00:00+03:00,PM2.5,0.008
2022-04-01T00:00:00+03:00,PM10,0.018
2022-04-01T00:00:00+03:00,NO,0.007
2022-04-01T00:00:00+03:00,NO2,0.035
2022-04-01T00:00:00+03:00,CO,0.15
2022-04-01T00:00:00+03:00,SO2,0.0009
2022-05-01T00:00:00+03:00,PM10,0.018
2022-05-01T00:00:00+03:00,NO,0.003
2022-05-01T00:00:00+03:00,OZ,0.0558
2022-05-01T00:00:00+03:00,PM2.5,0.008
2022-05-01T00:00:00+03:00,NO2,0.022
2022-05-01T00:00:00+03:00,SO2,0.0016
2022-05-01T00:00:00+03:00,CO,0.1
2022-06-01T00:00:00+03:00,CO,0.14
2022-06-01T00:00:00+03:00,SO2,0.0028
2022-06-01T00:00:00+03:00,PM2.5,0.01
2022-06-01T00:00:00+03:00,PM10,0.022
2022-06-01T00:00:00+03:00,NO2,0.033
2022-06-01T00:00:00+03:00,NO,0.006
2022-06-01T00:00:00+03:00,OZ,0.0445
