datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,CO,0.32
2021-07-01T00:00:00+03:00,NO,0.014
2021-07-01T00:00:00+03:00,NO2,0.04
2021-07-01T00:00:00+03:00,PM10,0.017
2021-07-01T00:00:00+03:00,PM2.5,0.009
2021-08-01T00:00:00+03:00,PM10,0.02
2021-08-01T00:00:00+03:00,PM2.5,0.013
2021-08-01T00:00:00+03:00,NO,0.031
2021-08-01T00:00:00+03:00,NO2,0.05
2021-08-01T00:00:00+03:00,CO,0.45
2021-09-01T00:00:00+03:00,CO,0.39
2021-09-01T00:00:00+03:00,PM10,0.01
2021-09-01T00:00:00+03:00,PM2.5,0.006
2021-09-01T00:00:00+03:00,NO,0.025
2021-09-01T00:00:00+03:00,NO2,0.033
2021-10-01T00:00:00+03:00,NO,0.038
2021-10-01T00:00:00+03:00,CO,0.46
2021-10-01T00:00:00+03:00,PM2.5,0.014
2021-10-01T00:00:00+03:00,PM10,0.025
2021-10-01T00:00:00+03:00,NO2,0.046
2021-11-01T00:00:00+03:00,CO,0.37
2021-11-01T00:00:00+03:00,PM10,0.013
2021-11-01T00:00:00+03:00,NO2,0.034
2021-11-01T00:00:00+03:00,NO,0.028
2021-11-01T00:00:00+03:00,PM2.5,0.005
2021-12-01T00:00:00+03:00,PM2.5,0.007
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,CO,0.48
2021-12-01T00:00:00+03:00,PM10,0.011
2021-12-01T00:00:00+03:00,NO,0.049
2022-01-01T00:00:00+03:00,NO,0.029
2022-01-01T00:00:00+03:00,NO2,0.045
2022-01-01T00:00:00+03:00,CO,0.39
2022-01-01T00:00:00+03:00,PM10,0.009
2022-01-01T00:00:00+03:00,PM2.5,0.006
2022-02-01T00:00:00+03:00,PM2.5,0.005
2022-02-01T00:00:00+03:00,CO,0.42
2022-02-01T00:00:00+03:00,NO,0.032
2022-02-01T00:00:00+03:00,NO2,0.051
2022-02-01T00:00:00+03:00,PM10,0.012
2022-03-01T00:00:00+03:00,NO,0.033
2022-03-01T00:00:00+03:00,NO2,0.055
2022-03-01T00:00:00+03:00,PM10,0.022
2022-03-01T00:00:00+03:00,PM2.5,0.006
2022-03-01T00:00:00+03:00,CO,0.45
2022-04-01T00:00:00+03:00,CO,0.35
2022-04-01T00:00:00+03:00,NO,0.017
2022-04-01T00:00:00+03:00,PM10,0.026
2022-04-01T00:00:00+03:00,NO2,0.053
2022-04-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,PM10,0.021
2022-05-01T00:00:00+03:00,NO2,0.042
2022-05-01T00:00:00+03:00,NO,0.014
2022-05-01T00:00:00+03:00,PM2.5,0.006
2022-05-01T00:00:00+03:00,CO,0.29
2022-06-01T00:00:00+03:00,PM10,0.023
2022-06-01T00:00:00+03:00,NO2,0.043
2022-06-01T00:00:00+03:00,NO,0.02
2022-06-01T00:00:00+03:00,PM2.5,0.007
2022-06-01T00:00:00+03:00,CO,0.33
