datetime,pollutant,concentration
2021-07-01T00:00:00+03:00,NO,0.022
2021-07-01T00:00:00+03:00,NO2,0.041
2021-07-01T00:00:00+03:00,CO,0.39
2021-08-01T00:00:00+03:00,CO,0.43
2021-08-01T00:00:00+03:00,NO2,0.039
2021-08-01T00:00:00+03:00,NO,0.019
2021-09-01T00:00:00+03:00,NO,0.016
2021-09-01T00:00:00+03:00,CO,0.38
2021-09-01T00:00:00+03:00,NO2,0.032
2021-10-01T00:00:00+03:00,CO,0.52
2021-10-01T00:00:00+03:00,NO2,0.046
2021-10-01T00:00:00+03:00,NO,0.056
2021-11-01T00:00:00+03:00,NO2,0.037
2021-11-01T00:00:00+03:00,CO,0.32
2021-11-01T00:00:00+03:00,NO,0.016
2021-12-01T00:00:00+03:00,NO2,0.044
2021-12-01T00:00:00+03:00,NO,0.025
2021-12-01T00:00:00+03:00,CO,0.36
2022-01-01T00:00:00+03:00,NO2,0.042
2022-01-01T00:00:00+03:00,NO,0.014
2022-01-01T00:00:00+03:00,CO,0.29
2022-02-01T00:00:00+03:00,CO,0.22
2022-02-01T00:00:00+03:00,NO,0.013
2022-02-01T00:00:00+03:00,NO2,0.051
2022-03-01T00:00:00+03:00,CO,0.34
2022-03-01T00:00:00+03:00,NO2,0.055
2022-03-01T00:00:00+03:00,NO,0.043
2022-04-01T00:00:00+03:00,NO,0.006
2022-04-01T00:00:00+03:00,NO2,0.033
2022-04-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,NO2,0.033
2022-05-01T00:00:00+03:00,CO,0.17
2022-05-01T00:00:00+03:00,CO,0.16
2022-05-01T00:00:00+03:00,NO,0.012
