datetime,pollutant,concentration
2022-05-13T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-13T00:00:00+03:00,CH2O (формальдегид),0.003
2022-05-13T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-13T00:00:00+03:00,OZ,0.0442
2022-05-13T00:00:00+03:00,SO2,0.0002
2022-05-13T00:00:00+03:00,CO,0.16
2022-05-13T00:00:00+03:00,NO2,0.028
2022-05-14T00:00:00+03:00,NO2,0.03
2022-05-14T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-14T00:00:00+03:00,CH2O (формальдегид),0.0037
2022-05-14T00:00:00+03:00,OZ,0.0437
2022-05-14T00:00:00+03:00,SO2,0.0002
2022-05-14T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-14T00:00:00+03:00,CO,0.1
2022-05-15T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-15T00:00:00+03:00,CH2O (формальдегид),0.0049
2022-05-15T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-15T00:00:00+03:00,NO2,0.036
2022-05-15T00:00:00+03:00,OZ,0.0408
2022-05-15T00:00:00+03:00,SO2,0.0001
2022-05-15T00:00:00+03:00,CO,0.24
2022-05-16T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-16T00:00:00+03:00,NO2,0.032
2022-05-16T00:00:00+03:00,CO,0.11
2022-05-16T00:00:00+03:00,SO2,0.0002
2022-05-16T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-16T00:00:00+03:00,OZ,0.04
2022-05-16T00:00:00+03:00,CH2O (формальдегид),0.0058
2022-05-17T00:00:00+03:00,CH2O (формальдегид),0.0073
2022-05-17T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-17T00:00:00+03:00,OZ,0.0189
2022-05-17T00:00:00+03:00,NO2,0.042
2022-05-17T00:00:00+03:00,SO2,0.0002
2022-05-17T00:00:00+03:00,CO,0.33
2022-05-17T00:00:00+03:00,C6H5OH (фенол),0.0012
2022-05-18T00:00:00+03:00,NO2,0.042
2022-05-18T00:00:00+03:00,CH2O (формальдегид),0.0105
2022-05-18T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-18T00:00:00+03:00,SO2,0.0005
2022-05-18T00:00:00+03:00,OZ,0.0258
2022-05-18T00:00:00+03:00,C6H5OH (фенол),0.001
2022-05-18T00:00:00+03:00,CO,0.29
2022-05-19T00:00:00+03:00,C6H5OH (фенол),0.001
2022-05-19T00:00:00+03:00,OZ,0.0264
2022-05-19T00:00:00+03:00,SO2,0.0004
2022-05-19T00:00:00+03:00,NO2,0.045
2022-05-19T00:00:00+03:00,CH2O (формальдегид),0.0081
2022-05-19T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-19T00:00:00+03:00,CO,0.34
2022-05-20T00:00:00+03:00,OZ,0.0295
2022-05-20T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-20T00:00:00+03:00,SO2,0.0007
2022-05-20T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-20T00:00:00+03:00,CH2O (формальдегид),0.0095
2022-05-20T00:00:00+03:00,CO,0.21
2022-05-20T00:00:00+03:00,NO2,0.038
2022-05-21T00:00:00+03:00,NO2,0.055
2022-05-21T00:00:00+03:00,OZ,0.0246
2022-05-21T00:00:00+03:00,SO2,0.0019
2022-05-21T00:00:00+03:00,CO,0.49
2022-05-21T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-21T00:00:00+03:00,CH2O (формальдегид),0.0129
2022-05-21T00:00:00+03:00,C6H6 (бензол),0.002
2022-05-22T00:00:00+03:00,SO2,0.0014
2022-05-22T00:00:00+03:00,OZ,0.0454
2022-05-22T00:00:00+03:00,CH2O (формальдегид),0.0083
2022-05-22T00:00:00+03:00,NO2,0.025
2022-05-22T00:00:00+03:00,CO,0.18
2022-05-22T00:00:00+03:00,C6H5OH (фенол),0.0003
2022-05-22T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-23T00:00:00+03:00,NO2,0.039
2022-05-23T00:00:00+03:00,OZ,0.0384
2022-05-23T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-23T00:00:00+03:00,SO2,0.0007
2022-05-23T00:00:00+03:00,CO,0.23
2022-05-23T00:00:00+03:00,C6H5OH (фенол),0.0006
2022-05-23T00:00:00+03:00,CH2O (формальдегид),0.006
2022-05-24T00:00:00+03:00,CH2O (формальдегид),0.006
2022-05-24T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-24T00:00:00+03:00,OZ,0.0334
2022-05-24T00:00:00+03:00,SO2,0.0006
2022-05-24T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-24T00:00:00+03:00,NO2,0.046
2022-05-24T00:00:00+03:00,CO,0.3
2022-05-25T00:00:00+03:00,OZ,0.0224
2022-05-25T00:00:00+03:00,CO,0.29
2022-05-25T00:00:00+03:00,SO2,0.0008
2022-05-25T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-25T00:00:00+03:00,NO2,0.032
2022-05-25T00:00:00+03:00,C6H5OH (фенол),0.0007
2022-05-25T00:00:00+03:00,CH2O (формальдегид),0.0068
2022-05-26T00:00:00+03:00,NO2,0.047
2022-05-26T00:00:00+03:00,SO2,0.0006
2022-05-26T00:00:00+03:00,CO,0.4
2022-05-26T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-26T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-26T00:00:00+03:00,OZ,0.0264
2022-05-26T00:00:00+03:00,CH2O (формальдегид),0.0103
2022-05-27T00:00:00+03:00,CO,0.47
2022-05-27T00:00:00+03:00,NO2,0.041
2022-05-27T00:00:00+03:00,CH2O (формальдегид),0.0079
2022-05-27T00:00:00+03:00,SO2,0.0005
2022-05-27T00:00:00+03:00,OZ,0.032
2022-05-27T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-27T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-28T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-28T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-28T00:00:00+03:00,SO2,0.0005
2022-05-28T00:00:00+03:00,CH2O (формальдегид),0.0101
2022-05-28T00:00:00+03:00,CO,0.42
2022-05-28T00:00:00+03:00,NO2,0.044
2022-05-28T00:00:00+03:00,OZ,0.0259
2022-05-29T00:00:00+03:00,C6H6 (бензол),0.001
2022-05-29T00:00:00+03:00,CO,0.36
2022-05-29T00:00:00+03:00,CH2O (формальдегид),0.0085
2022-05-29T00:00:00+03:00,SO2,0.0005
2022-05-29T00:00:00+03:00,NO2,0.038
2022-05-29T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-05-29T00:00:00+03:00,OZ,0.0324
2022-05-30T00:00:00+03:00,CO,0.35
2022-05-30T00:00:00+03:00,NO2,0.053
2022-05-30T00:00:00+03:00,OZ,0.0344
2022-05-30T00:00:00+03:00,C6H6 (бензол),0.002
2022-05-30T00:00:00+03:00,SO2,0.0009
2022-05-30T00:00:00+03:00,CH2O (формальдегид),0.011
2022-05-30T00:00:00+03:00,C6H5OH (фенол),0.0004
2022-05-31T00:00:00+03:00,SO2,0.0023
2022-05-31T00:00:00+03:00,CO,0.6
2022-05-31T00:00:00+03:00,C6H6 (бензол),0.002
2022-05-31T00:00:00+03:00,CH2O (формальдегид),0.0133
2022-05-31T00:00:00+03:00,NO2,0.077
2022-05-31T00:00:00+03:00,C6H5OH (фенол),0.0008
2022-05-31T00:00:00+03:00,OZ,0.0105
2022-06-01T00:00:00+03:00,OZ,0.0247
2022-06-01T00:00:00+03:00,CH2O (формальдегид),0.0121
2022-06-01T00:00:00+03:00,C6H6 (бензол),0.001
2022-06-01T00:00:00+03:00,C6H5OH (фенол),0.0005
2022-06-01T00:00:00+03:00,CO,0.46
2022-06-01T00:00:00+03:00,SO2,0.0015
2022-06-01T00:00:00+03:00,NO2,0.056
2022-06-02T00:00:00+03:00,C6H6 (бензол),0.001
2022-06-02T00:00:00+03:00,NO2,0.048
2022-06-02T00:00:00+03:00,OZ,0.0333
2022-06-02T00:00:00+03:00,CO,0.46
2022-06-02T00:00:00+03:00,CH2O (формальдегид),0.0103
2022-06-02T00:00:00+03:00,SO2,0.0013
